id	overall_score	Ideas	Organization	Style	Conventions	misc_total_words	misc_total_sentences	misc_words_div_sentences	misc_sent_density	misc_ttr	grammar_pct_transitions	grammar_pct_rel_trigrams	grammar_grammar_errors_ltp_by_words	vocab_difficult_words	vocab_proportion_vocab_list[a]	vocab_proportion_vocab_list[accent]	vocab_proportion_vocab_list[abandon]	vocab_proportion_vocab_list[abnormal]	vocab_proportion_vocab_list[abbey]	vocab_proportion_vocab_list[abduct]	vocab_proportion_vocab_list[abate]	vocab_proportion_vocab_list[aback]	vocab_proportion_vocab_list[abbot]	vocab_proportion_vocab_list[abet]	vocab_proportion_vocab_list[abrasion]	vocab_proportion_vocab_list[aberrant]	vocab_proportion_vocab_list[abattoir]	vocab_proportion_vocab_list[abashed]	vocab_proportion_vocab_list[abacus]	vocab_proportion_vocab_list[abalone]	vocab_proportion_vocab_list[abductee]	vocab_proportion_vocab_list[aardvark]	vocab_proportion_vocab_list[abnegate]	vocab_proportion_vocab_list[abaya]	vocab_proportion_vocab_list[abaft]	vocab_proportion_vocab_list[abomasum]	vocab_proportion_vocab_list[abettor]	vocab_proportion_vocab_list[acetal]	vocab_proportion_vocab_list[ablaut]	vocab_proportion_vocab_list[a1]	vocab_proportion_vocab_list[ah]	vocab_proportion_vocab_list[absentminded]	vocab_proportion_vocab_list[aal]	flow_ts_avg_len_sent	flow_ts_num_syllab	flow_ts_avg_sent_per_word	flow_ts_num_polysyllab	flow_ts_num_chars	flow_ts_avg_syllab_per_word	flow_ts_fre	flow_ts_fkg	flow_ts_cli	flow_ts_dcrs	flow_ts_lwf	flow_ts_gf	flow_ts_ari	coherence_nlemma_types	coherence_n_bigram_lemma_types	coherence_n_trigram_lemma_types	coherence_nlemmas	coherence_n_bigram_lemmas	coherence_n_trigram_lemmas	coherence_ncontent_types	coherence_ncontent_tokens	coherence_content_ttr	coherence_nfunction_tokens	coherence_nfunction_types	coherence_function_ttr	coherence_noun_ttr	coherence_determiners	coherence_conjunctions	coherence_prn_noun_ratio
17859	17	2	2	2	3	209	11	19.0	5.95	53.51	0.028	13.45	0.0430622009569378	14	0.37320574162679426	0.019138755980861243	0.0	0.014354066985645933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004784688995215311	0.004784688995215311	16.8	230	0.06	8	737	1.2	88.26	5.1	4.75	6.6	8.333333333333334	7.58	5.7	99	98	97	185	184	183	66	97	0.6804	88	33	0.375	0.5455	0.13514	0.03784	0.18
17860	16	2	2	2	2	210	13	16.153846153846153	6.91	53.72	0.0093	15.97	0.08571428571428572	25	0.3333333333333333	0.0380952380952381	0.014285714285714285	0.023809523809523808	0.0	0.0	0.004761904761904762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004761904761904762	0.004761904761904762	15.7	254	0.06	14	816	1.4	72.46	7.1	6.9	7.44	5.333333333333333	7.77	6.8	101	100	99	188	187	186	61	105	0.581	83	40	0.4819	0.7333	0.0266	0.06383	0.73
17861	16	2	2	2	2	147	5	29.4	3.57	52.86	0.0187	11.76	0.034013605442176874	6	0.43537414965986393	0.013605442176870748	0.0	0.006802721088435374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006802721088435374	0.0	28.0	169	0.04	3	517	1.2	76.9	9.5	4.13	6.15	17.0	11.49	9.9	74	73	72	140	139	138	42	71	0.5915	69	32	0.4638	1.0	0.06429	0.01429	1.33
17862	9	1	1	1	2	112	9	12.444444444444445	8.74	53.4	0.0093	9.24	0.15178571428571427	7	0.375	0.017857142857142856	0.008928571428571428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008928571428571428	11.4	137	0.09	8	417	1.3	85.28	4.2	4.5	6.35	5.444444444444445	5.73	3.4	55	54	53	103	102	101	28	59	0.4746	44	27	0.6136	0.6667	0.02913	0.03883	0.67
17863	6	0	1	1	1	59	4	14.75	7.84	80.39	0.0	10.08	0.13559322033898305	7	0.559322033898305	0.06779661016949153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	66	0.06	1	225	1.3	79.6	6.4	7.07	6.96	7.833333333333334	7.58	7.8	41	40	39	51	50	49	24	26	0.9231	25	17	0.68	1.0	0.07843	0.01961	1.0
17864	10	2	2	1	1	117	4	29.25	3.74	61.68	0.0093	13.45	0.06837606837606838	7	0.4358974358974359	0.017094017094017096	0.0	0.008547008547008548	0.008547008547008548	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.3	120	0.04	1	381	1.1	87.08	7.6	3.37	6.75	12.75	10.9	8.8	66	65	64	107	106	105	32	53	0.6038	54	34	0.6296	1.0	0.09346	0.06542	0.17
17865	17	2	3	2	2	362	15	24.133333333333333	5.43	46.74	0.0374	18.49	0.027624309392265192	37	0.22099447513812154	0.022099447513812154	0.0	0.0	0.0027624309392265192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0027624309392265192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0027624309392265192	0.0027624309392265192	0.0	20.7	368	0.05	6	1191	1.4	67.38	9.0	6.44	7.89	6.714285714285714	8.28	9.8	129	128	127	276	275	274	88	173	0.5087	103	41	0.3981	0.375	0.05435	0.02536	0.09
17867	16	2	2	2	2	194	12	16.166666666666668	6.86	52.0	0.0374	21.85	0.08247422680412371	8	0.3917525773195876	0.010309278350515464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005154639175257732	0.005154639175257732	14.5	204	0.07	2	656	1.2	90.6	4.2	3.41	6.08	6.142857142857143	6.03	3.6	91	90	89	175	174	173	53	92	0.5761	83	38	0.4578	0.8	0.06286	0.02286	1.1
17868	15	2	2	2	2	378	18	21.0	5.36	46.13	0.028	30.25	0.06613756613756613	23	0.32275132275132273	0.015873015873015872	0.0026455026455026454	0.0026455026455026454	0.0	0.0026455026455026454	0.0	0.0	0.0	0.0	0.005291005291005291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0026455026455026454	25.5	405	0.04	5	1401	1.2	79.43	8.5	6.74	7.05	5.5	10.56	11.2	155	154	153	336	335	334	98	167	0.5868	169	57	0.3373	0.4444	0.05655	0.0625	1.39
17869	11	1	1	2	2	127	10	12.7	8.77	67.54	0.0	9.24	0.03937007874015748	13	0.49606299212598426	0.023622047244094488	0.0	0.007874015748031496	0.007874015748031496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.4	152	0.08	7	509	1.4	75.81	5.8	7.41	7.07	5.222222222222222	6.75	6.2	77	76	75	114	113	112	44	63	0.6984	51	33	0.6471	0.8889	0.07018	0.01754	0.33
17870	19	2	3	3	3	152	2	76.0	1.52	62.88	0.0187	11.76	0.14473684210526316	17	0.3815789473684211	0.013157894736842105	0.0	0.0	0.0	0.0	0.0	0.006578947368421052	0.0	0.0	0.0	0.006578947368421052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006578947368421052	128.0	172	0.01	5	589	1.3	-33.07	49.7	9.48	13.81	54.0	52.14	64.2	83	82	81	132	131	130	62	88	0.7045	44	21	0.4773	0.4231	0.08333	0.0303	0.23
17871	24	3	3	3	3	475	29	16.379310344827587	7.32	47.22	0.0467	26.89	0.06736842105263158	40	0.25263157894736843	0.018947368421052633	0.01263157894736842	0.016842105263157894	0.008421052631578947	0.0	0.0	0.0	0.0	0.0	0.002105263157894737	0.0	0.002105263157894737	0.0	0.0	0.0	0.0	0.002105263157894737	0.0	0.0	0.002105263157894737	0.0	0.0	0.0	0.0	0.004210526315789474	0.0	0.002105263157894737	0.0	18.1	511	0.06	18	1834	1.3	78.48	6.8	8.93	7.44	7.833333333333334	8.18	10.3	187	186	185	396	395	394	140	243	0.5761	153	47	0.3072	0.3494	0.14899	0.03283	0.1
17872	18	2	2	3	3	186	13	14.307692307692308	8.28	62.42	0.0374	11.76	0.03763440860215054	14	0.3709677419354839	0.03225806451612903	0.0	0.0	0.0	0.0	0.0	0.0	0.005376344086021506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.3	200	0.07	7	644	1.3	82.34	5.3	4.86	7.26	5.0	6.74	5.0	98	97	96	157	156	155	63	86	0.7326	71	35	0.493	0.6818	0.08917	0.03185	0.32
17873	16	2	2	2	3	219	16	13.6875	7.96	51.74	0.0374	17.65	0.0502283105022831	13	0.4018264840182648	0.0228310502283105	0.0	0.0	0.0045662100456621	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0045662100456621	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.6	246	0.08	6	764	1.2	92.53	3.5	3.35	5.91	4.777777777777778	5.84	2.7	104	103	102	201	200	199	64	112	0.5714	89	40	0.4494	1.0	0.06468	0.01493	1.0
17874	20	3	3	2	3	187	8	23.375	4.73	53.25	0.0374	11.76	0.09090909090909091	8	0.37433155080213903	0.0106951871657754	0.0	0.0053475935828877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.1	208	0.05	5	644	1.2	83.9	6.8	4.12	6.65	13.25	8.68	7.1	90	89	88	169	168	167	56	90	0.6222	79	34	0.4304	0.6	0.05325	0.04734	0.13
17875	12	2	2	2	2	186	6	31.0	3.37	53.37	0.0467	11.76	0.06451612903225806	5	0.44623655913978494	0.005376344086021506	0.0	0.0	0.0	0.0	0.0	0.005376344086021506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010752688172043012	0.0	29.5	203	0.03	1	641	1.1	83.83	8.9	3.96	6.35	12.75	11.8	10.4	95	94	93	178	177	176	55	83	0.6627	95	40	0.4211	0.625	0.06742	0.05056	1.12
17876	19	3	3	2	3	256	14	18.285714285714285	6.28	53.36	0.0374	17.65	0.0390625	19	0.3828125	0.01953125	0.0	0.0	0.0	0.00390625	0.0	0.00390625	0.00390625	0.0	0.00390625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00390625	0.0	18.5	301	0.05	12	988	1.4	69.62	8.1	7.66	6.69	11.0	8.12	8.8	119	118	117	223	222	221	78	121	0.6446	102	41	0.402	0.5882	0.07175	0.04036	0.76
17878	10	0	2	2	2	153	11	13.909090909090908	8.73	57.14	0.0187	11.76	0.05228758169934641	13	0.3333333333333333	0.0392156862745098	0.006535947712418301	0.0196078431372549	0.006535947712418301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006535947712418301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.2	172	0.08	9	576	1.4	76.01	5.7	7.82	7.09	5.555555555555555	5.86	6.9	72	71	70	126	125	124	42	75	0.56	51	30	0.5882	0.5385	0.04762	0.03175	0.38
17879	7	1	1	1	1	60	5	12.0	11.36	63.64	0.0093	5.04	0.06666666666666667	4	0.3	0.016666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016666666666666666	0.0	14.7	55	0.07	0	175	1.3	81.93	5.5	3.07	7.6	6.666666666666667	5.88	4.7	28	27	26	44	43	42	19	30	0.6333	14	9	0.6429	0.5556	0.04545	0.02273	0.0
