id	overall_score	Ideas_and_Content	Organization	Voice	Word_Choice	Sentence_Fluency	Conventions	total_words	total_sentences	words_div_sentences	sent_density
20756	34	4	4	4	4	4	3	806	18	44.77777777777778	2.42
20757	33	4	4	4	4	4	3	817	27	30.25925925925926	3.67
20758	40	4	4	4	4	5	4	1007	62	16.241935483870968	7.1
20759	47	4	5	5	5	5	5	914	64	14.28125	8.54
20760	30	3	3	3	3	3	3	1023	54	18.944444444444443	6.42
20761	40	4	4	4	4	4	4	973	61	15.950819672131148	7.08
20762	32	3	4	4	4	4	3	517	22	23.5	4.76
20763	40	4	4	5	4	4	4	967	53	18.245283018867923	6.23
20764	30	3	3	4	4	3	3	329	6	54.833333333333336	1.95
20765	40	4	4	4	4	4	4	1048	47	22.29787234042553	5.49
20766	45	5	5	5	5	5	5	1023	56	18.267857142857142	6.61
20767	45	5	5	5	5	5	5	818	60	13.633333333333333	8.94
20768	45	5	5	6	5	5	5	1035	52	19.903846153846153	6.05
20769	50	5	5	5	5	5	5	1075	80	13.4375	9.33
20770	39	4	4	4	5	5	4	509	24	21.208333333333332	5.38
20771	33	3	3	4	3	4	4	430	27	15.925925925925926	7.32
20772	33	3	4	4	4	3	4	709	30	23.633333333333333	5.39
20773	34	4	4	4	4	3	3	556	43	12.930232558139535	8.96
20774	40	4	4	4	4	4	4	601	28	21.464285714285715	5.05
20775	33	4	4	4	4	4	3	365	13	28.076923076923077	4.01
20776	33	4	3	4	4	3	4	756	30	25.2	4.45
20777	40	4	4	5	4	4	4	634	43	14.744186046511627	8.79
20778	36	4	4	4	4	4	4	691	30	23.033333333333335	4.97
20779	37	4	4	4	4	4	4	728	32	22.75	4.78
20781	40	4	4	4	4	3	4	878	40	21.95	5.17
20783	33	4	4	4	4	4	3	680	43	15.813953488372093	7.41
20784	37	4	4	4	4	4	4	675	39	17.307692307692307	6.22
20785	42	5	4	5	4	5	4	581	31	18.741935483870968	6.24
20787	40	4	4	4	4	4	4	428	29	14.758620689655173	7.65
20790	40	4	4	5	4	4	4	659	34	19.38235294117647	5.91
20791	38	4	4	4	4	4	4	368	22	16.727272727272727	6.75
20792	31	3	3	4	4	4	3	340	29	11.724137931034482	10.0
20793	42	5	4	5	5	5	4	892	56	15.928571428571429	7.05
20794	40	4	4	4	4	4	4	699	36	19.416666666666668	5.53
20795	35	4	4	4	4	4	3	687	37	18.56756756756757	6.0
20796	35	4	4	4	4	4	3	1069	70	15.271428571428572	8.22
20797	33	3	3	3	3	4	4	273	12	22.75	5.0
20800	33	4	4	4	4	4	3	751	45	16.68888888888889	7.71
20802	30	3	3	3	3	3	3	921	31	29.70967741935484	3.6
20803	37	4	4	4	4	4	4	452	20	22.6	4.91
20804	40	4	4	5	4	4	4	471	21	22.428571428571427	4.84
20805	40	4	4	4	4	4	4	959	43	22.302325581395348	4.95
20806	35	4	4	4	4	4	3	675	34	19.852941176470587	5.87
20807	35	4	4	4	4	4	4	581	32	18.15625	6.79
20808	31	3	3	4	4	4	3	695	43	16.162790697674417	7.2
20809	40	4	4	5	4	4	4	970	56	17.321428571428573	6.58
20812	40	4	4	5	4	4	4	1076	70	15.371428571428572	8.09
20813	36	4	4	4	4	4	3	509	24	21.208333333333332	5.17
20814	32	4	4	4	3	3	3	993	77	12.896103896103897	9.1
20815	31	4	3	4	3	3	3	830	32	25.9375	4.15
20817	30	3	3	3	4	3	3	309	19	16.263157894736842	7.17
20818	32	4	4	4	3	3	3	928	20	46.4	2.34
20819	30	3	3	3	3	3	3	358	17	21.058823529411764	5.04
20821	55	6	6	6	5	6	6	1003	65	15.430769230769231	7.77
20822	45	5	5	5	5	5	5	875	47	18.617021276595743	6.05
20823	41	5	4	5	5	4	4	945	42	22.5	5.29
20824	45	5	5	5	5	5	5	646	47	13.74468085106383	8.48
20825	33	4	4	4	4	4	3	561	31	18.096774193548388	6.01
20826	60	6	6	6	6	6	6	832	83	10.024096385542169	12.31
20827	45	5	5	5	5	5	5	786	50	15.72	8.16
20828	28	3	3	4	3	3	3	282	12	23.5	4.78
20829	49	5	5	5	5	5	5	739	49	15.081632653061224	8.31
20830	33	3	4	4	4	4	3	697	37	18.83783783783784	5.89
20831	29	3	3	3	3	3	3	309	9	34.333333333333336	3.04
20832	36	4	4	4	4	4	4	910	45	20.22222222222222	5.66
20833	40	4	4	4	4	4	4	797	57	13.982456140350877	8.62
20835	40	4	4	4	4	4	4	732	36	20.333333333333332	5.56
20836	40	4	4	4	4	4	4	612	30	20.4	5.59
20838	27	3	3	3	3	3	3	311	19	16.36842105263158	6.74
20839	24	3	2	3	3	2	3	178	1	178.0	0.57
20840	32	3	4	4	4	4	3	347	23	15.08695652173913	7.21
20841	33	4	4	4	4	3	3	738	38	19.42105263157895	5.73
20842	40	4	4	4	5	4	4	1059	44	24.068181818181817	5.03
20844	30	4	3	4	4	3	3	1080	60	18.0	6.82
20846	34	4	4	4	4	4	4	634	37	17.135135135135137	6.49
20847	35	4	4	4	4	4	4	627	34	18.441176470588236	6.2
20848	30	3	3	4	4	3	3	984	48	20.5	5.59
20849	44	5	5	5	4	5	4	941	32	29.40625	3.76
20850	31	3	3	4	3	4	3	272	14	19.428571428571427	5.88
20851	32	4	3	4	4	4	3	526	30	17.533333333333335	6.61
20852	40	4	4	4	4	4	4	606	36	16.833333333333332	6.81
20853	32	4	4	4	4	3	3	594	22	27.0	4.11
20856	40	4	4	4	4	4	4	457	26	17.576923076923077	6.77
20857	36	4	4	4	4	4	4	781	43	18.162790697674417	7.33
20859	43	5	5	5	4	5	4	976	56	17.428571428571427	6.5
20860	36	4	4	4	4	4	4	543	26	20.884615384615383	5.14
20861	40	4	4	4	4	4	4	595	29	20.517241379310345	5.57
20862	45	5	5	5	4	5	5	892	62	14.387096774193548	8.12
20863	36	3	4	4	4	4	4	621	32	19.40625	6.06
20865	38	4	4	4	4	4	4	905	53	17.07547169811321	6.31
20866	37	4	4	4	4	4	4	925	59	15.677966101694915	7.46
20869	36	4	4	4	4	4	4	905	70	12.928571428571429	9.02
20870	31	3	4	4	4	3	3	331	18	18.38888888888889	6.12
20871	20	3	3	3	3	3	3	78	4	19.5	5.88
20872	38	4	4	4	4	4	4	734	43	17.069767441860463	6.97
20874	32	4	3	4	3	4	3	543	5	108.6	0.97
20876	37	4	4	4	4	4	4	780	32	24.375	4.46
20877	40	4	4	4	4	4	4	675	36	18.75	5.83
20878	35	4	4	4	4	4	3	755	26	29.03846153846154	3.73
20879	40	4	4	4	4	4	4	737	24	30.708333333333332	3.72
20881	28	4	3	4	3	3	3	987	34	29.029411764705884	4.23
20882	38	5	4	5	4	5	3	874	54	16.185185185185187	7.0
20883	36	4	4	4	4	4	4	535	29	18.448275862068964	6.03
20884	43	4	4	4	4	5	5	762	36	21.166666666666668	5.22
20885	34	4	3	4	4	4	4	367	15	24.466666666666665	4.36
20887	32	4	4	4	4	3	3	515	4	128.75	0.79
20888	50	5	4	5	4	5	5	792	42	18.857142857142858	5.86
20889	40	4	4	4	4	4	4	650	28	23.214285714285715	5.26
20892	40	4	4	4	4	4	4	622	20	31.1	3.79
20893	37	4	4	4	4	4	4	473	24	19.708333333333332	5.73
20894	36	4	4	4	4	4	3	858	43	19.953488372093023	5.64
20895	40	4	4	4	4	4	4	592	33	17.939393939393938	6.24
20896	30	3	3	4	3	3	3	242	18	13.444444444444445	9.52
20897	32	3	3	4	4	3	4	278	23	12.08695652173913	9.24
20898	44	5	5	5	5	5	4	1002	45	22.266666666666666	5.17
20899	37	4	4	4	4	4	4	913	47	19.425531914893618	6.05
20900	42	4	5	5	5	5	4	719	29	24.79310344827586	4.62
20901	40	4	4	4	4	4	4	873	59	14.796610169491526	8.26
20902	40	4	4	4	4	4	4	771	34	22.676470588235293	5.01
20904	30	3	3	3	3	3	3	749	26	28.807692307692307	3.99
20905	34	3	4	4	3	4	4	929	48	19.354166666666668	5.83
20906	44	5	4	4	5	5	5	450	26	17.307692307692307	6.16
20907	36	4	4	4	4	4	4	951	50	19.02	6.68
20908	35	4	4	4	4	4	4	453	28	16.178571428571427	7.16
20909	34	4	4	4	4	3	3	949	44	21.568181818181817	5.12
20910	32	4	3	4	4	4	3	415	22	18.863636363636363	5.96
20911	40	4	4	4	4	4	4	604	37	16.324324324324323	7.84
20913	34	4	4	5	4	4	3	580	22	26.363636363636363	4.17
20914	40	4	4	4	4	4	4	882	45	19.6	6.28
20915	40	4	4	4	4	4	4	1143	70	16.32857142857143	7.91
20916	37	4	4	5	4	4	4	891	33	27.0	4.07
20917	38	4	4	4	4	4	4	581	41	14.170731707317072	8.28
20918	29	3	3	3	3	3	3	402	4	100.5	1.0
20919	34	3	4	4	4	4	4	281	19	14.789473684210526	8.05
20920	32	4	3	4	3	4	3	602	17	35.411764705882355	3.08
20921	43	4	4	5	5	5	5	1006	47	21.404255319148938	5.46
20922	37	4	4	4	4	4	4	335	15	22.333333333333332	5.15
20923	34	3	3	3	3	3	4	674	29	23.24137931034483	4.9
20924	29	3	3	3	3	3	3	255	12	21.25	5.11
20925	30	3	3	4	4	3	3	467	24	19.458333333333332	5.62
20926	47	5	5	5	5	5	5	864	48	18.0	6.5
20927	36	4	4	4	4	4	4	957	35	27.34285714285714	4.13
20928	40	4	4	4	4	4	4	397	27	14.703703703703704	7.63
20929	29	3	3	4	4	4	3	224	9	24.88888888888889	4.39
20930	40	4	4	4	4	4	4	1051	49	21.448979591836736	5.71
20931	41	5	4	5	4	4	4	1022	70	14.6	8.37
20932	40	4	4	5	4	4	4	724	33	21.939393939393938	5.24
20933	32	3	3	4	4	3	4	540	18	30.0	3.58
20935	40	4	4	5	4	4	4	796	37	21.513513513513512	5.15
20936	44	4	4	4	4	4	4	797	37	21.54054054054054	5.67
20938	34	3	4	4	3	4	4	790	52	15.192307692307692	7.12
20939	31	3	3	4	4	4	3	369	18	20.5	5.2
20940	40	4	3	4	4	4	4	484	20	24.2	4.49
20942	40	4	4	5	4	4	4	569	43	13.232558139534884	8.51
20943	40	4	4	5	4	4	4	1204	96	12.541666666666666	10.75
20944	31	3	4	4	3	3	3	865	68	12.720588235294118	9.42
20945	29	3	3	3	4	4	3	513	2	256.5	0.41
20946	43	4	4	4	4	5	5	825	41	20.121951219512194	5.59
20947	40	4	4	4	4	4	4	1009	59	17.10169491525424	7.52
20948	40	4	4	4	4	4	4	988	72	13.722222222222221	8.37
20949	36	4	4	4	4	4	4	841	45	18.68888888888889	6.04
20953	31	3	3	4	4	4	3	679	35	19.4	6.32
20954	15	2	2	2	2	2	2	286	19	15.052631578947368	6.93
20955	40	5	5	5	4	4	4	917	35	26.2	4.11
20956	36	4	4	4	4	4	4	515	33	15.606060606060606	7.37
20957	45	5	5	5	5	5	5	932	41	22.73170731707317	4.96
20958	35	4	4	4	4	4	3	643	35	18.37142857142857	6.69
20959	45	5	5	5	5	5	5	925	51	18.137254901960784	6.38
20962	40	4	4	4	4	4	4	929	35	26.542857142857144	4.1
20963	40	4	4	4	4	4	4	779	37	21.054054054054053	5.34
20964	36	4	4	4	4	4	4	992	45	22.044444444444444	5.26
20965	28	3	3	3	3	3	3	192	7	27.428571428571427	3.95
20966	40	4	4	4	4	4	4	760	26	29.23076923076923	3.7
20967	20	2	2	3	3	2	2	518	3	172.66666666666666	0.59
20968	36	4	4	4	4	4	3	850	48	17.708333333333332	6.17
20971	46	5	5	5	5	5	5	820	37	22.16216216216216	5.42
20972	32	3	3	4	4	4	3	401	28	14.321428571428571	8.51
20973	41	5	4	4	4	4	4	631	30	21.033333333333335	5.16
20974	44	5	5	5	5	4	4	987	48	20.5625	5.65
20975	36	4	4	4	4	4	4	610	28	21.785714285714285	5.0
20976	42	5	5	5	4	4	4	1064	73	14.575342465753424	8.58
20977	42	5	5	5	4	4	4	938	59	15.898305084745763	7.22
20979	31	4	3	4	4	3	3	554	14	39.57142857142857	2.75
20981	40	5	5	5	5	5	5	368	16	23.0	5.13
20982	32	3	3	4	3	3	4	530	19	27.894736842105264	4.07
20983	43	5	5	5	5	5	4	640	25	25.6	4.19
20984	31	3	4	4	4	3	3	819	26	31.5	3.49
20985	36	4	4	4	4	4	3	526	26	20.23076923076923	6.18
20987	35	4	4	4	4	4	4	654	33	19.818181818181817	5.63
20988	36	4	4	5	5	4	4	971	53	18.32075471698113	6.2
20992	40	4	4	4	4	4	4	706	40	17.65	6.36
20993	45	5	5	5	5	5	5	991	44	22.522727272727273	5.19
20994	40	4	4	5	5	4	4	664	35	18.97142857142857	6.08
20996	38	4	3	4	4	4	4	198	14	14.142857142857142	7.82
20998	36	4	4	4	4	4	4	697	38	18.342105263157894	6.25
20999	37	4	4	4	4	4	4	726	35	20.742857142857144	5.37
21000	30	3	3	4	4	3	3	320	18	17.77777777777778	6.5
21001	41	5	4	5	4	4	4	947	61	15.524590163934427	7.13
21002	40	4	4	4	4	4	4	564	37	15.243243243243244	7.57
21003	36	4	4	4	4	4	4	720	32	22.5	5.1
21004	29	3	3	3	3	3	3	349	12	29.083333333333332	3.85
21005	32	4	3	4	4	4	3	503	33	15.242424242424242	7.66
21006	36	4	4	4	4	4	4	865	36	24.02777777777778	4.74
21007	40	4	4	4	4	4	4	811	38	21.342105263157894	5.17
21008	40	4	4	5	5	4	4	698	31	22.516129032258064	4.71
21009	33	4	4	4	4	4	3	950	37	25.675675675675677	4.44
21010	40	4	4	4	4	4	4	733	36	20.36111111111111	5.35
21012	30	3	3	4	3	3	3	656	10	65.6	1.71
21013	24	3	3	4	3	3	3	242	8	30.25	3.42
21014	33	4	4	4	4	4	3	412	24	17.166666666666668	7.0
21015	40	4	4	4	4	4	4	743	38	19.55263157894737	5.86
21016	31	3	3	3	3	3	4	427	18	23.72222222222222	4.79
21017	27	3	3	3	3	3	3	160	9	17.77777777777778	6.47
21020	33	3	3	3	4	4	4	142	7	20.285714285714285	5.38
21021	40	4	4	5	5	4	4	653	30	21.766666666666666	4.95
21022	37	4	4	4	4	4	4	923	49	18.836734693877553	6.3
21023	34	3	4	4	4	4	4	573	29	19.75862068965517	5.75
21024	33	4	3	3	4	3	4	258	13	19.846153846153847	5.24
21025	40	5	5	5	4	4	4	758	35	21.65714285714286	5.07
21026	32	4	4	4	4	3	3	691	33	20.939393939393938	5.21
21028	32	3	3	3	4	3	4	993	51	19.470588235294116	6.33
21029	30	3	3	4	4	3	3	256	7	36.57142857142857	3.07
21030	44	5	5	5	4	4	5	590	31	19.032258064516128	6.1
21031	25	3	3	4	4	3	2	902	20	45.1	2.37
21032	40	4	4	5	5	4	4	1005	55	18.272727272727273	6.51
21033	27	3	3	4	4	3	3	794	26	30.53846153846154	3.72
21034	36	4	4	4	4	4	4	549	8	68.625	1.64
21035	45	5	5	5	5	5	5	687	39	17.615384615384617	6.72
21036	41	5	4	5	4	4	4	703	33	21.303030303030305	5.32
21037	50	5	5	5	5	5	5	1035	60	17.25	6.86
21038	42	4	4	4	4	4	5	609	23	26.47826086956522	4.64
21039	36	4	4	4	4	4	4	688	14	49.142857142857146	2.11
21042	36	4	4	4	4	4	4	978	42	23.285714285714285	4.89
21043	40	4	4	5	4	4	4	965	34	28.38235294117647	4.11
21044	36	4	4	4	4	4	4	822	46	17.869565217391305	6.36
21045	37	4	4	4	4	4	4	441	30	14.7	7.69
21049	40	4	4	4	4	4	4	925	37	25.0	4.42
21051	42	6	4	6	5	5	4	907	57	15.912280701754385	6.84
21052	32	4	3	4	4	3	3	959	20	47.95	2.32
21053	30	3	3	4	4	4	4	636	30	21.2	5.25
21054	43	5	5	5	5	5	4	974	43	22.651162790697676	5.11
21055	35	4	4	4	4	4	4	371	17	21.823529411764707	4.87
21056	48	5	4	5	5	5	5	803	36	22.305555555555557	5.2
21057	40	4	4	5	4	4	4	1179	84	14.035714285714286	9.74
21058	40	4	4	4	4	4	4	1156	82	14.097560975609756	9.4
21059	45	5	5	5	5	5	5	747	27	27.666666666666668	4.13
21060	45	5	5	5	5	5	5	1048	77	13.61038961038961	8.97
21061	30	3	3	4	4	3	3	445	27	16.48148148148148	6.63
21063	37	4	4	4	4	4	4	652	41	15.902439024390244	7.17
21064	38	4	4	4	4	4	4	909	30	30.3	3.81
21065	47	5	5	5	5	5	5	642	38	16.894736842105264	6.52
21067	41	5	4	5	5	5	4	955	54	17.685185185185187	6.3
21068	36	4	4	4	4	4	4	666	25	26.64	4.52
21069	42	5	4	5	5	4	5	983	35	28.085714285714285	4.07
21070	40	4	4	4	4	4	4	951	64	14.859375	9.01
21071	30	3	3	4	4	3	3	986	41	24.048780487804876	4.79
21072	35	4	4	4	4	4	4	800	19	42.10526315789474	2.73
21073	40	4	4	4	5	4	4	1018	41	24.829268292682926	4.85
21074	37	4	4	5	5	4	4	795	52	15.288461538461538	7.34
21075	35	4	4	4	4	4	4	620	28	22.142857142857142	4.98
21076	40	4	4	4	4	4	4	847	43	19.697674418604652	5.74
21077	40	4	4	4	4	4	4	651	35	18.6	5.85
21078	35	4	4	4	4	4	4	385	20	19.25	5.81
21079	34	3	4	3	3	4	4	351	20	17.55	6.39
21081	36	4	4	4	4	4	4	918	38	24.157894736842106	4.44
21083	41	4	4	5	5	5	4	675	19	35.526315789473685	3.12
21085	37	4	4	4	4	4	4	819	43	19.046511627906977	6.43
21086	30	3	3	3	3	3	3	398	17	23.41176470588235	4.87
21087	34	4	4	4	4	4	3	502	21	23.904761904761905	4.69
21089	36	4	4	4	4	4	4	584	34	17.176470588235293	6.48
21090	37	4	4	4	4	3	4	467	31	15.064516129032258	8.07
21091	34	3	4	3	4	4	4	302	27	11.185185185185185	10.38
21092	43	5	5	5	5	5	4	790	35	22.571428571428573	4.94
21093	42	5	5	5	5	4	4	1035	76	13.618421052631579	8.85
21094	40	4	4	4	4	4	4	944	56	16.857142857142858	6.98
21095	35	3	4	4	4	4	4	963	46	20.934782608695652	5.39
21096	37	4	4	4	4	4	4	545	34	16.029411764705884	6.77
21097	46	5	5	5	5	5	5	843	47	17.93617021276596	6.33
21098	43	5	5	5	5	5	4	968	51	18.980392156862745	5.95
21099	40	4	4	4	4	4	4	998	54	18.48148148148148	6.32
21101	40	4	4	4	4	4	4	508	31	16.387096774193548	6.65
21102	31	3	3	3	4	4	3	504	17	29.647058823529413	3.76
21103	32	4	4	4	3	3	3	272	15	18.133333333333333	6.05
21105	40	4	4	4	4	4	4	952	41	23.21951219512195	4.8
21106	40	5	5	5	4	4	4	741	32	23.15625	4.67
21107	40	4	4	5	4	4	4	649	27	24.037037037037038	4.63
21109	40	4	4	4	4	4	4	671	43	15.604651162790697	6.95
21110	45	5	5	5	4	5	5	837	44	19.022727272727273	5.8
21111	36	4	4	4	4	4	3	913	39	23.41025641025641	4.86
21112	35	4	4	4	4	4	3	691	34	20.323529411764707	5.61
21113	36	4	4	4	5	4	3	953	30	31.766666666666666	3.52
21114	40	4	4	5	5	4	4	657	28	23.464285714285715	4.7
21115	32	4	3	4	4	4	3	416	24	17.333333333333332	6.15
21116	37	4	4	4	4	4	4	840	48	17.5	6.33
21118	48	6	5	5	5	5	5	818	32	25.5625	4.56
21119	33	4	4	4	4	3	3	676	39	17.333333333333332	6.4
21120	50	5	5	5	5	5	5	1039	61	17.0327868852459	7.18
21122	46	5	5	5	5	5	5	958	49	19.551020408163264	5.85
21123	43	5	5	5	5	5	4	654	32	20.4375	5.66
21126	27	3	3	4	3	3	3	923	31	29.774193548387096	3.6
21127	35	4	4	5	4	4	3	807	60	13.45	8.25
21129	36	4	4	4	4	3	4	899	37	24.2972972972973	4.3
21130	45	5	5	5	5	5	5	962	60	16.033333333333335	7.05
21131	35	4	4	4	4	4	4	523	37	14.135135135135135	8.15
21132	40	4	4	4	4	4	4	393	24	16.375	7.32
21133	35	4	4	4	4	4	4	845	49	17.244897959183675	6.82
21134	34	4	4	3	4	4	3	936	32	29.25	3.8
21135	40	4	4	5	5	5	4	910	49	18.571428571428573	6.09
21136	33	4	4	4	4	4	3	980	51	19.215686274509803	5.95
21137	39	5	4	5	4	4	4	896	50	17.92	6.41
21138	33	3	3	4	4	4	4	444	31	14.32258064516129	8.33
21140	24	3	2	2	3	3	3	69	2	34.5	2.74
21141	31	4	3	4	4	3	3	216	5	43.2	2.48
21142	36	4	4	4	4	4	3	482	27	17.85185185185185	6.44
21143	40	4	4	4	4	4	4	992	45	22.044444444444444	5.23
21144	40	4	4	4	4	4	4	571	28	20.392857142857142	5.3
21145	32	4	3	4	4	4	3	949	36	26.36111111111111	4.2
21146	47	5	5	5	5	5	5	973	41	23.73170731707317	4.77
21147	40	4	4	4	4	4	4	836	31	26.967741935483872	4.19
21148	35	4	4	4	4	4	4	644	20	32.2	3.28
21149	36	4	4	4	4	4	4	808	38	21.263157894736842	5.32
21150	28	3	2	3	3	3	3	227	9	25.22222222222222	4.37
21151	35	4	4	4	4	4	4	951	40	23.775	4.62
21153	33	3	4	4	4	4	3	540	26	20.76923076923077	5.9
21154	34	4	4	4	4	4	3	730	30	24.333333333333332	4.44
21155	36	4	4	4	4	4	4	960	35	27.428571428571427	4.08
21156	40	4	4	4	4	4	4	883	48	18.395833333333332	6.58
21157	40	4	4	5	4	4	4	1020	65	15.692307692307692	8.0
21158	35	4	4	4	4	4	4	939	84	11.178571428571429	10.8
21159	46	5	5	5	5	5	5	758	41	18.48780487804878	6.31
21160	34	4	3	4	4	4	4	762	25	30.48	3.67
21161	40	4	4	4	4	4	4	981	54	18.166666666666668	6.71
21163	40	4	4	5	4	4	4	574	40	14.35	7.91
21164	45	5	5	5	4	5	5	725	26	27.884615384615383	4.05
21166	31	3	3	4	4	4	3	367	36	10.194444444444445	11.32
21167	40	4	4	4	4	4	4	938	41	22.878048780487806	4.78
21168	40	4	4	4	4	4	4	1044	66	15.818181818181818	7.65
21170	39	5	5	5	4	4	4	966	40	24.15	4.68
21171	35	4	4	4	4	4	4	477	21	22.714285714285715	4.95
21174	42	5	5	5	4	4	4	801	44	18.204545454545453	5.99
21175	38	4	4	4	4	4	4	1065	69	15.434782608695652	8.08
21176	34	3	4	4	4	4	4	565	22	25.681818181818183	4.07
21177	26	2	3	3	3	3	3	294	12	24.5	4.46
21178	31	3	4	4	4	3	3	597	39	15.307692307692308	7.51
21179	31	3	3	3	4	4	3	257	22	11.681818181818182	10.09
21180	40	4	4	4	4	4	4	804	43	18.697674418604652	6.22
21181	40	4	4	5	4	4	4	785	44	17.84090909090909	6.92
21182	31	3	3	4	4	4	3	515	32	16.09375	7.27
21183	36	4	4	4	4	4	3	806	49	16.448979591836736	6.82
21185	42	5	5	5	4	4	4	886	46	19.26086956521739	6.24
21186	39	5	4	5	4	4	4	974	52	18.73076923076923	6.05
21188	37	4	4	4	4	4	4	671	9	74.55555555555556	1.38
21189	37	4	4	4	4	4	4	696	34	20.470588235294116	5.38
21190	36	4	4	4	4	4	3	760	44	17.272727272727273	6.64
21191	34	4	3	4	4	3	3	730	7	104.28571428571429	1.0
21192	35	4	4	4	4	4	4	623	43	14.488372093023257	7.69
21193	40	4	4	4	4	4	4	691	42	16.452380952380953	7.16
21194	42	5	5	5	5	4	4	929	34	27.323529411764707	3.99
21195	36	4	4	4	4	4	4	652	29	22.482758620689655	5.05
21198	34	4	4	4	4	4	3	827	52	15.903846153846153	7.1
21199	35	4	4	4	4	4	3	805	32	25.15625	4.4
21200	40	4	4	4	5	4	4	1082	56	19.321428571428573	6.39
21202	45	5	5	5	5	5	5	662	31	21.35483870967742	5.37
21203	40	4	4	4	4	4	4	810	52	15.576923076923077	7.3
21204	31	3	3	4	4	4	3	436	20	21.8	5.33
21205	31	3	3	4	3	4	3	239	13	18.384615384615383	6.22
21206	34	4	4	4	4	3	3	920	19	48.421052631578945	2.21
21207	44	5	5	5	5	5	4	784	36	21.77777777777778	5.29
21208	38	5	4	5	4	4	4	1000	50	20.0	5.87
21209	42	5	5	5	4	4	4	1011	53	19.07547169811321	6.18
21210	35	4	4	4	4	4	3	648	34	19.058823529411764	5.87
21211	33	4	4	4	4	4	3	749	27	27.74074074074074	3.78
21213	40	4	4	4	4	4	4	572	26	22.0	4.79
21214	40	4	4	4	4	4	4	391	17	23.0	4.7
21215	41	5	4	4	4	4	4	763	39	19.564102564102566	5.48
21217	30	3	3	3	4	3	3	340	11	30.90909090909091	3.43
21218	42	5	5	5	5	4	4	969	47	20.617021276595743	5.43
21219	40	4	4	4	4	4	4	1034	80	12.925	9.51
21220	30	3	3	4	4	3	3	742	23	32.26086956521739	3.25
21221	31	3	3	4	4	4	3	508	21	24.19047619047619	4.68
21222	27	3	3	4	3	3	3	265	9	29.444444444444443	3.6
21223	36	4	4	4	4	4	4	580	39	14.871794871794872	7.85
21224	43	5	5	5	4	5	4	673	36	18.694444444444443	5.97
21225	50	5	5	5	5	5	5	1014	39	26.0	4.5
21227	40	4	4	4	4	4	4	769	45	17.08888888888889	7.05
21229	40	4	4	4	4	4	4	758	44	17.227272727272727	6.85
21230	36	4	4	4	4	4	4	779	47	16.574468085106382	6.92
21233	40	4	4	4	4	4	4	840	53	15.849056603773585	7.42
21235	28	4	3	4	4	3	3	507	4	126.75	0.84
21236	40	4	4	4	4	4	4	655	32	20.46875	5.46
21237	40	4	4	4	4	4	4	982	42	23.38095238095238	4.88
21238	37	4	4	4	4	4	4	637	26	24.5	4.44
21240	26	3	3	3	3	3	3	218	1	218.0	0.47
21241	30	3	3	4	3	3	3	647	32	20.21875	5.57
21244	30	3	3	4	3	3	3	322	15	21.466666666666665	5.05
21245	40	4	4	4	4	4	4	946	45	21.022222222222222	5.19
21246	37	4	4	4	4	4	4	730	33	22.12121212121212	5.45
21247	34	4	4	4	4	3	3	960	48	20.0	5.85
21248	28	3	3	4	3	3	3	492	36	13.666666666666666	8.76
21249	42	5	4	5	5	5	4	433	25	17.32	6.44
21250	44	5	5	5	5	6	5	906	41	22.097560975609756	5.02
