id	overall_score	Ideas_and_Content	Organization	Voice	Word_Choice	Sentence_Fluency	Conventions	total_words	total_sentences	words_div_sentences	sent_density	flesch_reading_ease	flesch_kincaid_grade	smog_index	automated_readability_index	coleman_liau_index	linsear_write_formula	dale_chall_readability_score	text_standard	spache_readability	reading_time	crawford	wiener_sachtextformel	monosyllabcount	polysyllabcount	letter_count	char_count	sentence_count	lexicon_count	syllable_count	ts_avg_len_sent	ts_avg_sent_per_word	ts_avg_syllab_per_word
20764	30	3	3	4	4	3	3	329	6	54.833333333333336	1.95	43.6	22.3	11.6	27.0	5.3	18.0	8.47	12.0	10.062457894736841	17.06	2.2	8.602865263157893	252	11	1136	1161	5	304	370	60.8	0.02	1.2
20765	40	4	4	4	4	4	4	1048	47	22.29787234042553	5.49	69.31	8.3	9.0	9.6	8.01	8.0	7.57	8.0	4.609816450216449	57.2	2.1	3.4677426157680706	607	47	3690	3894	45	847	1146	18.8	0.05	1.4
20766	45	5	5	5	5	5	5	1023	56	18.267857142857142	6.61	68.3	8.7	9.5	10.4	8.36	8.833333333333334	7.26	9.0	4.593440934065934	56.88	2.3	3.54449613095238	607	53	3681	3872	42	832	1144	19.8	0.05	1.4
20767	45	5	5	5	5	5	5	818	60	13.633333333333333	8.94	81.83	5.5	7.3	6.8	6.26	8.333333333333334	6.53	7.0	3.732964863357501	42.23	1.5	1.399026380368098	494	23	2710	2875	44	652	838	14.8	0.07	1.3
20768	45	5	5	6	5	5	5	1035	52	19.903846153846153	6.05	68.5	8.6	9.4	9.4	7.25	5.625	6.63	9.0	4.411511187038466	55.26	2.2	2.8725206436680266	600	52	3571	3762	43	844	1153	19.6	0.05	1.4
20769	50	5	5	5	5	5	5	1075	80	13.4375	9.33	74.08	6.4	8.4	7.7	7.53	6.571428571428571	6.92	7.0	3.7989735984354627	57.28	1.8	2.5634764667535865	600	50	3648	3899	59	832	1129	14.1	0.07	1.4
20770	39	4	4	4	5	5	4	509	24	21.208333333333332	5.38	69.72	8.1	9.7	7.9	6.62	5.111111111111111	6.44	8.0	4.311315610859729	27.79	2.1	2.8874114630467576	335	32	1819	1892	24	442	597	18.4	0.05	1.4
20771	33	3	3	4	3	4	4	430	27	15.925925925925926	7.32	81.02	5.8	8.5	7.1	6.78	7.2857142857142865	6.96	7.0	4.045954220661256	23.22	1.8	2.747308731984982	265	20	1507	1581	23	359	481	15.6	0.06	1.3
20772	33	3	4	4	4	3	4	709	30	23.633333333333333	5.39	57.37	14.9	9.0	18.7	7.03	17.0	7.07	15.0	6.864442332896461	35.17	2.6	5.355306684141546	393	15	2227	2394	14	545	723	38.9	0.03	1.3
20773	34	4	4	4	4	3	3	556	43	12.930232558139535	8.96	93.74	3.0	6.7	3.3	3.98	4.1	5.69	4.0	2.9632082958969748	28.34	0.8	0.1957801138065287	390	16	1848	1929	42	477	584	11.4	0.09	1.2
20774	40	4	4	4	4	4	4	601	28	21.464285714285715	5.05	85.42	6.2	6.0	6.0	3.83	6.428571428571429	5.7	6.0	3.999551948051948	30.19	1.3	1.1524493506493503	467	7	2001	2055	28	550	641	19.6	0.05	1.2
20775	33	4	4	4	4	4	3	365	13	28.076923076923077	4.01	72.94	11.0	9.1	14.5	7.03	17.333333333333332	7.35	7.0	6.091758934169279	19.86	2.1	4.199118871473354	257	11	1306	1352	10	319	398	31.9	0.03	1.2
20776	33	4	3	4	4	3	4	756	30	25.2	4.45	71.28	9.6	9.8	10.7	6.22	14.25	6.62	10.0	4.9688253082795075	39.96	2.1	3.334756899588961	513	35	2621	2720	26	655	851	25.2	0.04	1.3
20777	40	4	4	5	4	4	4	634	43	14.744186046511627	8.79	79.9	6.3	7.5	8.1	6.78	5.5	6.52	7.0	3.9595776750799856	32.08	1.9	2.319110913615357	347	17	2038	2184	29	485	643	16.7	0.06	1.3
20778	36	4	4	4	4	4	4	691	30	23.033333333333335	4.97	75.03	8.1	8.5	9.2	6.38	8.0	7.67	8.0	4.724033337294983	37.39	1.9	2.6714492037081055	477	25	2455	2545	28	601	763	21.5	0.05	1.3
20779	37	4	4	4	4	4	4	728	32	22.75	4.78	72.39	9.1	8.8	9.6	5.69	11.2	6.63	9.0	4.855290598290598	38.46	1.9	2.8346621082621093	516	27	2539	2618	27	650	818	24.1	0.04	1.3
20781	40	4	4	4	4	3	4	878	40	21.95	5.17	76.76	7.5	9.3	8.1	5.92	11.0	6.49	8.0	4.335591947578667	46.01	1.9	2.7040205059920104	586	44	3001	3132	38	751	979	19.8	0.05	1.3
20783	33	4	4	4	4	4	3	680	43	15.813953488372093	7.41	82.14	5.4	7.6	6.3	6.26	8.166666666666666	7.0	7.0	3.889992271157167	36.9	1.5	1.8783806217616577	440	24	2411	2512	40	579	749	14.5	0.07	1.3
20784	37	4	4	4	4	4	4	675	39	17.307692307692307	6.22	89.18	4.8	8.8	5.3	5.1	6.375	5.92	6.0	3.613171160029681	36.46	1.4	1.7001947728584383	508	38	2429	2482	39	622	776	15.9	0.06	1.2
20785	42	5	4	5	4	5	4	581	31	18.741935483870968	6.24	82.68	7.3	8.4	9.8	6.74	8.0	6.9	7.0	4.668959359377892	30.8	1.7	2.3216916496945004	399	19	2007	2097	22	491	607	22.3	0.04	1.2
20787	40	4	4	4	4	4	4	428	29	14.758620689655173	7.65	83.96	4.7	7.4	5.3	6.02	8.0	6.16	6.0	3.185777130508315	23.39	1.6	1.720563356196561	259	16	1532	1592	29	367	493	12.7	0.08	1.3
20790	40	4	4	5	4	4	4	659	34	19.38235294117647	5.91	74.83	8.2	9.8	9.9	6.96	11.6	7.06	10.0	4.740206603131382	36.08	2.2	3.477499659632402	420	35	2362	2456	26	565	761	21.7	0.05	1.3
20791	38	4	4	4	4	4	4	368	22	16.727272727272727	6.75	81.83	5.5	9.2	6.9	7.13	9.0	6.31	6.0	3.636416083916084	21.2	1.6	2.742876923076923	252	25	1400	1443	22	325	427	14.8	0.07	1.3
20792	31	3	3	4	4	4	3	340	29	11.724137931034482	10.0	85.28	4.2	6.7	4.1	4.85	5.222222222222222	5.92	5.0	3.0800842105263153	17.63	1.0	0.9151501754385962	220	10	1146	1200	25	285	360	11.4	0.09	1.3
20793	42	5	4	5	5	5	4	892	56	15.928571428571429	7.05	80.41	6.1	8.2	6.7	6.38	6.125	7.03	7.0	4.138727478870336	49.55	1.6	2.071285837971552	612	39	3272	3373	49	792	1022	16.2	0.06	1.3
20794	40	4	4	4	4	4	4	699	36	19.416666666666668	5.53	78.89	6.7	8.5	7.1	6.15	8.0	6.2	7.0	3.9144504186289892	39.18	1.6	2.07136040467469	513	32	2604	2667	36	637	799	17.7	0.06	1.3
20795	35	4	4	4	4	4	3	687	37	18.56756756756757	6.0	77.57	7.2	8.4	7.6	6.09	7.833333333333334	6.06	8.0	4.094483371087314	37.12	1.8	2.510858360790775	473	27	2447	2527	32	607	779	19.0	0.05	1.3
20796	35	4	4	4	4	4	3	1069	70	15.271428571428572	8.22	74.83	8.2	8.4	10.8	7.43	7.0	7.03	7.0	4.771847063102382	56.29	2.2	2.870133515184578	601	33	3607	3832	39	846	1134	21.7	0.05	1.3
20797	33	3	3	3	3	4	4	273	12	22.75	5.0	66.78	9.2	10.8	10.1	7.49	14.25	6.45	10.0	4.536745143745144	15.23	2.4	4.620988034188034	166	20	999	1037	11	234	323	21.3	0.05	1.4
20800	33	4	4	4	4	4	3	751	45	16.68888888888889	7.71	52.57	14.7	10.8	19.3	9.7	19.0	7.54	15.0	6.602157801418439	40.6	2.9	6.880874468085108	374	29	2566	2764	16	564	793	35.3	0.03	1.4
20802	30	3	3	3	3	3	3	921	31	29.70967741935484	3.6	74.15	10.5	8.5	12.7	5.76	7.666666666666666	6.15	13.0	5.494649263721552	48.51	2.0	3.5207313699241407	672	24	3211	3302	27	830	1024	30.7	0.03	1.2
20803	37	4	4	4	4	4	4	452	20	22.6	4.91	76.25	7.7	8.5	8.3	6.15	13.75	6.83	7.0	4.43745987654321	24.74	1.8	2.3886024691358028	316	18	1637	1684	20	405	516	20.3	0.05	1.3
20804	40	4	4	5	4	4	4	471	21	22.428571428571427	4.84	83.8	6.8	7.0	8.4	5.69	10.6	5.99	6.0	4.254143396226414	25.41	1.6	2.614639999999999	342	9	1677	1730	20	424	515	21.2	0.05	1.2
20805	40	4	4	4	4	4	4	959	43	22.302325581395348	4.95	74.93	8.2	8.9	9.4	6.56	10.4	6.45	9.0	4.4813798760481225	52.59	2.0	2.9328226151415726	636	40	3465	3580	39	844	1102	21.6	0.05	1.3
20806	35	4	4	4	4	4	3	675	34	19.852941176470587	5.87	78.08	7.0	8.5	8.3	6.85	8.5	6.79	7.0	4.165644654619152	36.53	1.9	2.772344412542926	439	27	2383	2487	31	573	748	18.5	0.05	1.3
20807	35	4	4	4	4	4	4	581	32	18.15625	6.79	80.51	6.0	8.2	6.7	5.62	11.2	6.3	6.0	3.7506468847121504	29.13	1.8	2.196366227615806	351	23	1866	1983	29	466	616	16.1	0.06	1.3
20808	31	3	3	4	4	4	3	695	43	16.162790697674417	7.2	90.8	4.1	7.9	5.3	5.1	4.454545454545454	6.04	5.0	3.3437994026879045	35.84	1.3	1.2580967645594825	481	29	2331	2440	41	588	731	14.3	0.07	1.2
20809	40	4	4	5	4	4	4	970	56	17.321428571428573	6.58	79.5	6.4	7.7	6.2	4.99	6.428571428571429	6.09	7.0	3.7692738013865834	49.83	1.5	1.6299453471340688	665	31	3254	3392	49	836	1048	17.1	0.06	1.3
20812	40	4	4	5	4	4	4	1076	70	15.371428571428572	8.09	78.18	6.9	8.5	8.3	6.38	7.833333333333334	6.76	7.0	4.330757178014766	54.21	1.9	2.292637633305988	635	40	3462	3690	46	848	1110	18.4	0.05	1.3
20813	36	4	4	4	4	4	3	509	24	21.208333333333332	5.17	76.56	7.6	8.8	8.8	7.02	11.4	6.69	9.0	4.406826086956521	29.03	2.0	2.6968260869565213	346	23	1928	1976	23	460	600	20.0	0.05	1.3
20814	32	4	4	4	3	3	3	993	77	12.896103896103897	9.1	84.88	4.4	6.7	5.3	6.07	3.416666666666667	6.72	7.0	3.3211915324281014	54.25	1.2	1.1954021253268112	629	27	3536	3693	71	835	1084	11.8	0.09	1.3
20815	31	4	3	4	3	3	3	830	32	25.9375	4.15	64.54	10.1	10.2	11.0	7.9	14.5	6.02	11.0	4.644255319148936	48.58	2.3	3.8507691489361715	551	49	3228	3307	32	752	1016	23.5	0.04	1.4
20817	30	3	3	3	4	3	3	309	19	16.263157894736842	7.17	86.54	5.8	5.3	6.2	4.24	7.5	6.63	6.0	4.045183397683397	14.84	1.2	0.6795127413127413	217	2	960	1010	14	259	304	18.5	0.05	1.2
20818	32	4	4	4	3	3	3	928	20	46.4	2.34	40.02	21.6	11.3	26.4	7.5	28.0	8.29	8.0	9.42095238095238	52.12	2.5	8.443711904761905	651	31	3461	3548	15	840	1079	56.0	0.02	1.3
20819	30	3	3	3	3	3	3	358	17	21.058823529411764	5.04	84.2	6.7	7.6	7.1	4.59	8.5	6.09	7.0	4.212601539039039	18.83	1.7	2.0830481981981976	267	10	1256	1282	16	333	411	20.8	0.05	1.2
20821	55	6	6	6	5	6	6	1003	65	15.430769230769231	7.77	73.27	6.7	9.0	8.3	8.34	6.625	7.92	7.0	4.330132503001201	57.83	2.0	3.2510675870348145	594	59	3765	3937	56	833	1149	14.9	0.07	1.4
20822	45	5	5	5	5	5	5	875	47	18.617021276595743	6.05	80.11	6.2	8.5	7.0	6.26	11.2	6.31	7.0	3.789809344115004	46.74	1.6	2.1473869661575313	585	40	3049	3182	45	742	951	16.5	0.06	1.3
20823	41	5	4	5	5	4	4	945	42	22.5	5.29	62.31	11.0	11.1	13.7	9.12	7.0	8.0	11.0	5.748488082901554	53.66	2.6	5.277911260794472	541	58	3477	3653	30	772	1075	25.7	0.04	1.4
20824	45	5	5	5	5	5	5	646	47	13.74468085106383	8.48	67.65	6.8	9.0	7.8	9.32	6.75	7.14	7.0	3.728245303867403	39.34	2.1	4.0655300920810316	352	47	2574	2678	45	543	800	12.1	0.08	1.5
20825	33	4	4	4	4	4	3	561	31	18.096774193548388	6.01	87.35	5.5	7.4	6.1	4.81	5.625	5.47	6.0	3.668524030382469	29.81	1.4	1.108714243463064	422	16	1981	2029	29	513	626	17.7	0.06	1.2
20826	60	6	6	6	6	6	6	832	83	10.024096385542169	12.31	85.69	4.0	7.9	5.8	6.65	4.181818181818182	7.21	6.0	3.339403343465045	44.57	1.2	2.024918459979737	502	42	2850	3034	60	658	868	11.0	0.09	1.3
20827	45	5	5	5	5	5	5	786	50	15.72	8.16	79.8	6.3	7.1	7.4	5.91	10.4	6.46	7.0	3.945064017660044	38.62	1.8	1.5045821927888157	441	17	2446	2629	36	604	795	16.8	0.06	1.3
20828	28	3	3	4	3	3	3	282	12	23.5	4.78	-148.44	96.1	0.0	121.6	5.6	54.0	18.25	0.0	36.605	14.03	2.2	39.71812	219	6	923	955	1	250	288	250.0	0.0	1.2
20829	49	5	5	5	5	5	5	739	49	15.081632653061224	8.31	71.95	7.2	9.2	9.7	9.22	7.2857142857142865	8.27	8.0	4.507503436426116	41.84	2.3	3.6134274914089346	383	40	2687	2848	36	582	832	16.2	0.06	1.4
20830	33	3	4	4	4	4	3	697	37	18.83783783783784	5.89	86.84	5.7	6.5	6.7	5.46	10.6	5.91	6.0	3.8956603415559767	36.83	1.4	1.6007314990512338	497	12	2432	2507	34	620	756	18.2	0.05	1.2
20831	29	3	3	3	3	3	3	309	9	34.333333333333336	3.04	72.12	11.3	7.4	12.9	5.12	13.0	6.82	13.0	5.913027210884353	16.44	1.7	3.337580952380952	249	5	1104	1119	9	294	345	32.7	0.03	1.2
20832	36	4	4	4	4	4	4	910	45	20.22222222222222	5.66	79.3	6.5	8.0	6.7	5.39	7.666666666666666	5.61	7.0	3.721458451005562	47.3	1.7	1.86877592925403	604	33	3085	3220	45	779	1002	17.3	0.06	1.3
20833	40	4	4	4	4	4	4	797	57	13.982456140350877	8.62	82.04	5.4	7.6	6.2	5.85	4.5	6.43	6.0	3.6981058360516235	40.79	1.5	1.6564162246489862	498	27	2620	2777	44	641	826	14.6	0.07	1.3
20835	40	4	4	4	4	4	4	732	36	20.333333333333332	5.56	77.77	7.1	8.4	7.9	6.44	6.714285714285714	6.3	7.0	4.0914066015120785	39.71	1.7	2.190092052369537	507	29	2609	2703	34	638	808	18.8	0.05	1.3
20836	40	4	4	4	4	4	4	612	30	20.4	5.59	69.62	8.1	11.1	9.0	7.66	11.4	6.23	9.0	4.098778488852188	34.24	2.4	4.117581833195706	376	54	2230	2331	28	519	727	18.5	0.05	1.4
20838	27	3	3	3	3	3	3	311	19	16.36842105263158	6.74	90.39	4.3	5.0	4.7	4.57	4.666666666666667	5.72	5.0	3.279366157328806	16.36	1.0	0.11586308243727528	228	2	1080	1114	19	279	333	14.7	0.07	1.2
20839	24	3	2	3	3	2	3	178	1	178.0	0.57	-63.86	65.6	0.0	82.5	3.97	50.0	14.12	66.0	25.95628571428571	8.96	1.8	26.20962857142857	162	1	606	610	1	175	189	175.0	0.01	1.1
20840	32	3	4	4	4	4	3	347	23	15.08695652173913	7.21	80.72	6.0	8.1	6.5	6.49	8.5	6.37	6.0	3.860600788643533	19.77	1.7	2.250798233438485	237	15	1315	1346	20	317	415	15.9	0.06	1.3
20841	33	4	4	4	4	3	3	738	38	19.42105263157895	5.73	87.25	5.5	7.7	6.3	4.99	8.0	6.46	6.0	4.026148771872176	38.78	1.4	1.6827951532079188	539	24	2559	2640	37	658	802	17.8	0.06	1.2
20842	40	4	4	4	5	4	4	1059	44	24.068181818181817	5.03	66.1	11.6	9.6	14.6	7.61	7.666666666666666	7.59	8.0	6.015852641763418	55.34	2.3	4.280349453138146	639	36	3557	3767	28	849	1105	30.3	0.03	1.3
20844	30	4	3	4	4	3	3	1080	60	18.0	6.82	64.58	12.2	9.5	15.8	7.79	27.5	7.44	8.0	6.056360832404311	55.0	2.4	4.229821850613155	602	32	3492	3744	26	828	1094	31.8	0.03	1.3
20846	34	4	4	4	4	4	4	634	37	17.135135135135137	6.49	80.21	6.1	8.2	6.8	6.26	6.0	6.03	6.0	3.772590497737556	34.86	1.8	2.219563990318847	418	27	2299	2373	34	559	733	16.4	0.06	1.3
20847	35	4	4	4	4	4	4	627	34	18.441176470588236	6.2	80.82	5.9	8.1	6.0	5.51	6.0	5.86	6.0	3.6775525912967413	32.77	1.7	2.1248205116991037	401	26	2142	2231	34	538	702	15.8	0.06	1.3
20848	30	3	3	4	4	3	3	984	48	20.5	5.59	78.18	6.9	9.2	7.1	5.63	6.857142857142857	6.17	7.0	4.074908551922386	51.19	1.8	2.4434365484318055	670	52	3345	3485	46	847	1088	18.4	0.05	1.3
20849	44	5	5	5	4	5	4	941	32	29.40625	3.76	68.13	10.8	9.5	12.1	6.27	11.8	6.66	12.0	5.372241509433962	51.28	2.0	3.801740911949685	676	37	3398	3491	30	848	1069	28.3	0.04	1.3
20850	31	3	3	4	3	4	3	272	14	19.428571428571427	5.88	78.38	6.8	8.6	7.6	6.09	6.857142857142857	6.35	7.0	4.1275058670143405	14.69	1.8	2.352907822685789	188	12	963	1000	13	236	303	18.2	0.06	1.3
20851	32	4	3	4	4	4	3	526	30	17.533333333333335	6.61	79.3	6.5	7.6	7.2	6.03	5.875	6.25	7.0	3.933144721132526	28.04	1.8	1.6764964352720457	353	16	1834	1909	26	451	584	17.3	0.06	1.3
20852	40	4	4	4	4	4	4	606	36	16.833333333333332	6.81	80.72	6.0	8.0	7.4	7.19	6.714285714285714	7.13	8.0	4.034743518838576	34.18	1.7	2.5163214195183783	402	24	2246	2327	33	526	685	15.9	0.06	1.3
20853	32	4	4	4	4	3	3	594	22	27.0	4.11	17.82	32.2	10.5	40.7	6.52	52.0	10.57	11.0	13.83685589941973	30.67	2.4	12.82423301096067	417	10	2014	2088	6	517	636	86.2	0.01	1.2
20856	40	4	4	4	4	4	4	457	26	17.576923076923077	6.77	73.58	6.6	10.0	7.7	7.88	7.2857142857142865	7.31	8.0	3.963453441295546	25.93	2.3	3.526455465587045	275	38	1687	1765	26	380	550	14.6	0.07	1.4
20857	36	4	4	4	4	4	4	781	43	18.162790697674417	7.33	71.38	9.5	7.6	12.3	7.03	13.25	6.74	7.0	5.017162082736794	38.06	2.1	2.902936010850726	434	14	2390	2591	23	577	739	25.1	0.04	1.3
20859	43	5	5	5	4	5	4	976	56	17.428571428571427	6.5	81.22	5.8	7.9	5.3	5.04	5.5	6.38	6.0	3.77191121605667	50.42	1.5	1.619691097992916	674	38	3302	3432	55	847	1072	15.4	0.06	1.3
