id	overall_score	Ideas	Organization	Style	Conventions	total_words	total_sentences	words_div_sentences	sent_density	difficult_words	proportion_vocab_list[a]_total_words	proportion_vocab_list[a]_headwords	proportion_vocab_list[accent]_total_words	proportion_vocab_list[accent]_headwords	proportion_vocab_list[abandon]_total_words	proportion_vocab_list[abandon]_headwords	proportion_vocab_list[abnormal]_total_words	proportion_vocab_list[abnormal]_headwords	proportion_vocab_list[abbey]_total_words	proportion_vocab_list[abbey]_headwords	proportion_vocab_list[abduct]_total_words	proportion_vocab_list[abduct]_headwords	proportion_vocab_list[abate]_total_words	proportion_vocab_list[abate]_headwords	proportion_vocab_list[aback]_total_words	proportion_vocab_list[aback]_headwords	proportion_vocab_list[abbot]_total_words	proportion_vocab_list[abbot]_headwords	proportion_vocab_list[abet]_total_words	proportion_vocab_list[abet]_headwords	proportion_vocab_list[abrasion]_total_words	proportion_vocab_list[abrasion]_headwords	proportion_vocab_list[aberrant]_total_words	proportion_vocab_list[aberrant]_headwords	proportion_vocab_list[abattoir]_total_words	proportion_vocab_list[abattoir]_headwords	proportion_vocab_list[abashed]_total_words	proportion_vocab_list[abashed]_headwords	proportion_vocab_list[abacus]_total_words	proportion_vocab_list[abacus]_headwords	proportion_vocab_list[abalone]_total_words	proportion_vocab_list[abalone]_headwords	proportion_vocab_list[abductee]_total_words	proportion_vocab_list[abductee]_headwords	proportion_vocab_list[aardvark]_total_words	proportion_vocab_list[aardvark]_headwords	proportion_vocab_list[abnegate]_total_words	proportion_vocab_list[abnegate]_headwords	proportion_vocab_list[abaya]_total_words	proportion_vocab_list[abaya]_headwords	proportion_vocab_list[abaft]_total_words	proportion_vocab_list[abaft]_headwords	proportion_vocab_list[abomasum]_total_words	proportion_vocab_list[abomasum]_headwords	proportion_vocab_list[abettor]_total_words	proportion_vocab_list[abettor]_headwords	proportion_vocab_list[acetal]_total_words	proportion_vocab_list[acetal]_headwords	proportion_vocab_list[ablaut]_total_words	proportion_vocab_list[ablaut]_headwords	proportion_vocab_list[a1]_total_words	proportion_vocab_list[a1]_headwords	proportion_vocab_list[ah]_total_words	proportion_vocab_list[ah]_headwords	proportion_vocab_list[absentminded]_total_words	proportion_vocab_list[absentminded]_headwords	proportion_vocab_list[aal]_total_words	proportion_vocab_list[aal]_headwords	unique_words	ttrr	num_types
17845	16	2	2	2	2	190	9	21.11111111111111	5.08	10	0.3684210526315789	0.010208546011375236	0.005263157894736842	0.00015698587127158556	0.005263157894736842	0.00017006802721088434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.59	0.49	86
17846	19	2	2	3	3	138	9	15.333333333333334	7.5	14	0.4420289855072464	0.008896018667055564	0.014492753623188406	0.0003139717425431711	0.0	0.0	0.014492753623188406	0.00041109969167523125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.17	0.69	83
17847	17	2	2	2	3	208	11	18.90909090909091	5.88	17	0.3798076923076923	0.01152107335569491	0.014423076923076924	0.00047095761381475666	0.009615384615384616	0.0003401360544217687	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004807692307692308	0.0003399048266485384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004807692307692308	0.0005494505494505495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004807692307692308	0.00016545334215751158	0.0	0.0	55.08	0.55	103
17849	14	2	2	2	2	182	10	18.2	6.06	9	0.34065934065934067	0.009041855038646638	0.04395604395604396	0.0012558869701726845	0.005494505494505495	0.00017006802721088434	0.016483516483516484	0.0006166495375128469	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005494505494505495	0.0003399048266485384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.94	0.54	89
17850	12	2	2	1	2	182	4	45.5	2.41	12	0.4010989010989011	0.010646055126148461	0.02197802197802198	0.0006279434850863422	0.01098901098901099	0.0003401360544217687	0.0	0.0	0.005494505494505495	0.00023282887077997672	0.01098901098901099	0.00048756704046806434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005494505494505495	0.00016545334215751158	0.0	0.0	58.43	0.58	97
17851	16	2	2	2	2	198	13	15.23076923076923	7.74	12	0.3282828282828283	0.009479364153419862	0.020202020202020204	0.0006279434850863422	0.0	0.0	0.005050505050505051	0.00020554984583761563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005050505050505051	4.462492748449284e-05	0.0	0.0	0.0	0.0	0.005050505050505051	0.0008703220191470844	55.36	0.55	93
17852	17	2	3	2	2	264	17	15.529411764705882	7.52	26	0.3068181818181818	0.01181274609887706	0.03409090909090909	0.00141287284144427	0.011363636363636364	0.0005102040816326531	0.003787878787878788	0.00020554984583761563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.88	0.51	115
17853	16	2	2	2	2	104	8	13.0	8.6	18	0.3557692307692308	0.005395945748869768	0.04807692307692308	0.0007849293563579278	0.019230769230769232	0.0003401360544217687	0.009615384615384616	0.00020554984583761563	0.009615384615384616	0.00023282887077997672	0.0	0.0	0.009615384615384616	0.0002718129926610492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.04	0.72	67
17854	21	3	3	2	3	204	12	17.0	6.59	19	0.3872549019607843	0.01152107335569491	0.014705882352941176	0.00047095761381475666	0.0	0.0	0.004901960784313725	0.00020554984583761563	0.0	0.0	0.0	0.0	0.004901960784313725	0.0002718129926610492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004901960784313725	0.0007173601147776184	0.0	0.0	0.0	0.0	0.0	0.0	0.004901960784313725	0.00510204081632653	0.004901960784313725	0.00016545334215751158	0.0	0.0	54.95	0.55	100
17856	14	1	2	2	3	154	12	12.833333333333334	8.63	13	0.35714285714285715	0.008021000437509114	0.01948051948051948	0.00047095761381475666	0.0	0.0	0.0	0.0	0.006493506493506494	0.00023282887077997672	0.0	0.0	0.0	0.0	0.006493506493506494	0.0002924831822170225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.64	0.5	69
17857	18	2	2	2	3	168	9	18.666666666666668	5.81	16	0.3392857142857143	0.008312673180691264	0.02976190476190476	0.0007849293563579278	0.005952380952380952	0.00017006802721088434	0.005952380952380952	0.00020554984583761563	0.005952380952380952	0.00023282887077997672	0.0	0.0	0.0	0.0	0.0	0.0	0.005952380952380952	0.00031289111389236547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005952380952380952	0.00016545334215751158	0.0	0.0	52.26	0.52	81
17858	24	3	3	3	3	213	16	13.3125	8.16	13	0.37089201877934275	0.01152107335569491	0.03286384976525822	0.001098901098901099	0.004694835680751174	0.00017006802721088434	0.009389671361502348	0.00041109969167523125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004694835680751174	0.00033534540576794097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.49	0.49	97
17859	17	2	2	2	3	209	11	19.0	5.95	14	0.37320574162679426	0.011375236984103835	0.019138755980861243	0.0006279434850863422	0.0	0.0	0.014354066985645933	0.0006166495375128469	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004784688995215311	0.00016545334215751158	0.004784688995215311	0.0008703220191470844	53.51	0.54	99
17860	16	2	2	2	2	210	13	16.153846153846153	6.91	25	0.3333333333333333	0.010208546011375236	0.0380952380952381	0.0012558869701726845	0.014285714285714285	0.0005102040816326531	0.023809523809523808	0.0010277492291880781	0.0	0.0	0.0	0.0	0.004761904761904762	0.0002718129926610492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004761904761904762	0.00016545334215751158	0.004761904761904762	0.0008703220191470844	53.72	0.54	101
17861	16	2	2	2	2	147	5	29.4	3.57	6	0.43537414965986393	0.009333527781828789	0.013605442176870748	0.0003139717425431711	0.0	0.0	0.006802721088435374	0.00020554984583761563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006802721088435374	0.00016545334215751158	0.0	0.0	52.86	0.53	74
17862	9	1	1	1	2	112	9	12.444444444444445	8.74	7	0.375	0.006125127606825142	0.017857142857142856	0.0003139717425431711	0.008928571428571428	0.00017006802721088434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008928571428571428	0.0008703220191470844	53.4	0.53	55
17863	6	0	1	1	1	59	4	14.75	7.84	7	0.559322033898305	0.004812600262505469	0.06779661016949153	0.0006279434850863422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.39	0.8	41
17864	10	2	2	1	1	117	4	29.25	3.74	7	0.4358974358974359	0.007437654951144816	0.017094017094017096	0.0003139717425431711	0.0	0.0	0.008547008547008548	0.00020554984583761563	0.008547008547008548	0.00023282887077997672	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.68	0.62	66
17865	17	2	3	2	2	362	15	24.133333333333333	5.43	37	0.22099447513812154	0.011666909727285985	0.022099447513812154	0.0012558869701726845	0.0	0.0	0.0	0.0	0.0027624309392265192	0.00023282887077997672	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0027624309392265192	0.00041407867494824016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0027624309392265192	0.00510204081632653	0.0027624309392265192	0.00016545334215751158	0.0	0.0	46.74	0.47	129
17867	16	2	2	2	2	194	12	16.166666666666668	6.86	8	0.3917525773195876	0.011083564240921686	0.010309278350515464	0.0003139717425431711	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005154639175257732	0.00016545334215751158	0.005154639175257732	0.0008703220191470844	52.0	0.52	91
17868	15	2	2	2	2	378	18	21.0	5.36	23	0.32275132275132273	0.017792037334111128	0.015873015873015872	0.0009419152276295133	0.0026455026455026454	0.00017006802721088434	0.0026455026455026454	0.00020554984583761563	0.0	0.0	0.0026455026455026454	0.00024378352023403217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005291005291005291	0.0006798096532970768	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0026455026455026454	0.0008703220191470844	46.13	0.46	155
17869	11	1	1	2	2	127	10	12.7	8.77	13	0.49606299212598426	0.009187691410237713	0.023622047244094488	0.00047095761381475666	0.0	0.0	0.007874015748031496	0.00020554984583761563	0.007874015748031496	0.00023282887077997672	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.54	0.68	77
17870	19	2	3	3	3	152	2	76.0	1.52	17	0.3815789473684211	0.008458509552282339	0.013157894736842105	0.0003139717425431711	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006578947368421052	0.0002924831822170225	0.0	0.0	0.0	0.0	0.0	0.0	0.006578947368421052	0.00036310820624546115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006578947368421052	0.0008703220191470844	62.88	0.63	83
17871	24	3	3	3	3	475	29	16.379310344827587	7.32	40	0.25263157894736843	0.017500364590928977	0.018947368421052633	0.00141287284144427	0.01263157894736842	0.0010204081632653062	0.016842105263157894	0.001644398766700925	0.008421052631578947	0.0009313154831199069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002105263157894737	0.0003399048266485384	0.0	0.0	0.002105263157894737	0.00041407867494824016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002105263157894737	0.000517063081695967	0.0	0.0	0.0	0.0	0.002105263157894737	0.0006056935190793458	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004210526315789474	8.924985496898568e-05	0.0	0.0	0.002105263157894737	0.00016545334215751158	0.0	0.0	47.22	0.47	187
17872	18	2	2	3	3	186	13	14.307692307692308	8.28	14	0.3709677419354839	0.010062709639784163	0.03225806451612903	0.0009419152276295133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005376344086021506	0.00031289111389236547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.42	0.62	98
17873	16	2	2	2	3	219	16	13.6875	7.96	13	0.4018264840182648	0.012833600700014583	0.0228310502283105	0.0007849293563579278	0.0	0.0	0.0	0.0	0.0045662100456621	0.00023282887077997672	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0045662100456621	0.000649772579597141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.74	0.52	104
