id	overall_score	Ideas	Organization	Style	Conventions	total_words	total_sentences	words_div_sentences	sent_density	pct_transitions	pct_rel_trigrams	grammar_errors_ltp_by_words
17873	16	2	2	2	3	219	16	13.6875	7.96	0.0374	17.65	0.0502283105022831
17874	20	3	3	2	3	187	8	23.375	4.73	0.0374	11.76	0.09090909090909091
17875	12	2	2	2	2	186	6	31.0	3.37	0.0467	11.76	0.06451612903225806
17876	19	3	3	2	3	256	14	18.285714285714285	6.28	0.0374	17.65	0.0390625
17878	10	0	2	2	2	153	11	13.909090909090908	8.73	0.0187	11.76	0.05228758169934641
17879	7	1	1	1	1	60	5	12.0	11.36	0.0093	5.04	0.06666666666666667
17880	16	2	2	2	2	124	7	17.714285714285715	6.31	0.0093	15.97	0.016129032258064516
17881	12	1	1	2	2	199	10	19.9	5.41	0.028	20.17	0.04522613065326633
17882	12	1	2	2	2	77	3	25.666666666666668	4.11	0.0187	6.72	0.12987012987012986
17883	20	3	3	3	3	239	15	15.933333333333334	6.94	0.028	20.17	0.09205020920502092
17884	24	3	3	3	3	290	20	14.5	8.77	0.0561	14.29	0.006896551724137931
17885	9	2	2	1	1	139	4	34.75	3.03	0.0187	11.76	0.05755395683453238
17886	9	1	1	1	2	74	6	12.333333333333334	9.09	0.0	8.4	0.013513513513513514
17887	20	3	3	2	2	287	23	12.478260869565217	9.13	0.0374	19.33	0.07317073170731707
17888	16	2	2	2	2	224	14	16.0	7.18	0.0467	18.49	0.044642857142857144
17889	8	0	1	1	2	142	8	17.75	6.15	0.0093	12.61	0.09859154929577464
17890	15	2	2	2	2	135	7	19.285714285714285	5.6	0.0374	6.72	0.06666666666666667
17891	20	3	3	3	3	82	9	9.11111111111111	14.06	0.0	6.72	0.06097560975609756
17892	17	2	3	2	2	196	14	14.0	8.14	0.0467	18.49	0.04591836734693878
17893	18	3	3	2	2	103	6	17.166666666666668	6.45	0.028	4.2	0.07766990291262135
17894	13	2	2	2	2	48	4	12.0	9.09	0.0093	4.2	0.041666666666666664
17896	12	1	1	2	2	374	13	28.76923076923077	4.23	0.0187	21.01	0.05614973262032086
17897	20	3	2	3	3	191	7	27.285714285714285	3.98	0.0654	11.76	0.10471204188481675
17898	16	2	2	2	2	218	15	14.533333333333333	7.73	0.0374	12.61	0.01834862385321101
17899	24	3	3	3	3	732	51	14.352941176470589	8.39	0.0748	32.77	0.06420765027322405
17900	16	2	2	2	2	176	7	25.142857142857142	4.4	0.028	12.61	0.09090909090909091
17901	10	2	2	1	1	103	11	9.363636363636363	12.09	0.0187	8.4	0.10679611650485436
17902	17	2	3	2	2	266	15	17.733333333333334	6.3	0.0654	17.65	0.03759398496240601
17903	12	2	1	2	2	93	5	18.6	6.02	0.0	5.88	0.06451612903225806
17904	17	2	2	2	3	147	11	13.363636363636363	9.65	0.0093	9.24	0.10204081632653061
17905	8	1	1	1	1	79	1	79.0	1.28	0.0187	4.2	0.11392405063291139
17906	22	3	3	3	3	237	13	18.23076923076923	7.43	0.0093	10.92	0.08860759493670886
17908	24	3	3	3	3	213	10	21.3	5.21	0.0187	16.81	0.056338028169014086
17909	21	3	3	2	3	219	10	21.9	5.0	0.0187	19.33	0.045662100456621
17910	19	3	3	3	2	256	18	14.222222222222221	7.86	0.028	21.85	0.0703125
17911	19	3	3	2	3	219	20	10.95	10.81	0.0561	15.13	0.0684931506849315
17912	12	2	2	2	2	213	13	16.384615384615383	7.3	0.0093	11.76	0.13145539906103287
17913	16	2	2	2	3	124	7	17.714285714285715	6.25	0.028	13.45	0.06451612903225806
17914	12	0	2	3	2	122	4	30.5	3.54	0.0187	15.13	0.040983606557377046
17915	15	2	2	2	2	125	6	20.833333333333332	5.13	0.0187	10.08	0.104
17916	9	1	1	1	2	94	4	23.5	4.6	0.0	7.56	0.09574468085106383
17917	8	2	1	1	1	110	3	36.666666666666664	2.78	0.0187	12.61	0.06363636363636363
17918	14	2	2	2	2	143	6	23.833333333333332	4.44	0.0093	15.97	0.11888111888111888
17919	23	3	3	3	3	279	17	16.41176470588235	6.56	0.0374	15.97	0.06093189964157706
17920	14	2	2	2	2	88	6	14.666666666666666	9.23	0.0093	9.24	0.011363636363636364
17921	10	1	1	2	1	223	6	37.166666666666664	2.82	0.0467	10.92	0.16591928251121077
17922	17	2	2	2	3	148	11	13.454545454545455	8.59	0.0093	14.29	0.0472972972972973
17923	21	3	3	3	3	224	17	13.176470588235293	8.37	0.0374	25.21	0.08482142857142858
17924	24	3	3	3	3	394	30	13.133333333333333	10.03	0.0748	19.33	0.04314720812182741
17926	21	3	3	2	3	320	16	20.0	5.42	0.0561	25.21	0.071875
17927	6	1	1	1	0	128	8	16.0	6.72	0.0093	10.92	0.234375
17928	12	1	2	2	2	181	4	45.25	2.31	0.0	11.76	0.07734806629834254
17930	21	3	3	3	3	238	13	18.307692307692307	5.8	0.0654	21.85	0.029411764705882353
17931	24	3	3	3	3	208	17	12.235294117647058	9.09	0.0561	16.81	0.04326923076923077
17932	24	3	3	3	3	403	25	16.12	7.53	0.0561	25.21	0.01488833746898263
17933	15	2	2	2	2	115	10	11.5	10.31	0.0093	7.56	0.06956521739130435
17935	14	2	2	2	2	132	6	22.0	4.76	0.028	8.4	0.07575757575757576
17936	9	1	1	2	2	54	4	13.5	8.16	0.0093	4.2	0.12962962962962962
17937	9	1	1	1	2	72	5	14.4	7.69	0.0	11.76	0.06944444444444445
17938	9	0	1	2	2	332	17	19.529411764705884	5.45	0.0467	25.21	0.07228915662650602
17939	22	3	3	3	3	290	23	12.608695652173912	9.09	0.0093	21.85	0.03103448275862069
17940	8	1	1	1	1	89	7	12.714285714285714	8.75	0.0093	9.24	0.16853932584269662
17941	15	2	2	2	2	155	5	31.0	3.55	0.0187	16.81	0.0967741935483871
17942	20	2	3	3	3	139	5	27.8	4.31	0.0	15.13	0.02877697841726619
17943	10	2	2	1	1	175	4	43.75	2.4	0.028	14.29	0.07428571428571429
17944	18	3	3	2	2	180	11	16.363636363636363	7.33	0.0187	14.29	0.1
17945	18	2	3	3	3	148	5	29.6	3.79	0.0467	11.76	0.013513513513513514
17946	14	2	2	2	2	87	5	17.4	6.41	0.028	5.88	0.034482758620689655
17947	23	3	3	3	3	411	35	11.742857142857142	10.42	0.0748	23.53	0.05596107055961071
17949	6	0	1	1	1	107	6	17.833333333333332	6.45	0.0	10.08	0.1588785046728972
17950	11	1	1	2	2	73	5	14.6	7.81	0.0093	8.4	0.0410958904109589
17951	9	1	1	1	2	74	2	37.0	3.08	0.0	4.2	0.04054054054054054
17952	21	2	3	3	3	236	15	15.733333333333333	7.35	0.0467	15.97	0.0211864406779661
17953	16	2	2	2	2	172	9	19.11111111111111	5.81	0.028	18.49	0.040697674418604654
17954	11	2	2	1	2	182	13	14.0	8.07	0.0	12.61	0.038461538461538464
17955	20	2	2	3	3	173	6	28.833333333333332	4.14	0.0093	10.08	0.04046242774566474
17957	8	0	1	2	2	89	5	17.8	6.25	0.0093	6.72	0.06741573033707865
17959	7	0	1	1	2	90	4	22.5	4.76	0.0187	7.56	0.07777777777777778
17961	17	2	2	2	3	188	9	20.88888888888889	5.42	0.0187	9.24	0.0797872340425532
17962	14	0	2	2	3	165	9	18.333333333333332	6.0	0.0	18.49	0.03636363636363636
17963	22	3	3	3	2	518	13	39.84615384615385	2.8	0.0467	20.17	0.08301158301158301
17964	21	3	3	3	3	201	17	11.823529411764707	10.43	0.0374	12.61	0.08955223880597014
17965	12	1	2	2	2	179	11	16.272727272727273	6.59	0.0093	20.17	0.0335195530726257
17966	18	2	3	2	3	209	13	16.076923076923077	6.91	0.0187	15.97	0.023923444976076555
17967	12	2	2	2	2	383	19	20.157894736842106	5.96	0.028	15.97	0.08877284595300261
17968	19	2	2	3	3	172	12	14.333333333333334	8.39	0.0187	10.92	0.0755813953488372
17969	16	2	2	2	2	141	7	20.142857142857142	5.79	0.0187	10.92	0.05673758865248227
17970	11	1	2	2	2	61	5	12.2	8.93	0.0093	3.36	0.11475409836065574
17971	18	2	3	3	2	318	12	26.5	4.35	0.0187	16.81	0.09119496855345911
17973	15	2	2	2	2	157	7	22.428571428571427	4.93	0.0187	16.81	0.050955414012738856
17974	17	2	2	2	3	234	15	15.6	7.11	0.0467	10.92	0.11538461538461539
17975	16	2	2	2	2	251	17	14.764705882352942	8.06	0.0187	20.17	0.035856573705179286
17976	9	0	1	2	2	130	9	14.444444444444445	7.76	0.0	13.45	0.046153846153846156
17977	16	2	2	2	2	78	3	26.0	4.11	0.0187	7.56	0.05128205128205128
17978	9	1	1	2	1	86	9	9.555555555555555	11.84	0.0187	8.4	0.09302325581395349
17979	17	2	3	2	2	142	2	71.0	1.48	0.028	10.92	0.07042253521126761
17980	24	3	3	3	3	231	12	19.25	5.88	0.0374	12.61	0.09956709956709957
17981	11	1	2	2	2	163	12	13.583333333333334	8.28	0.028	16.81	0.03680981595092025
17982	9	1	2	1	1	103	8	12.875	8.79	0.028	9.24	0.04854368932038835
17983	18	3	3	2	2	160	11	14.545454545454545	7.59	0.028	13.45	0.10625
17984	18	2	2	2	3	176	16	11.0	10.53	0.0467	19.33	0.08522727272727272
17985	14	2	2	2	2	135	9	15.0	8.11	0.028	10.92	0.022222222222222223
17986	17	2	2	2	3	309	22	14.045454545454545	8.3	0.0374	20.17	0.025889967637540454
17987	18	2	2	3	3	239	12	19.916666666666668	5.58	0.0187	14.29	0.04184100418410042
17988	15	2	2	2	2	118	7	16.857142857142858	6.42	0.0374	5.04	0.11016949152542373
17989	13	2	1	2	2	83	6	13.833333333333334	7.89	0.0093	9.24	0.04819277108433735
17990	11	1	1	2	3	216	3	72.0	1.48	0.0093	18.49	0.2962962962962963
17991	24	3	3	3	3	390	30	13.0	8.98	0.0374	21.01	0.020512820512820513
17992	7	0	1	1	2	33	2	16.5	6.45	0.0	2.52	0.06060606060606061
17993	17	3	3	2	2	173	7	24.714285714285715	4.49	0.0187	14.29	0.05202312138728324
17996	11	2	2	2	1	90	1	90.0	1.16	0.0093	10.08	0.15555555555555556
17997	16	2	3	2	2	224	8	28.0	4.02	0.0	16.81	0.06696428571428571
17998	17	2	2	2	3	183	12	15.25	7.36	0.0187	19.33	0.0
18000	22	3	3	3	3	344	25	13.76	8.47	0.0467	26.89	0.029069767441860465
18001	12	2	2	2	2	74	5	14.8	7.46	0.0093	7.56	0.10810810810810811
18002	12	2	2	2	1	239	9	26.555555555555557	4.25	0.028	15.13	0.04184100418410042
18004	16	2	2	2	2	201	19	10.578947368421053	10.61	0.0093	15.13	0.0845771144278607
18005	20	3	3	3	2	289	21	13.761904761904763	8.94	0.0374	15.97	0.06228373702422145
18006	16	2	2	2	2	236	18	13.11111111111111	8.53	0.0374	18.49	0.038135593220338986
18008	15	2	2	2	2	142	8	17.75	5.97	0.0374	15.13	0.04225352112676056
18011	8	0	1	2	2	96	2	48.0	2.3	0.0187	6.72	0.052083333333333336
18012	17	3	2	2	3	280	13	21.53846153846154	6.47	0.0187	10.92	0.08571428571428572
18013	13	2	2	2	2	175	6	29.166666666666668	3.73	0.0	10.92	0.11428571428571428
18014	20	3	3	3	3	166	15	11.066666666666666	10.42	0.0374	8.4	0.04819277108433735
18015	14	2	2	2	1	274	2	137.0	0.77	0.0374	18.49	0.06934306569343066
18016	24	3	3	3	3	389	33	11.787878787878787	11.15	0.0093	15.13	0.06683804627249357
18017	17	2	2	2	3	236	19	12.421052631578947	9.0	0.028	17.65	0.06779661016949153
18018	12	1	2	2	2	81	7	11.571428571428571	10.0	0.0093	3.36	0.024691358024691357
18019	20	3	3	3	3	310	17	18.235294117647058	6.07	0.028	18.49	0.06129032258064516
18020	13	2	2	2	1	118	11	10.727272727272727	10.28	0.0187	10.08	0.05084745762711865
18021	16	2	2	2	2	117	4	29.25	3.88	0.0187	12.61	0.1111111111111111
18022	18	2	3	2	3	328	20	16.4	6.71	0.0654	21.01	0.021341463414634148
18023	12	2	2	2	2	186	10	18.6	6.13	0.0187	17.65	0.1881720430107527
18025	21	3	3	3	3	246	14	17.571428571428573	6.45	0.0374	15.97	0.0975609756097561
18026	19	3	3	2	3	138	9	15.333333333333334	6.98	0.028	9.24	0.036231884057971016
18028	23	3	3	3	3	218	10	21.8	5.1	0.028	16.81	0.027522935779816515
18029	17	2	3	2	2	221	11	20.09090909090909	5.73	0.028	18.49	0.05429864253393665
18030	21	3	3	2	3	309	16	19.3125	5.84	0.0374	26.89	0.02912621359223301
18031	9	1	1	2	2	86	5	17.2	6.85	0.0093	7.56	0.03488372093023256
18032	15	2	2	2	2	110	5	22.0	5.0	0.0093	6.72	0.045454545454545456
18033	12	1	2	2	2	94	7	13.428571428571429	8.24	0.0093	7.56	0.0851063829787234
18034	24	3	3	3	3	469	29	16.17241379310345	6.73	0.0654	26.89	0.03837953091684435
18035	16	2	2	2	3	84	4	21.0	5.19	0.0	3.36	0.047619047619047616
18036	8	1	1	1	1	54	3	18.0	5.88	0.0	6.72	0.16666666666666666
18037	13	2	2	2	2	109	6	18.166666666666668	6.59	0.0	7.56	0.07339449541284404
18038	21	3	3	3	3	189	14	13.5	8.0	0.0093	17.65	0.05291005291005291
18039	16	2	2	2	2	139	5	27.8	3.85	0.0187	10.08	0.04316546762589928
18040	9	1	1	1	2	64	2	32.0	3.33	0.0	6.72	0.09375
18041	17	2	2	2	3	111	6	18.5	6.67	0.0093	5.88	0.0990990990990991
18042	16	2	2	2	2	147	8	18.375	6.3	0.0187	8.4	0.08843537414965986
18043	7	1	1	1	1	86	5	17.2	7.04	0.0187	10.92	0.05813953488372093
18044	16	2	2	2	2	173	15	11.533333333333333	10.42	0.0187	13.45	0.04046242774566474
18045	19	3	3	2	3	347	16	21.6875	5.33	0.0467	28.57	0.05763688760806916
18046	8	1	1	1	1	113	4	28.25	4.17	0.0	2.52	0.13274336283185842
18047	22	3	3	3	3	251	14	17.928571428571427	6.28	0.0374	19.33	0.0796812749003984
18048	18	2	2	3	3	127	9	14.11111111111111	8.04	0.0374	12.61	0.07086614173228346
18049	18	3	3	2	2	259	5	51.8	2.07	0.0374	16.81	0.08494208494208494
18050	8	1	1	1	1	69	1	69.0	1.49	0.0	10.08	0.11594202898550725
18051	18	2	3	2	3	226	11	20.545454545454547	6.11	0.0467	14.29	0.05752212389380531
18052	17	2	2	2	3	224	3	74.66666666666667	1.44	0.028	19.33	0.16071428571428573
18053	24	3	3	3	3	270	19	14.210526315789474	8.48	0.0187	18.49	0.06666666666666667
18054	12	2	2	2	2	183	6	30.5	3.85	0.0093	14.29	0.10382513661202186
18055	16	2	2	2	2	190	13	14.615384615384615	7.88	0.028	8.4	0.05263157894736842
18056	22	3	3	3	3	454	30	15.133333333333333	9.12	0.028	26.05	0.00881057268722467
18057	14	2	2	2	2	137	5	27.4	3.94	0.0187	10.92	0.10218978102189781
18058	18	2	2	2	3	179	15	11.933333333333334	9.49	0.0187	18.49	0.05027932960893855
18060	8	1	1	1	1	97	1	97.0	1.06	0.0093	6.72	0.16494845360824742
18061	15	2	2	2	2	243	12	20.25	5.5	0.028	18.49	0.18106995884773663
18062	17	2	2	2	3	157	11	14.272727272727273	7.86	0.0093	10.92	0.025477707006369428
18064	17	2	3	2	2	166	12	13.833333333333334	8.11	0.0093	7.56	0.08433734939759036
18065	14	2	2	2	2	214	16	13.375	8.42	0.0187	13.45	0.0514018691588785
18066	23	3	3	3	3	268	15	17.866666666666667	6.94	0.0093	17.65	0.06343283582089553
18067	17	2	3	2	3	184	11	16.727272727272727	9.4	0.0093	4.2	0.08152173913043478
18068	24	3	3	3	3	362	29	12.482758620689655	9.39	0.028	29.41	0.07458563535911603
18070	20	2	2	3	3	125	7	17.857142857142858	6.19	0.028	15.13	0.032
18071	16	2	2	2	2	242	15	16.133333333333333	6.98	0.0374	17.65	0.03305785123966942
18072	15	2	2	2	2	171	11	15.545454545454545	7.14	0.0374	15.97	0.03508771929824561
18073	18	2	3	2	3	200	15	13.333333333333334	9.26	0.0187	15.97	0.05
18074	17	2	3	3	2	282	7	40.285714285714285	2.67	0.0093	11.76	0.20567375886524822
18075	16	2	2	2	2	215	11	19.545454545454547	6.51	0.0374	13.45	0.04186046511627907
18076	13	2	2	2	1	244	6	40.666666666666664	2.69	0.028	12.61	0.12704918032786885
18077	18	2	3	3	3	286	19	15.052631578947368	7.51	0.0187	17.65	0.10139860139860139
18078	19	3	3	2	3	181	17	10.647058823529411	11.26	0.0093	15.97	0.1270718232044199
18079	22	3	3	3	3	414	14	29.571428571428573	3.73	0.0374	21.85	0.1111111111111111
18080	8	0	1	2	2	203	7	29.0	3.98	0.0	18.49	0.04926108374384237
18081	23	3	3	3	3	188	11	17.09090909090909	6.36	0.0374	16.81	0.0797872340425532
18082	14	2	2	2	1	142	2	71.0	1.44	0.0187	15.97	0.04929577464788732
18083	14	2	2	2	3	127	8	15.875	7.08	0.0093	13.45	0.07874015748031496
18084	15	2	2	2	2	161	6	26.833333333333332	4.17	0.0187	12.61	0.11180124223602485
18086	15	2	2	2	2	127	9	14.11111111111111	8.82	0.0093	13.45	0.06299212598425197
18087	19	2	3	2	3	190	13	14.615384615384615	7.83	0.0561	13.45	0.04736842105263158
18088	6	0	1	1	1	27	1	27.0	3.85	0.0	0.84	0.07407407407407407
18089	21	3	3	2	3	263	20	13.15	9.76	0.0	17.65	0.03802281368821293
18090	16	2	3	2	2	348	4	87.0	1.2	0.0374	19.33	0.05172413793103448
18091	7	1	1	1	1	51	1	51.0	2.13	0.0093	2.52	0.11764705882352941
18092	16	2	3	2	2	94	4	23.5	4.55	0.0187	7.56	0.09574468085106383
18093	14	2	2	2	2	118	8	14.75	7.69	0.0093	5.88	0.05084745762711865
18094	17	2	2	2	3	172	15	11.466666666666667	10.0	0.0	10.08	0.046511627906976744
18095	15	0	2	3	3	211	15	14.066666666666666	7.65	0.0093	22.69	0.052132701421800945
18096	16	2	2	2	2	159	8	19.875	5.26	0.0374	19.33	0.05660377358490566
18097	17	2	2	2	3	163	15	10.866666666666667	11.45	0.0187	10.92	0.024539877300613498
18098	22	3	3	3	3	269	18	14.944444444444445	7.63	0.0467	15.97	0.048327137546468404
18099	17	2	2	2	3	294	19	15.473684210526315	8.76	0.0374	11.76	0.09183673469387756
18100	18	2	3	2	3	339	21	16.142857142857142	7.12	0.028	17.65	0.04129793510324484
18102	13	1	2	2	3	57	4	14.25	7.55	0.0093	7.56	0.017543859649122806
18103	11	2	1	2	1	254	15	16.933333333333334	8.47	0.0093	12.61	0.1141732283464567
18105	17	2	3	2	2	171	8	21.375	5.03	0.028	11.76	0.09941520467836257
18106	16	2	2	2	2	319	9	35.44444444444444	3.38	0.028	14.29	0.06583072100313479
18107	13	1	2	2	2	185	10	18.5	5.85	0.028	19.33	0.11351351351351352
18108	11	1	2	2	2	116	1	116.0	0.95	0.028	5.04	0.14655172413793102
18109	8	1	1	1	1	40	1	40.0	2.56	0.0093	4.2	0.025
18110	20	3	3	3	3	426	21	20.285714285714285	5.41	0.028	17.65	0.09389671361502347
18112	17	2	2	2	3	127	9	14.11111111111111	9.38	0.028	5.88	0.03937007874015748
18114	18	3	3	2	2	174	8	21.75	5.16	0.0187	7.56	0.09195402298850575
18115	15	2	2	2	2	181	10	18.1	6.13	0.0374	15.13	0.06629834254143646
18116	20	3	3	3	2	208	11	18.90909090909091	5.98	0.028	15.97	0.014423076923076924
18117	19	3	3	2	3	159	9	17.666666666666668	6.16	0.0093	21.01	0.0440251572327044
18118	10	1	1	2	2	246	7	35.142857142857146	2.93	0.0093	15.97	0.12601626016260162
18119	16	2	2	2	2	308	6	51.333333333333336	1.99	0.0187	17.65	0.07467532467532467
18120	18	3	3	2	2	163	9	18.11111111111111	6.04	0.0467	10.92	0.0736196319018405
18121	14	1	1	2	3	179	14	12.785714285714286	8.92	0.0187	18.49	0.0782122905027933
18123	12	0	2	2	2	121	5	24.2	4.76	0.0187	14.29	0.1322314049586777
18124	15	2	2	2	2	202	11	18.363636363636363	6.55	0.0374	13.45	0.04455445544554455
18126	6	1	1	1	1	47	2	23.5	4.55	0.0187	1.68	0.14893617021276595
18127	18	3	3	2	2	301	12	25.083333333333332	4.36	0.028	20.17	0.03986710963455149
18128	17	2	2	2	3	141	6	23.5	4.51	0.0374	10.08	0.028368794326241134
18129	13	2	2	1	2	138	9	15.333333333333334	7.38	0.0187	13.45	0.07971014492753623
18130	17	2	3	2	2	138	7	19.714285714285715	5.6	0.0187	12.61	0.014492753623188406
18131	15	2	2	2	2	109	6	18.166666666666668	6.67	0.0	9.24	0.03669724770642202
18132	18	2	2	3	3	238	17	14.0	7.94	0.0374	12.61	0.03361344537815126
18133	13	2	2	2	2	43	5	8.6	18.52	0.0093	2.52	0.06976744186046512
18134	12	1	2	2	2	172	12	14.333333333333334	7.5	0.0187	17.65	0.046511627906976744
18135	12	2	2	2	2	139	6	23.166666666666668	4.62	0.028	12.61	0.02158273381294964
18136	14	2	2	2	2	68	3	22.666666666666668	5.0	0.0093	8.4	0.04411764705882353
18137	15	2	2	2	2	109	6	18.166666666666668	6.19	0.0187	11.76	0.1743119266055046
18138	12	2	2	2	2	498	47	10.595744680851064	12.43	0.028	21.01	0.028112449799196786
18140	18	2	2	2	3	146	8	18.25	5.97	0.028	10.92	0.06164383561643835
18141	15	2	2	2	2	363	20	18.15	6.06	0.028	22.69	0.1046831955922865
18142	21	3	3	3	3	374	19	19.68421052631579	5.92	0.0467	24.37	0.05080213903743316
18143	13	0	2	2	3	187	12	15.583333333333334	7.14	0.0187	19.33	0.0053475935828877
18144	16	2	2	2	2	136	7	19.428571428571427	5.51	0.028	9.24	0.0661764705882353
18146	21	3	3	3	3	364	17	21.41176470588235	5.67	0.0467	20.17	0.0521978021978022
18147	16	2	2	2	2	144	5	28.8	4.1	0.028	19.33	0.041666666666666664
18148	18	2	2	3	3	230	15	15.333333333333334	7.58	0.0187	15.13	0.05217391304347826
18149	10	1	2	1	2	31	1	31.0	3.33	0.0093	5.88	0.06451612903225806
18150	14	2	2	2	2	137	7	19.571428571428573	5.65	0.0	9.24	0.029197080291970802
18151	16	2	2	2	3	163	12	13.583333333333334	8.05	0.0	17.65	0.04294478527607362
18152	6	0	1	1	1	28	1	28.0	3.7	0.0	1.68	0.10714285714285714
18153	24	3	3	3	3	357	19	18.789473684210527	6.09	0.0467	26.05	0.04201680672268908
18154	13	2	2	2	2	71	6	11.833333333333334	9.84	0.0187	5.04	0.08450704225352113
18156	18	2	3	3	2	123	5	24.6	4.59	0.0187	8.4	0.08943089430894309
18159	18	3	2	2	3	158	9	17.555555555555557	6.52	0.0187	10.92	0.04430379746835443
18160	23	3	3	3	3	235	18	13.055555555555555	9.0	0.0093	15.97	0.0425531914893617
18161	4	1	0	1	1	122	1	122.0	0.96	0.0187	9.24	0.20491803278688525
18162	19	3	3	2	3	328	25	13.12	9.03	0.0467	18.49	0.03048780487804878
18163	16	2	2	2	2	147	8	18.375	6.11	0.0	14.29	0.061224489795918366
18164	19	3	3	2	3	205	10	20.5	5.15	0.028	18.49	0.04390243902439024
18165	17	2	2	3	2	322	16	20.125	5.78	0.0467	15.97	0.021739130434782608
18166	17	2	3	2	2	224	11	20.363636363636363	5.61	0.0093	8.4	0.10267857142857142
18167	7	0	1	2	2	48	2	24.0	4.65	0.0093	6.72	0.041666666666666664
18168	17	2	3	2	3	163	14	11.642857142857142	10.53	0.0374	14.29	0.018404907975460124
18169	13	2	2	2	2	384	28	13.714285714285714	8.09	0.028	15.13	0.12760416666666666
18170	14	2	2	2	2	241	15	16.066666666666666	6.91	0.028	17.65	0.23236514522821577
18171	17	2	2	2	3	209	24	8.708333333333334	18.75	0.0187	6.72	0.023923444976076555
18172	23	3	3	3	3	347	36	9.63888888888889	12.63	0.0374	23.53	0.05763688760806916
18173	14	2	2	2	2	135	12	11.25	9.84	0.0187	10.08	0.044444444444444446
18174	23	3	3	3	3	400	23	17.391304347826086	7.21	0.0467	17.65	0.0875
18175	22	3	3	3	3	525	25	21.0	5.77	0.0093	25.21	0.07047619047619047
18177	13	2	2	2	2	83	7	11.857142857142858	9.46	0.028	9.24	0.07228915662650602
18178	22	3	3	2	3	425	23	18.47826086956522	6.23	0.0654	26.89	0.04941176470588235
18179	5	0	1	1	1	43	4	10.75	10.26	0.0	5.04	0.4186046511627907
18180	17	2	2	2	3	144	12	12.0	10.08	0.0467	12.61	0.013888888888888888
18181	17	3	2	2	2	176	10	17.6	6.21	0.028	10.08	0.05113636363636364
