id	overall_score	Ideas	Organization	Style	Conventions	total_words	total_sentences	words_div_sentences	sent_density	flesch_reading_ease	flesch_kincaid_grade	smog_index	automated_readability_index	coleman_liau_index	linsear_write_formula	dale_chall_readability_score	text_standard	spache_readability	reading_time	crawford	wiener_sachtextformel	monosyllabcount	polysyllabcount	letter_count	char_count	sentence_count	lexicon_count	syllable_count	ts_avg_len_sent	ts_avg_sent_per_word	ts_avg_syllab_per_word
17873	16	2	2	2	3	219	16	13.6875	7.96	92.53	3.5	6.6	2.7	3.35	4.777777777777778	5.91	6.0	3.1665314054726363	11.22	1.0	0.6516689054726377	162	6	746	764	16	201	246	12.6	0.08	1.2
17874	20	3	3	2	3	187	8	23.375	4.73	83.9	6.8	7.6	7.1	4.12	13.25	6.65	7.0	4.224725591715976	9.46	1.7	1.8260349112426026	136	5	624	644	8	169	208	21.1	0.05	1.2
17875	12	2	2	2	2	186	6	31.0	3.37	83.83	8.9	5.5	10.4	3.96	12.75	6.35	6.0	5.241437853107344	9.42	1.5	2.2379084745762707	152	1	631	641	6	177	203	29.5	0.03	1.1
17876	19	3	3	2	3	256	14	18.285714285714285	6.28	69.62	8.1	8.8	8.8	7.66	11.0	6.69	9.0	4.1835360360360365	14.51	2.1	2.8049117117117124	170	12	955	988	12	222	301	18.5	0.05	1.4
17878	10	0	2	2	2	153	11	13.909090909090908	8.73	76.01	5.7	8.5	6.9	7.82	5.555555555555555	7.09	6.0	3.4755934426229502	8.46	1.8	3.025413770491804	83	9	546	576	10	122	172	12.2	0.08	1.4
17879	7	1	1	1	1	60	5	12.0	11.36	81.93	5.5	3.1	4.7	3.07	6.666666666666667	7.6	6.0	3.6888181818181813	2.57	1.3	-0.1395515151515152	35	0	159	175	3	44	55	14.7	0.07	1.3
17880	16	2	2	2	2	124	7	17.714285714285715	6.31	80.92	5.9	8.4	7.1	7.07	8.0	6.71	8.0	4.071077922077922	7.08	1.8	2.9642467532467536	82	6	468	482	7	110	146	15.7	0.06	1.3
17881	12	1	1	2	2	199	10	19.9	5.41	78.08	7.0	8.8	6.2	4.93	7.142857142857142	6.69	7.0	4.144797297297297	10.62	1.6	2.137497297297297	151	10	709	723	10	185	232	18.5	0.05	1.3
17882	12	1	2	2	2	77	3	25.666666666666668	4.11	68.27	12.8	0.0	13.6	3.55	13.0	8.04	13.0	6.810157534246574	3.82	2.0	4.091498630136986	61	2	255	260	2	73	89	36.5	0.03	1.2
17883	20	3	3	3	3	239	15	15.933333333333334	6.94	89.68	4.6	6.2	4.6	4.29	7.5	6.3	5.0	3.5320211640211636	12.31	1.0	0.37289788359788334	187	4	815	838	14	216	255	15.4	0.06	1.2
17884	24	3	3	3	3	290	20	14.5	8.77	81.83	5.5	7.3	6.8	5.97	8.666666666666666	7.0	7.0	3.739313513513513	14.41	1.6	1.1954609009009007	166	8	913	981	15	222	290	14.8	0.07	1.3
17885	9	2	2	1	1	139	4	34.75	3.03	71.82	11.4	7.2	12.3	4.25	26.0	6.47	7.0	5.88290909090909	7.1	1.7	3.929872727272727	112	2	476	483	4	132	154	33.0	0.03	1.2
17886	9	1	1	1	2	74	6	12.333333333333334	9.09	85.69	4.0	7.8	1.4	2.13	5.166666666666667	5.38	6.0	2.911212121212121	3.55	0.9	0.688442424242425	57	4	234	242	6	66	83	11.0	0.09	1.3
17887	20	3	3	2	2	287	23	12.478260869565217	9.13	85.39	4.2	7.2	2.7	3.4	4.6	6.67	5.0	3.2637792990142387	14.32	0.9	0.9256730923694771	199	11	939	975	22	249	312	11.3	0.09	1.3
17888	16	2	2	2	2	224	14	16.0	7.18	81.63	5.6	7.3	5.1	4.63	5.75	6.57	6.0	3.8360512820512818	11.53	1.5	1.2084358974358982	154	7	756	785	13	195	250	15.0	0.07	1.3
17889	8	0	1	1	2	142	8	17.75	6.15	94.9	4.6	3.1	4.6	2.85	6.142857142857143	6.14	5.0	3.7883406593406592	6.8	0.7	0.08445054945054942	121	0	451	463	7	130	139	18.6	0.05	1.1
17890	15	2	2	2	2	135	7	19.285714285714285	5.6	78.69	6.7	6.2	7.1	6.15	7.666666666666666	6.92	7.0	4.182457142857142	7.65	1.8	2.2187142857142863	91	2	511	521	7	125	161	17.9	0.06	1.3
17891	20	3	3	3	3	82	9	9.11111111111111	14.06	94.45	2.7	6.4	2.1	2.3	4.666666666666667	6.63	5.0	3.283625	3.63	0.6	-0.13043958333333316	52	2	229	247	6	64	78	10.7	0.09	1.2
17892	17	2	3	2	2	196	14	14.0	8.14	91.31	4.0	6.8	4.0	3.94	7.833333333333334	6.51	4.0	3.514801204819277	9.58	1.0	0.9043791164658637	136	5	624	652	12	166	201	13.8	0.07	1.2
17893	18	3	3	2	2	103	6	17.166666666666668	6.45	86.84	5.7	7.6	5.3	3.6	8.7	7.32	6.0	3.8777274725274724	5.01	1.3	1.2151828571428571	76	3	328	341	5	91	109	18.2	0.05	1.2
17894	13	2	2	2	2	48	4	12.0	9.09	94.15	2.9	3.1	3.1	4.45	4.5	7.05	5.0	3.5627272727272725	2.61	0.7	0.7955636363636369	34	0	174	178	4	44	54	11.0	0.09	1.2
17896	12	1	1	2	2	374	13	28.76923076923077	4.23	52.5	16.8	8.8	20.7	7.27	18.0	8.33	9.0	7.705328664799254	19.35	2.6	5.72245994397759	227	7	1248	1317	7	306	403	43.7	0.02	1.3
17897	20	3	2	3	3	191	7	27.285714285714285	3.98	80.24	8.2	6.9	9.6	5.29	7.666666666666666	7.23	8.0	4.920246077621799	10.08	1.8	2.4648586292320402	139	3	665	686	7	173	214	24.7	0.04	1.2
17898	16	2	2	2	2	218	15	14.533333333333333	7.73	83.76	4.8	7.3	4.1	4.57	5.75	6.23	5.0	3.4605381443298966	11.52	1.3	1.1947213745704466	152	8	760	784	15	194	249	12.9	0.08	1.3
17899	24	3	3	3	3	732	51	14.352941176470589	8.39	81.83	5.5	8.5	7.8	7.65	4.5	7.3	8.0	3.9136378378378374	40.28	1.7	2.7501005405405397	445	36	2606	2742	40	592	787	14.8	0.07	1.3
17900	16	2	2	2	2	176	7	25.142857142857142	4.4	78.72	8.8	5.5	9.6	4.42	9.0	7.45	9.0	5.185824840764331	8.76	1.6	2.2166271762208063	131	1	579	596	6	157	185	26.2	0.04	1.2
17901	10	2	2	1	1	103	11	9.363636363636363	12.09	103.63	1.3	3.1	0.2	0.73	3.5	5.54	4.0	2.631222222222222	4.67	-0.2	-1.75	82	0	302	318	9	90	99	10.0	0.1	1.1
17902	17	2	3	2	2	266	15	17.733333333333334	6.3	89.28	4.7	7.6	3.8	3.07	8.0	6.02	8.0	3.611103797468354	12.82	1.4	1.0288275105485232	194	9	844	873	15	237	295	15.8	0.06	1.2
17903	12	2	1	2	2	93	5	18.6	6.02	96.93	3.9	3.1	3.2	1.8	7.300000000000001	6.55	7.0	3.697672289156626	4.22	0.8	-0.6629739759036144	73	0	277	287	5	83	93	16.6	0.06	1.1
17904	17	2	2	2	3	147	11	13.363636363636363	9.65	59.0	14.3	7.8	17.9	6.86	17.333333333333332	8.17	8.0	6.947642857142858	7.23	2.5	4.793829761904762	87	2	455	492	3	112	148	37.3	0.03	1.3
17905	8	1	1	1	1	79	1	79.0	1.28	35.62	27.4	0.0	32.1	2.23	39.5	9.51	0.0	11.919376623376623	3.61	1.7	10.120179220779221	70	1	243	246	1	77	85	77.0	0.01	1.1
17906	22	3	3	3	3	237	13	18.23076923076923	7.43	55.51	13.6	10.8	17.3	8.83	14.5	8.75	9.0	6.787646913580247	11.37	2.8	4.87839111111111	108	9	712	774	5	162	225	32.4	0.03	1.4
17908	24	3	3	3	3	213	10	21.3	5.21	77.57	7.2	7.9	7.0	5.22	10.8	6.91	7.0	4.559052631578947	11.21	1.8	2.6347473684210523	149	7	738	763	10	190	242	19.0	0.05	1.3
17909	21	3	3	2	3	219	10	21.9	5.0	76.56	7.6	10.1	7.0	4.82	14.25	6.13	7.0	4.304	11.49	1.8	3.249749999999999	160	15	761	782	10	200	256	20.0	0.05	1.3
17910	19	3	3	3	2	256	18	14.222222222222221	7.86	92.42	3.5	3.1	3.0	3.41	6.142857142857143	5.78	4.0	3.008379184861717	12.9	0.7	-0.7108575448811254	193	0	851	878	18	229	265	12.7	0.08	1.2
17911	19	3	3	2	3	219	20	10.95	10.81	93.24	3.2	7.0	3.7	4.16	4.4	6.52	4.0	3.2422703910614525	10.71	1.0	0.5140522160148975	146	7	689	729	15	179	222	11.9	0.08	1.2
17912	12	2	2	2	2	213	13	16.384615384615383	7.3	72.19	9.2	9.2	12.3	8.01	14.0	8.84	9.0	5.527991596638655	11.43	2.1	3.6548655462184865	134	8	733	778	7	170	219	24.3	0.04	1.3
17913	16	2	2	2	3	124	7	17.714285714285715	6.25	89.08	4.8	6.2	4.1	3.48	6.285714285714286	6.54	7.0	3.7860714285714283	6.14	1.3	0.9943071428571435	91	2	406	418	7	112	137	16.0	0.06	1.2
17914	12	0	2	3	2	122	4	30.5	3.54	68.44	10.7	11.2	12.8	7.43	14.5	7.7	8.0	5.631642857142857	7.05	2.3	4.530707142857143	86	8	471	480	4	112	148	28.0	0.04	1.3
17915	15	2	2	2	2	125	6	20.833333333333332	5.13	73.1	8.9	8.8	8.1	4.59	11.0	6.28	9.0	4.505921367521367	6.51	1.9	2.512522735042734	92	5	435	443	5	117	148	23.4	0.04	1.3
17916	9	1	1	1	2	94	4	23.5	4.6	83.19	7.1	3.1	7.2	4.18	10.875	7.8	8.0	4.8942557471264365	4.83	1.4	1.6201057471264364	74	0	322	329	4	87	102	21.8	0.05	1.2
17917	8	2	1	1	1	110	3	36.666666666666664	2.78	78.25	11.0	3.1	11.7	2.34	16.666666666666668	6.27	11.0	6.019714285714285	5.13	1.2	2.2955714285714284	98	0	344	349	3	105	112	35.0	0.03	1.1
17918	14	2	2	2	2	143	6	23.833333333333332	4.44	82.78	7.2	5.5	8.7	5.75	7.5	6.04	6.0	4.417131578947368	7.9	1.6	2.1980335839598992	111	1	528	538	6	133	161	22.2	0.05	1.2
17919	23	3	3	3	3	279	17	16.41176470588235	6.56	97.54	3.6	6.0	3.7	3.07	9.0	5.97	4.0	3.3973437499999997	13.71	0.8	0.20348125000000028	228	4	911	933	16	256	289	16.0	0.06	1.1
17920	14	2	2	2	2	88	6	14.666666666666666	9.23	80.82	5.9	7.2	6.3	4.52	7.375	8.18	8.0	4.834353174603175	3.89	1.9	1.7877650793650797	43	2	240	265	4	63	85	15.8	0.06	1.3
17921	10	1	1	2	1	223	6	37.166666666666664	2.82	69.28	12.4	8.8	14.0	4.83	17.0	8.14	9.0	6.652011737089202	11.77	2.0	4.181914553990611	180	6	791	801	6	213	258	35.5	0.03	1.2
17922	17	2	2	2	3	148	11	13.454545454545455	8.59	93.54	3.1	6.1	3.3	3.92	4.777777777777778	5.94	4.0	3.2859772727272722	7.55	0.7	0.5642718750000002	105	3	494	514	11	128	154	11.6	0.09	1.2
17923	21	3	3	3	3	224	17	13.176470588235293	8.37	81.02	5.8	7.6	5.9	5.8	11.0	6.82	6.0	4.015153467222433	12.34	1.6	1.9822962485790074	155	8	819	840	13	203	260	15.6	0.06	1.3
17924	24	3	3	3	3	394	30	13.133333333333333	10.03	62.27	8.9	9.3	9.9	8.29	7.142857142857142	7.76	9.0	4.655934197407776	20.8	2.9	3.3207507477567297	188	20	1316	1416	17	295	448	17.4	0.06	1.5
17926	21	3	3	2	3	320	16	20.0	5.42	87.96	5.2	7.7	6.3	5.45	6.0	6.55	6.0	3.8436535273903374	17.35	1.5	2.1171736810187984	232	11	1154	1181	17	291	362	17.1	0.06	1.2
17927	6	1	1	1	0	128	8	16.0	6.72	90.19	4.4	5.1	3.2	2.83	6.285714285714286	8.09	5.0	3.5867951680672268	6.38	0.9	0.006805882352940884	104	1	425	434	8	119	137	14.9	0.07	1.2
17928	12	1	2	2	2	181	4	45.25	2.31	70.13	14.2	8.1	17.3	4.49	17.333333333333332	7.7	18.0	7.401999999999999	9.24	1.7	4.704599999999999	154	3	620	629	4	172	196	43.0	0.02	1.1
17930	21	3	3	3	3	238	13	18.307692307692307	5.8	87.86	5.3	7.3	4.2	2.96	8.166666666666666	5.83	6.0	3.729252747252747	11.87	1.2	1.3570560439560437	189	7	794	808	13	224	267	17.2	0.06	1.2
17931	24	3	3	3	3	208	17	12.235294117647058	9.09	84.37	4.5	8.2	4.6	5.55	5.875	7.51	6.0	3.6435999999999997	11.43	1.5	2.31218231884058	134	12	753	778	15	184	248	12.3	0.08	1.3
17932	24	3	3	3	3	403	25	16.12	7.53	76.86	7.4	7.9	8.1	5.17	6.25	6.82	7.0	4.406683531746031	19.27	1.7	2.051480158730159	251	11	1218	1312	16	315	395	19.7	0.05	1.3
17933	15	2	2	2	2	115	10	11.5	10.31	84.78	4.4	8.5	3.5	3.99	5.9375	6.22	4.0	3.4186381578947365	5.63	1.5	1.730710526315789	71	7	363	383	8	95	128	11.9	0.08	1.3
17935	14	2	2	2	2	132	6	22.0	4.76	84.3	6.6	3.1	6.3	3.77	9.0	6.57	7.0	4.446548387096774	6.73	1.6	1.4859505376344084	101	0	450	458	6	124	153	20.7	0.05	1.2
17936	9	1	1	2	2	54	4	13.5	8.16	93.14	3.3	6.0	1.2	1.55	5.25	7.19	6.0	3.426833333333333	2.5	0.6	0.09244166666666631	41	1	163	170	4	48	56	12.0	0.08	1.2
17937	9	1	1	1	2	72	5	14.4	7.69	83.66	4.8	6.7	3.1	3.41	5.9	6.47	6.0	3.730461538461538	3.66	1.3	1.3739846153846154	50	2	242	249	5	65	84	13.0	0.08	1.3
17938	9	0	1	2	2	332	17	19.529411764705884	5.45	86.64	5.7	7.7	7.2	6.33	6.857142857142857	5.86	6.0	3.9229185520361987	18.94	1.5	2.1989643288084464	251	11	1269	1289	17	312	384	18.4	0.05	1.2
17939	22	3	3	3	3	290	23	12.608695652173912	9.09	84.27	4.6	7.2	5.0	5.9	6.714285714285714	7.0	6.0	3.4159775303643722	15.62	1.2	1.5451021862348173	191	10	1024	1063	20	247	318	12.4	0.08	1.3
17940	8	1	1	1	1	89	7	12.714285714285714	8.75	93.74	3.0	3.1	1.1	1.55	4.785714285714286	6.97	5.0	3.095428571428571	4.19	0.5	-0.770892857142857	68	0	276	285	7	80	93	11.4	0.09	1.2
17941	15	2	2	2	2	155	5	31.0	3.55	35.79	25.3	0.0	31.0	5.36	27.0	9.68	0.0	11.062463503649633	7.74	2.1	9.769440875912409	119	5	507	527	2	137	161	68.5	0.01	1.2
17942	20	2	3	3	3	139	5	27.8	4.31	64.85	10.0	10.8	12.6	9.46	14.5	8.19	11.0	5.370544827586206	8.11	2.8	4.764471034482757	86	9	529	552	5	116	167	23.2	0.04	1.4
17943	10	2	2	1	1	175	4	43.75	2.4	71.35	13.7	3.1	15.0	2.52	25.0	7.03	3.0	6.880241017964071	8.12	1.3	3.3224862275449096	158	0	545	553	4	167	176	41.8	0.02	1.1
17944	18	3	3	2	2	180	11	16.363636363636363	7.33	91.51	3.9	7.3	3.5	3.3	5.875	6.52	4.0	3.6217272727272722	8.49	1.2	1.0758000000000005	122	6	548	578	11	150	186	13.6	0.07	1.2
17945	18	2	3	3	3	148	5	29.6	3.79	70.67	9.8	9.9	12.0	7.49	11.2	8.47	10.0	5.876799999999999	8.27	2.3	4.317054573643411	98	7	544	563	5	129	170	25.8	0.04	1.3
17946	14	2	2	2	2	87	5	17.4	6.41	81.43	5.7	8.2	4.8	4.4	7.4	6.26	6.0	3.774305263157894	4.42	1.6	2.2802557894736837	57	4	292	301	5	76	99	15.2	0.07	1.3
17947	23	3	3	3	3	411	35	11.742857142857142	10.42	93.03	3.3	7.1	4.3	4.68	7.142857142857142	7.24	5.0	3.3328554873892298	20.02	0.9	0.8587238354919338	264	13	1283	1363	27	326	402	12.1	0.08	1.2
17949	6	0	1	1	1	107	6	17.833333333333332	6.45	66.58	15.5	0.0	18.8	3.62	24.75	7.64	19.0	7.765392473118279	4.92	1.7	4.955929032258064	85	1	321	335	2	93	106	46.5	0.02	1.1
17950	11	1	1	2	2	73	5	14.6	7.81	89.08	4.8	7.2	3.7	2.72	7.5	5.91	6.0	3.4981249999999995	3.42	1.1	0.8617624999999998	54	2	224	233	4	64	76	16.0	0.06	1.2
17951	9	1	1	1	2	74	2	37.0	3.08	72.33	11.2	0.0	11.5	3.03	16.75	8.41	12.0	6.215346153846154	3.38	1.8	3.087461538461538	55	1	221	230	2	65	78	32.5	0.03	1.2
17952	21	2	3	3	3	236	15	15.733333333333333	7.35	79.7	6.3	7.8	5.7	4.46	5.0	5.8	6.0	3.5631662561576354	11.81	1.5	1.5910036124794744	169	8	772	804	12	203	254	16.9	0.06	1.3
17953	16	2	2	2	2	172	9	19.11111111111111	5.81	88.26	5.1	7.4	4.6	3.36	6.714285714285714	6.56	7.0	3.603342163355408	8.3	1.0	0.8932908020603385	133	5	545	565	9	151	175	16.8	0.06	1.2
17954	11	2	2	1	2	182	13	14.0	8.07	92.83	3.4	6.7	2.2	2.6	5.111111111111111	6.02	3.0	3.111884615384615	8.74	0.7	-0.16159134615384607	139	5	572	595	13	160	187	12.3	0.08	1.2
17955	20	2	2	3	3	173	6	28.833333333333332	4.14	51.55	15.1	10.7	18.1	8.54	27.5	7.72	16.0	6.8992155172413785	9.68	3.0	6.280068965517242	100	7	631	659	4	145	206	36.3	0.03	1.4
17957	8	0	1	2	2	89	5	17.8	6.25	80.62	6.0	5.7	6.2	5.91	7.199999999999999	6.8	6.0	3.7399999999999998	4.89	1.6	1.6563249999999994	61	1	324	333	5	80	103	16.0	0.06	1.3
17959	7	0	1	1	2	90	4	22.5	4.76	75.54	7.9	8.8	8.9	6.67	11.5	6.18	7.0	4.414285714285715	5.19	1.9	3.0345333333333335	65	4	347	353	4	84	108	21.0	0.05	1.3
17961	17	2	2	2	3	188	9	20.88888888888889	5.42	86.64	5.7	6.9	6.1	4.47	7.666666666666666	6.64	7.0	3.957738955823293	9.48	1.4	1.226561713520749	137	4	623	645	9	166	201	18.4	0.05	1.2
17962	14	0	2	2	3	165	9	18.333333333333332	6.0	79.9	6.3	8.8	7.9	7.65	6.714285714285714	6.36	7.0	4.0489999999999995	9.81	1.9	3.7010000000000005	110	9	653	668	9	150	201	16.7	0.06	1.3
17963	22	3	3	3	2	518	13	39.84615384615385	2.8	52.84	18.7	9.4	23.3	6.23	25.0	8.0	19.0	8.752817204301074	27.4	2.3	6.7703333333333315	365	11	1812	1865	9	465	576	51.7	0.02	1.2
17964	21	3	3	3	3	201	17	11.823529411764707	10.43	72.76	6.9	8.8	8.4	8.0	8.166666666666666	7.58	8.0	4.294815584415584	10.62	2.1	3.0850098701298707	105	10	679	723	10	154	215	15.4	0.06	1.4
17965	12	1	2	2	2	179	11	16.272727272727273	6.59	88.36	5.1	6.3	5.3	4.64	7.5	5.79	6.0	3.6571730538922154	9.58	1.2	1.4070603592814366	139	3	640	652	10	167	199	16.7	0.06	1.2
17966	18	2	3	2	3	209	13	16.076923076923077	6.91	89.38	4.7	7.8	4.6	4.23	8.0	6.18	5.0	3.642680851063829	10.69	1.4	1.321221985815603	151	8	707	728	12	188	234	15.7	0.06	1.2
17967	12	2	2	2	2	383	19	20.157894736842106	5.96	66.2	11.5	8.2	13.8	6.69	13.0	7.54	8.0	5.78064370860927	18.96	2.2	3.7214267549668865	228	8	1216	1291	10	302	385	30.2	0.03	1.3
