id	overall_score	ideas_score	flow_score	coherence_score	vocab_score	grammar_score	total_words	total_sentences	words_div_sentences	sent_density	pct_transitions	pct_rel_trigrams	grammar_errors_ltp_by_words
300478707	4	4	4	4	4	4	372	16	23.25	4.69	0.0654	39.5	0.043010752688172046
300422495	3	4	3	4	3	4	412	21	19.61904761904762	5.53	0.0374	39.5	0.06067961165048544
300445396	4	5	4	4	4	5	300	12	25.0	4.41	0.0374	31.09	0.02666666666666667
300446931	4	5	4	5	4	4	481	15	32.06666666666667	3.44	0.0654	36.97	0.06652806652806653
300444606	4	4	4	4	4	4	401	16	25.0625	4.32	0.0654	37.82	0.057356608478802994
300473269	4	5	4	4	4	4	456	23	19.82608695652174	5.54	0.0654	42.02	0.02631578947368421
300476977	4	4	4	4	4	4	322	14	23.0	4.68	0.0467	33.61	0.015527950310559006
300479609	4	4	4	4	4	3	398	19	20.94736842105263	5.21	0.0841	39.5	0.02512562814070352
300484037	4	4	4	4	3	4	471	13	36.23076923076923	3.0	0.0467	36.13	0.03397027600849257
300484657	4	4	4	4	4	4	262	6	43.666666666666664	2.35	0.028	25.21	0.030534351145038167
300486175	4	4	4	4	4	4	396	15	26.4	4.12	0.0841	38.66	0.03282828282828283
300436199	4	2	4	4	4	4	357	11	32.45454545454545	3.34	0.0467	32.77	0.03081232492997199
300443203	3	2	3	3	3	3	231	17	13.588235294117647	8.17	0.0093	31.93	0.03463203463203463
300446328	4	3	4	4	4	4	393	18	21.833333333333332	5.13	0.028	35.29	0.017811704834605598
300400010	3	3	4	3	3	3	349	14	24.928571428571427	4.31	0.0374	39.5	0.017191977077363897
300441214	4	3	4	4	4	4	296	11	26.90909090909091	3.96	0.028	26.89	0.05067567567567568
300446492	4	4	4	4	4	4	358	10	35.8	3.04	0.0467	31.09	0.036312849162011177
300451442	4	4	4	4	4	3	402	16	25.125	4.31	0.0374	35.29	0.022388059701492536
300456377	5	4	5	5	5	5	358	11	32.54545454545455	3.23	0.0841	26.89	0.027932960893854747
300462744	4	4	5	4	4	4	538	15	35.86666666666667	3.01	0.0561	38.66	0.024163568773234202
300462939	5	5	5	5	5	5	427	16	26.6875	4.06	0.0654	39.5	0.0234192037470726
300465371	3	3	3	3	3	3	367	9	40.77777777777778	2.69	0.0374	29.41	0.04904632152588556
300470886	3	3	4	4	4	3	328	10	32.8	3.22	0.0374	37.82	0.042682926829268296
300474317	4	4	4	4	4	4	322	12	26.833333333333332	3.97	0.0374	36.97	0.031055900621118012
300467528	3	4	3	3	4	3	442	22	20.09090909090909	5.34	0.0374	42.02	0.04751131221719457
300468373	5	5	5	5	5	5	446	13	34.30769230769231	3.09	0.0748	32.77	0.02914798206278027
300470595	4	4	4	4	4	4	444	20	22.2	4.77	0.028	36.97	0.02702702702702703
300475607	4	4	4	4	4	4	374	18	20.77777777777778	5.26	0.0467	36.13	0.0213903743315508
300475609	4	4	5	5	4	4	424	19	22.31578947368421	4.85	0.0467	37.82	0.01650943396226415
300476894	4	4	4	4	4	4	396	15	26.4	4.09	0.0654	43.7	0.025252525252525252
300479587	4	4	4	4	4	4	433	20	21.65	4.93	0.0467	42.86	0.023094688221709007
300485726	4	4	4	4	4	4	286	7	40.857142857142854	2.47	0.0467	30.25	0.04195804195804196
300485728	5	5	4	5	5	5	416	13	32.0	3.31	0.0467	40.34	0.02403846153846154
300055462	3	3	3	2	4	3	230	7	32.857142857142854	3.37	0.0093	14.29	0.0391304347826087
300400011	3	3	3	3	4	3	357	17	21.0	5.18	0.028	35.29	0.0392156862745098
300435089	4	4	3	4	4	4	338	13	26.0	4.1	0.028	33.61	0.03550295857988166
300438545	4	3	4	4	4	3	329	11	29.90909090909091	3.45	0.0187	30.25	0.0425531914893617
300446586	4	4	4	4	4	4	331	14	23.642857142857142	4.52	0.0467	30.25	0.030211480362537766
300446933	3	2	3	3	3	3	408	15	27.2	3.99	0.0374	38.66	0.024509803921568627
300446950	3	3	3	4	3	3	415	10	41.5	2.6	0.028	31.93	0.04819277108433735
300453068	5	4	5	5	5	4	386	12	32.166666666666664	3.37	0.0467	36.13	0.031088082901554404
300455780	4	4	4	5	5	4	393	16	24.5625	4.38	0.0654	35.29	0.03816793893129771
300458321	4	4	4	4	4	4	357	13	27.46153846153846	3.89	0.0374	37.82	0.03361344537815126
300465369	4	4	4	4	4	3	299	11	27.181818181818183	3.93	0.0654	28.57	0.033444816053511704
300474288	3	3	3	3	3	3	348	3	116.0	0.87	0.0561	29.41	0.09482758620689655
300476203	3	2	4	3	3	3	369	18	20.5	5.49	0.0467	29.41	0.02981029810298103
300478184	3	3	4	4	3	3	363	14	25.928571428571427	4.08	0.0374	40.34	0.0440771349862259
300478187	3	3	3	4	3	3	457	21	21.761904761904763	4.98	0.0561	39.5	0.02188183807439825
300485722	3	3	3	3	4	3	470	20	23.5	4.43	0.0467	32.77	0.05531914893617021
300446938	4	4	4	4	4	4	569	28	20.321428571428573	5.36	0.0374	38.66	0.03163444639718805
300451427	5	4	5	5	4	5	315	11	28.636363636363637	3.68	0.0374	31.93	0.03492063492063492
300457114	4	4	4	4	4	4	407	13	31.307692307692307	3.44	0.0654	36.13	0.02702702702702703
300457871	5	5	5	5	5	5	536	24	22.333333333333332	4.82	0.0467	36.13	0.016791044776119403
300469240	2	2	3	3	3	3	236	11	21.454545454545453	4.98	0.0561	26.05	0.0423728813559322
300470958	4	4	3	4	4	4	396	15	26.4	4.11	0.0935	42.86	0.030303030303030304
300471151	4	3	4	4	4	4	414	19	21.789473684210527	5.0	0.0561	36.13	0.01932367149758454
300471155	4	3	4	4	4	4	320	12	26.666666666666668	4.07	0.0187	32.77	0.028125
300475608	5	4	4	5	4	4	434	15	28.933333333333334	3.72	0.0654	42.86	0.02534562211981567
300478180	3	2	3	3	3	3	315	17	18.529411764705884	6.03	0.0187	32.77	0.022222222222222223
300476975	3	3	3	3	3	3	229	13	17.615384615384617	6.13	0.028	22.69	0.039301310043668124
300478707	4	4	4	4	4	3	372	16	23.25	4.69	0.0654	39.5	0.043010752688172046
300479617	4	4	4	3	4	3	723	35	20.65714285714286	5.15	0.0748	52.1	0.042876901798063624
300447416	4	4	4	5	5	5	379	14	27.071428571428573	3.93	0.0654	29.41	0.0395778364116095
300448668	4	4	4	5	4	4	554	19	29.157894736842106	3.61	0.0561	43.7	0.032490974729241874
300422495	3	4	3	3	3	3	412	21	19.61904761904762	5.53	0.0374	39.5	0.06067961165048544
300446945	4	3	4	3	4	4	341	12	28.416666666666668	3.7	0.0467	31.93	0.03519061583577713
300445396	4	3	4	4	4	4	300	12	25.0	4.41	0.0374	31.09	0.02666666666666667
300437784	4	3	4	4	4	3	467	23	20.304347826086957	5.49	0.0748	42.02	0.042826552462526764
300446941	4	4	4	4	4	4	422	24	17.583333333333332	6.37	0.0093	38.66	0.03317535545023697
300446931	4	4	3	4	4	3	481	15	32.06666666666667	3.44	0.0654	36.97	0.06652806652806653
300444606	4	4	3	4	4	3	401	16	25.0625	4.32	0.0654	37.82	0.057356608478802994
300473269	3	3	3	3	3	3	456	23	19.82608695652174	5.54	0.0654	42.02	0.02631578947368421
300476977	4	3	3	4	4	4	322	14	23.0	4.68	0.0467	33.61	0.015527950310559006
300479609	4	4	4	4	3	4	398	19	20.94736842105263	5.21	0.0841	39.5	0.02512562814070352
