id	overall_score	ideas_score	flow_score	coherence_score	vocab_score	grammar_score	total_words	total_sentences	words_div_sentences	sent_density	flesch_reading_ease	flesch_kincaid_grade	smog_index	automated_readability_index	coleman_liau_index	linsear_write_formula	dale_chall_readability_score	text_standard	spache_readability	reading_time	crawford	wiener_sachtextformel	monosyllabcount	polysyllabcount	letter_count	char_count	sentence_count	lexicon_count	syllable_count	ts_avg_len_sent	ts_avg_sent_per_word	ts_avg_syllab_per_word
300458321	4	4	4	4	4	4	357	13	27.46153846153846	3.89	43.77	13.9	13.7	16.4	12.31	12.2	6.92	14.0	5.636902439024389	24.78	3.5	7.164767479674795	200	41	1655	1687	12	328	511	27.3	0.04	1.6
300465369	3	3	4	4	3	3	299	11	27.181818181818183	3.93	37.54	14.3	15.8	16.2	13.29	16.5	6.54	12.0	5.124644268774704	21.58	3.9	8.593098550724637	168	54	1442	1469	11	276	456	25.1	0.04	1.7
300478717	3	4	3	4	3	3	358	14	25.571428571428573	4.29	56.69	11.0	11.6	13.7	11.49	12.0	7.88	12.0	5.1637321428571425	23.69	2.9	5.238308035714285	217	31	1571	1613	14	320	468	22.9	0.04	1.5
300481896	5	5	4	5	5	4	432	18	24.0	4.56	66.37	9.4	11.0	12.0	9.81	11.6	7.47	12.0	5.106820512820512	27.43	2.6	4.797153846153845	282	34	1822	1867	18	390	550	21.7	0.05	1.4
300482646	3	4	4	3	3	4	625	19	32.89473684210526	3.23	57.74	12.7	13.0	16.2	10.4	19.333333333333332	7.69	13.0	6.267325325508894	40.4	2.9	6.65996306620209	409	57	2681	2750	19	574	815	30.2	0.03	1.4
300491415	3	3	4	4	4	3	349	12	29.083333333333332	3.76	62.01	11.1	12.0	14.9	11.15	15.25	7.96	12.0	5.745384615384614	22.74	2.8	5.916847435897437	216	29	1513	1548	12	312	446	26.0	0.04	1.4
300414886	3	3	3	4	3	3	292	11	26.545454545454547	4.12	64.44	10.1	10.6	13.3	10.45	11.0	6.57	11.0	4.866342657342656	18.6	2.5	4.221307692307693	192	19	1230	1266	11	260	359	23.6	0.04	1.4
300433944	4	5	4	5	4	4	935	19	49.21052631578947	2.18	50.88	17.4	12.8	23.1	9.94	19.0	7.7	10.0	7.951105263157894	58.57	2.7	7.796732558139535	646	55	3904	3987	19	860	1150	45.3	0.02	1.3
300448682	5	5	4	5	5	5	1541	61	25.262295081967213	4.25	64.95	9.9	12.0	13.0	10.62	13.4	6.5	11.0	4.843058268377083	100.55	2.7	5.405607999813579	989	147	6695	6845	61	1407	2023	23.1	0.04	1.4
300468100	5	5	5	5	5	5	480	22	21.818181818181817	5.05	60.24	9.7	11.9	11.8	10.97	10.666666666666666	7.89	12.0	5.126501490312966	31.3	3.0	5.8329868852459015	272	52	2078	2131	22	427	653	19.4	0.05	1.5
300469408	5	5	5	5	4	5	817	33	24.757575757575758	4.37	65.56	9.7	11.5	12.4	10.16	20.666666666666668	7.14	12.0	5.017719431511884	52.18	2.7	5.044453189577718	521	71	3473	3552	33	742	1060	22.5	0.04	1.4
300474288	4	4	4	4	3	4	348	3	116.0	0.87	-76.72	66.4	0.0	84.8	9.37	27.5	14.38	0.0	25.830116959064323	22.17	3.1	27.94584912280701	255	19	1500	1509	2	342	461	171.0	0.01	1.3
300476203	4	4	4	4	3	4	369	18	20.5	5.49	61.77	9.1	10.7	12.1	11.77	11.6	7.12	12.0	4.5631966873706	24.66	3.0	5.503134023464457	189	32	1628	1679	18	322	498	17.9	0.06	1.5
300478184	4	4	4	4	3	4	363	14	25.928571428571427	4.08	64.24	10.2	12.0	14.6	12.13	14.75	8.33	12.0	5.561554483054483	25.08	2.8	5.866926383526383	229	34	1673	1707	14	333	482	23.8	0.04	1.4
300478187	4	4	4	4	4	4	457	21	21.761904761904763	4.98	68.3	8.7	10.7	10.9	9.75	7.142857142857142	6.48	11.0	4.3350274725274724	29.1	2.4	4.084123534798536	295	37	1938	1981	21	416	583	19.8	0.05	1.4
300484033	4	4	4	4	4	4	276	7	39.42857142857143	2.65	42.48	16.5	15.5	21.4	12.83	15.25	7.79	16.0	6.902523809523808	19.61	3.6	8.774529789590256	174	33	1312	1335	7	258	397	36.9	0.03	1.5
300484044	4	4	4	5	4	4	486	14	34.714285714285715	3.02	46.85	14.8	13.5	17.2	10.28	12.2	7.02	15.0	6.21319646764614	31.75	3.1	7.05724020006252	327	46	2127	2161	14	457	663	32.6	0.03	1.5
300485556	5	4	4	5	4	5	597	31	19.258064516129032	5.66	70.63	7.8	9.9	9.8	9.45	8.833333333333334	6.8	10.0	4.290726311412106	38.03	2.3	3.697840420602388	386	43	2532	2589	31	543	762	17.5	0.06	1.4
300489269	5	5	5	4	5	4	559	24	23.291666666666668	4.56	66.67	9.3	9.2	12.9	11.2	10.8	6.82	10.0	4.728788910505836	37.87	2.6	4.474057328145266	334	27	2524	2578	24	514	734	21.4	0.05	1.4
300490889	4	4	4	4	4	4	497	12	41.416666666666664	2.57	58.49	14.5	11.7	19.4	9.7	13.75	7.43	10.0	6.959100993377483	31.03	2.6	6.648875055187638	329	27	2061	2112	12	453	608	37.8	0.03	1.3
300479205	4	5	5	4	4	4	804	41	19.609756097560975	5.67	70.94	7.6	10.3	10.0	9.68	12.4	6.81	10.0	4.18269576016835	50.25	2.5	4.135097036602615	488	65	3325	3421	41	707	1021	17.2	0.06	1.4
300484040	4	3	4	4	4	4	451	19	23.736842105263158	4.48	66.27	9.4	10.5	11.5	9.17	14.25	7.01	9.0	4.949963132468852	28.38	2.6	4.456122705314009	289	32	1889	1932	19	414	585	21.8	0.05	1.4
300484277	3	4	3	3	3	4	436	22	19.818181818181817	5.26	69.41	8.2	10.3	10.5	10.04	6.0	6.6	9.0	4.289194757796947	28.9	2.2	4.2078214111922145	298	35	1937	1967	22	411	564	18.7	0.05	1.4
300485722	3	4	3	3	4	3	470	20	23.5	4.43	57.2	10.8	11.5	13.1	11.09	8.5	7.89	12.0	5.240909284116331	32.58	2.9	5.735298076062639	294	43	2162	2218	20	447	662	22.4	0.04	1.5
300469240	3	3	4	3	3	3	236	11	21.454545454545453	4.98	49.35	11.8	13.7	13.5	11.84	10.833333333333334	7.9	12.0	5.451332110091743	16.35	3.5	7.63055633027523	131	34	1095	1113	10	218	351	21.8	0.05	1.6
300471151	5	5	5	4	5	5	414	19	21.789473684210527	5.0	50.36	11.4	13.4	13.6	12.36	11.5	7.41	12.0	5.056367201426024	28.76	3.5	7.248563161021984	216	58	1913	1958	18	374	601	20.8	0.05	1.6
300478180	4	4	4	4	4	4	315	17	18.529411764705884	6.03	71.75	7.3	10.6	9.4	9.39	8.833333333333334	6.95	9.0	4.134692763436309	19.61	2.3	4.73302471434617	197	29	1294	1335	17	278	393	16.4	0.06	1.4
300476975	4	4	4	4	3	3	229	13	17.615384615384617	6.13	55.64	9.4	11.7	10.4	11.13	13.0	6.74	9.0	4.099882531261841	15.23	3.2	5.905104130352406	123	29	1005	1037	13	203	328	15.6	0.06	1.6
300478707	4	4	4	4	4	4	372	16	23.25	4.69	58.72	10.3	12.7	11.9	10.27	9.0	7.04	10.0	4.8638121257485025	23.89	3.1	5.844791017964071	222	45	1586	1626	16	334	510	20.9	0.05	1.5
300422495	3	4	3	4	3	4	412	21	19.61904761904762	5.53	44.44	11.6	13.5	13.6	13.81	11.833333333333334	6.62	14.0	4.307592465753425	29.47	3.6	7.631934246575343	206	66	1955	2006	20	365	609	18.3	0.05	1.7
300445396	4	5	4	4	4	5	300	12	25.0	4.41	57.1	10.9	13.7	12.9	10.86	13.6	7.03	11.0	5.030759259259259	19.48	3.1	6.707592592592593	181	41	1295	1326	12	270	409	22.5	0.04	1.5
300446931	4	5	4	5	4	4	481	15	32.06666666666667	3.44	51.41	13.1	14.9	16.1	11.26	17.25	8.03	14.0	6.062908313539191	30.83	3.5	8.128411749802058	264	64	2050	2099	15	421	652	28.1	0.04	1.5
300444606	4	4	4	4	4	4	401	16	25.0625	4.32	39.87	13.4	14.3	15.7	14.05	13.0	7.8	13.0	5.582464285714286	29.2	3.9	8.097591208791208	210	61	1947	1988	16	364	607	22.8	0.04	1.7
300473269	4	5	4	4	4	4	456	23	19.82608695652174	5.54	62.17	8.9	11.6	11.6	11.42	7.857142857142858	8.58	12.0	5.059441147912395	30.47	2.8	5.691855626281152	270	51	2015	2074	23	403	605	17.5	0.06	1.5
300476977	4	4	4	4	4	4	322	14	23.0	4.68	58.72	10.3	12.5	11.5	9.81	17.25	7.64	10.0	5.140099219892734	20.57	3.0	5.336373183812774	200	38	1369	1400	14	293	444	20.9	0.05	1.5
300479609	4	4	4	4	4	3	398	19	20.94736842105263	5.21	51.48	11.0	13.4	13.7	13.05	11.166666666666666	8.94	14.0	5.506915254237288	27.9	3.5	7.09609152542373	221	58	1850	1899	18	354	573	19.7	0.05	1.6
300484037	4	4	4	4	3	4	471	13	36.23076923076923	3.0	46.54	14.9	14.1	18.3	11.38	15.0	7.81	15.0	6.6264809489575835	31.11	3.4	8.009271171818833	278	48	2071	2118	13	428	649	32.9	0.03	1.5
300484657	4	4	4	4	4	4	262	6	43.666666666666664	2.35	29.56	19.4	18.4	23.4	12.96	17.25	9.25	13.0	8.331516129032257	18.7	4.2	10.968997849462365	154	43	1254	1273	6	248	408	41.3	0.02	1.6
300486175	4	4	4	4	4	4	396	15	26.4	4.12	55.98	11.3	12.9	13.6	10.86	10.333333333333334	8.64	11.0	5.988633898305084	25.62	3.1	6.52911209039548	239	44	1698	1744	15	354	534	23.6	0.04	1.5
300436199	4	2	4	4	4	4	357	11	32.45454545454545	3.34	41.53	14.8	15.2	17.6	12.54	15.5	8.9	15.0	6.770485970819305	24.55	3.7	8.400664197530864	196	49	1634	1671	11	324	519	29.5	0.03	1.6
300443203	3	2	3	3	3	3	231	17	13.588235294117647	8.17	41.56	10.6	12.5	12.2	14.6	6.625	9.07	11.0	4.8289068627450975	17.35	3.6	8.706064705882353	111	43	1153	1181	16	204	359	12.8	0.08	1.8
300446328	4	3	4	4	4	4	393	18	21.833333333333332	5.13	52.49	10.6	12.6	12.3	11.72	10.666666666666666	6.53	11.0	4.295450544015825	25.66	3.1	6.041854071876029	221	49	1685	1747	18	337	525	18.7	0.05	1.6
300400010	3	3	4	3	3	3	349	14	24.928571428571427	4.31	48.13	12.3	13.8	14.3	12.31	10.833333333333334	6.74	12.0	5.096906832298137	24.34	3.6	7.4696683229813665	192	49	1627	1657	14	322	522	23.0	0.04	1.6
300441214	4	3	4	4	4	4	296	11	26.90909090909091	3.96	55.47	11.5	12.4	14.6	11.78	15.5	7.69	12.0	5.5339313893653514	19.85	3.2	6.476698113207547	168	29	1314	1351	11	265	406	24.1	0.04	1.5
300446492	4	4	4	4	4	4	358	10	35.8	3.04	30.03	17.1	17.7	20.9	14.75	16.75	8.02	17.0	6.6651923076923065	26.4	4.4	10.687830769230768	188	65	1760	1797	10	325	558	32.5	0.03	1.7
300451442	4	4	4	4	4	3	402	16	25.125	4.31	48.43	12.1	13.7	13.8	11.78	16.25	6.85	12.0	5.009287362258952	27.1	3.4	7.012895454545454	216	55	1801	1845	16	363	573	22.7	0.04	1.6
300456377	5	4	5	5	5	5	358	11	32.54545454545455	3.23	37.17	16.5	16.8	20.4	13.65	13.2	9.7	17.0	7.589415384615384	26.3	4.0	9.941567100591717	204	57	1768	1790	10	338	554	33.8	0.03	1.6
300462744	4	4	5	4	4	4	538	15	35.86666666666667	3.01	46.54	14.9	15.0	18.1	11.15	15.0	7.0	15.0	6.223301419878297	35.52	3.3	7.850063258958755	334	65	2368	2418	15	493	734	32.9	0.03	1.5
300462939	5	5	5	5	5	5	427	16	26.6875	4.06	45.39	13.3	14.9	15.5	12.07	17.5	7.41	13.0	5.686571428571428	28.97	3.8	8.249687445887446	242	64	1928	1972	15	385	628	25.7	0.04	1.6
300465371	3	3	3	3	3	3	367	9	40.77777777777778	2.69	43.5	16.1	14.9	19.2	10.34	10.666666666666666	6.64	11.0	6.458466460268317	22.81	3.2	7.614507671138631	217	38	1505	1553	9	323	472	35.9	0.03	1.5
300470886	3	3	4	4	4	3	328	10	32.8	3.22	48.77	14.1	14.8	17.0	11.15	12.8	6.7	15.0	5.952064820846905	22.04	3.2	7.172079087947882	205	42	1475	1500	10	307	458	30.7	0.03	1.5
300474317	4	4	4	4	4	4	322	12	26.833333333333332	3.97	54.76	11.8	13.4	14.2	11.03	16.5	6.93	12.0	5.263989932885906	21.54	3.1	6.291395078299775	202	39	1438	1466	12	298	445	24.8	0.04	1.5
300467528	3	4	3	3	4	3	442	22	20.09090909090909	5.34	61.36	9.2	11.8	10.8	10.44	12.0	7.21	12.0	4.5955609068351	28.94	2.8	5.535368238213399	270	51	1928	1970	22	403	599	18.3	0.05	1.5
300468373	5	5	5	5	5	5	446	13	34.30769230769231	3.09	30.64	16.9	17.4	19.6	13.7	22.666666666666668	8.38	17.0	6.87364782205746	32.45	4.2	9.917598702502316	259	81	2174	2209	13	415	698	31.9	0.03	1.7
300470595	4	4	4	4	4	4	444	20	22.2	4.77	66.37	9.4	11.3	11.6	9.57	8.833333333333334	6.13	10.0	4.528592073403848	28.6	2.6	4.606784987893462	287	39	1913	1947	19	413	587	21.7	0.05	1.4
300475607	4	4	4	4	4	4	374	18	20.77777777777778	5.26	68.2	8.7	11.4	10.3	8.88	10.166666666666666	6.95	9.0	4.640086413326392	23.02	2.6	4.743412493492972	238	36	1529	1567	17	339	486	19.9	0.05	1.4
300475609	4	4	5	5	4	4	424	19	22.31578947368421	4.85	59.23	10.1	11.5	11.9	10.56	12.2	6.32	12.0	4.4941416169289194	27.93	3.0	5.476951546391753	255	41	1864	1901	19	388	590	20.4	0.05	1.5
300476894	4	4	4	4	4	4	396	15	26.4	4.09	46.81	12.8	14.1	15.0	12.42	13.6	7.23	13.0	5.394665934065934	27.62	3.4	7.0240350183150175	231	55	1846	1880	15	364	572	24.3	0.04	1.6
300479587	4	4	4	4	4	4	433	20	21.65	4.93	50.06	11.5	13.4	12.9	11.49	11.333333333333334	6.69	12.0	4.694143850899067	29.73	3.4	6.574273815461346	257	61	1988	2024	19	401	633	21.1	0.05	1.6
300485726	4	4	4	4	4	4	286	7	40.857142857142854	2.47	31.79	18.5	17.3	22.7	13.18	13.2	8.05	18.0	7.6136173096976005	20.99	3.7	10.31045213764338	171	43	1412	1429	7	274	427	39.1	0.03	1.6
300485728	5	5	4	5	5	5	416	13	32.0	3.31	41.43	14.8	15.6	17.4	12.31	11.333333333333334	7.73	15.0	6.221002997002996	28.79	3.6	8.405133866133866	242	62	1925	1960	13	385	603	29.6	0.03	1.6
300055462	3	3	3	2	4	3	230	7	32.857142857142854	3.37	41.94	14.6	15.0	17.4	12.37	23.0	8.72	15.0	6.676574229691877	15.45	3.6	8.272832773109243	125	30	1022	1052	7	204	322	29.1	0.03	1.6
300400011	3	3	3	3	4	3	357	17	21.0	5.18	43.83	11.8	13.7	14.1	14.04	13.6	8.07	14.0	5.1892622319956025	26.06	3.6	7.954683928898662	183	58	1733	1774	17	321	530	18.9	0.05	1.7
300435089	4	4	3	4	4	4	338	13	26.0	4.1	47.42	12.5	14.8	15.1	12.77	23.333333333333332	8.4	13.0	5.938706293706293	23.71	3.8	8.483042157842158	192	54	1580	1614	13	308	505	23.7	0.04	1.6
300438545	4	3	4	4	4	3	329	11	29.90909090909091	3.45	42.95	14.2	14.6	16.4	11.84	12.4	7.18	15.0	5.885255075022064	22.9	3.6	7.504291909385113	194	44	1535	1559	11	309	489	28.1	0.04	1.6
300446586	4	4	4	4	4	4	331	14	23.642857142857142	4.52	40.89	13.0	15.4	14.6	13.11	14.6	8.7	13.0	5.687179156908664	23.93	3.8	9.213964871194381	180	65	1599	1629	14	305	510	21.8	0.05	1.7
300446933	3	2	3	3	3	3	408	15	27.2	3.99	63.22	10.6	12.7	12.5	8.94	16.25	7.24	13.0	5.329886021505375	25.03	2.8	5.584973978494624	263	42	1664	1704	15	372	533	24.8	0.04	1.4
300446950	3	3	3	4	3	3	415	10	41.5	2.6	33.41	17.9	17.2	21.2	12.02	23.0	7.14	18.0	6.9521	27.88	3.8	10.012520000000002	236	61	1855	1898	10	375	593	37.5	0.03	1.6
300453068	5	4	5	5	5	4	386	12	32.166666666666664	3.37	33.28	15.9	17.3	18.5	13.82	17.0	8.1	16.0	6.335329772079772	27.71	4.2	10.332836467236469	208	74	1847	1886	12	351	595	29.3	0.03	1.7
300455780	4	4	4	5	5	4	393	16	24.5625	4.38	40.08	13.3	15.4	14.8	13.12	17.25	7.91	13.0	5.521143524930748	28.07	4.0	8.563267174515238	213	74	1875	1911	16	361	610	22.6	0.04	1.7
300458321	4	4	4	4	4	4	357	13	27.46153846153846	3.89	43.77	13.9	13.7	16.4	12.31	12.2	6.92	14.0	5.636902439024389	24.78	3.5	7.164767479674795	200	41	1655	1687	12	328	511	27.3	0.04	1.6
300465369	4	4	4	4	4	3	299	11	27.181818181818183	3.93	37.54	14.3	15.8	16.2	13.29	16.5	6.54	12.0	5.124644268774704	21.58	3.9	8.593098550724637	168	54	1442	1469	11	276	456	25.1	0.04	1.7
300474288	3	3	3	3	3	3	348	3	116.0	0.87	-76.72	66.4	0.0	84.8	9.37	27.5	14.38	0.0	25.830116959064323	22.17	3.1	27.94584912280701	255	19	1500	1509	2	342	461	171.0	0.01	1.3
300476203	3	2	4	3	3	3	369	18	20.5	5.49	61.77	9.1	10.7	12.1	11.77	11.6	7.12	12.0	4.5631966873706	24.66	3.0	5.503134023464457	189	32	1628	1679	18	322	498	17.9	0.06	1.5
300478184	3	3	4	4	3	3	363	14	25.928571428571427	4.08	64.24	10.2	12.0	14.6	12.13	14.75	8.33	12.0	5.561554483054483	25.08	2.8	5.866926383526383	229	34	1673	1707	14	333	482	23.8	0.04	1.4
300478187	3	3	3	4	3	3	457	21	21.761904761904763	4.98	68.3	8.7	10.7	10.9	9.75	7.142857142857142	6.48	11.0	4.3350274725274724	29.1	2.4	4.084123534798536	295	37	1938	1981	21	416	583	19.8	0.05	1.4
300485722	3	3	3	3	4	3	470	20	23.5	4.43	57.2	10.8	11.5	13.1	11.09	8.5	7.89	12.0	5.240909284116331	32.58	2.9	5.735298076062639	294	43	2162	2218	20	447	662	22.4	0.04	1.5
300446938	4	4	4	4	4	4	569	28	20.321428571428573	5.36	47.72	12.4	15.3	14.4	12.19	33.5	6.73	12.0	5.041429390997353	38.83	3.6	8.20857281553398	317	100	2588	2643	22	515	833	23.4	0.04	1.6
300451427	5	4	5	5	4	5	315	11	28.636363636363637	3.68	35.91	14.9	16.2	17.0	13.35	14.8	7.65	15.0	5.836116883116883	22.96	4.1	9.302779591836737	175	58	1538	1563	11	294	498	26.7	0.04	1.7
300457114	4	4	4	4	4	4	407	13	31.307692307692307	3.44	34.09	15.6	16.0	18.2	13.58	21.666666666666668	8.2	16.0	6.276939249429816	29.31	4.0	9.84884101181837	215	66	1957	1995	13	371	613	28.5	0.04	1.7
300457871	5	5	5	5	5	5	536	24	22.333333333333332	4.82	41.6	12.7	14.1	14.1	12.82	16.75	8.29	13.0	5.517156736446591	37.8	3.9	8.014510753265345	282	85	2521	2573	23	486	822	21.1	0.05	1.7
300469240	2	2	3	3	3	3	236	11	21.454545454545453	4.98	49.35	11.8	13.7	13.5	11.84	10.833333333333334	7.9	12.0	5.451332110091743	16.35	3.5	7.63055633027523	131	34	1095	1113	10	218	351	21.8	0.05	1.6
300470958	4	4	3	4	4	4	396	15	26.4	4.11	47.42	12.5	14.3	15.8	13.58	16.0	8.77	14.0	5.920225352112675	28.18	3.7	8.236939906103286	210	57	1871	1918	15	355	577	23.7	0.04	1.6
300471151	4	3	4	4	4	4	414	19	21.789473684210527	5.0	50.36	11.4	13.4	13.6	12.36	11.5	7.41	12.0	5.056367201426024	28.76	3.5	7.248563161021984	216	58	1913	1958	18	374	601	20.8	0.05	1.6
300471155	4	3	4	4	4	4	320	12	26.666666666666668	4.07	46.91	12.7	14.4	15.9	13.41	13.4	8.16	13.0	5.788568965517241	22.83	3.8	8.309252873563219	171	47	1520	1554	12	290	476	24.2	0.04	1.6
300475608	5	4	4	5	4	4	434	15	28.933333333333334	3.72	44.58	13.6	15.1	16.0	12.25	11.0	8.56	14.0	6.200803015075378	30.06	3.7	8.39913715242881	242	66	2006	2046	15	398	638	26.5	0.04	1.6
300478180	3	2	3	3	3	3	315	17	18.529411764705884	6.03	71.75	7.3	10.6	9.4	9.39	8.833333333333334	6.95	9.0	4.134692763436309	19.61	2.3	4.73302471434617	197	29	1294	1335	17	278	393	16.4	0.06	1.4
300476975	3	3	3	3	3	3	229	13	17.615384615384617	6.13	55.64	9.4	11.7	10.4	11.13	13.0	6.74	9.0	4.099882531261841	15.23	3.2	5.905104130352406	123	29	1005	1037	13	203	328	15.6	0.06	1.6
300478707	4	4	4	4	4	3	372	16	23.25	4.69	58.72	10.3	12.7	11.9	10.27	9.0	7.04	10.0	4.8638121257485025	23.89	3.1	5.844791017964071	222	45	1586	1626	16	334	510	20.9	0.05	1.5
300479617	4	4	4	3	4	3	723	35	20.65714285714286	5.15	60.85	9.4	12.6	11.7	11.26	10.166666666666666	7.37	10.0	4.642235248211575	48.65	3.1	6.279783576848039	423	96	3243	3312	35	659	1020	18.8	0.05	1.5
300447416	4	4	4	5	5	5	379	14	27.071428571428573	3.93	44.17	13.8	15.7	16.6	12.77	13.2	8.17	14.0	6.011153846153846	26.78	3.6	8.926424175824176	222	63	1794	1823	13	350	554	26.9	0.04	1.6
300448668	4	4	4	5	4	4	554	19	29.157894736842106	3.61	41.94	14.6	14.7	17.2	12.54	16.25	6.86	15.0	5.758013065646908	39.22	3.7	7.367448353516041	321	74	2635	2670	18	523	830	29.1	0.03	1.6
300422495	3	4	3	3	3	3	412	21	19.61904761904762	5.53	44.44	11.6	13.5	13.6	13.81	11.833333333333334	6.62	14.0	4.307592465753425	29.47	3.6	7.631934246575343	206	66	1955	2006	20	365	609	18.3	0.05	1.7
300446945	4	3	4	3	4	4	341	12	28.416666666666668	3.7	44.37	13.7	15.6	16.9	13.35	16.25	7.18	14.0	5.593375	24.9	3.9	8.797260416666667	192	57	1672	1695	12	320	527	26.7	0.04	1.6
300445396	4	3	4	4	4	4	300	12	25.0	4.41	57.1	10.9	13.7	12.9	10.86	13.6	7.03	11.0	5.030759259259259	19.48	3.1	6.707592592592593	181	41	1295	1326	12	270	409	22.5	0.04	1.5
300437784	4	3	4	4	4	3	467	23	20.304347826086957	5.49	53.41	10.2	13.2	12.0	11.77	9.0	7.96	12.0	4.986445625597959	31.26	3.3	7.4615040076538754	255	72	2071	2128	23	409	659	17.8	0.06	1.6
300446941	4	4	4	4	4	4	422	24	17.583333333333332	6.37	55.74	9.3	12.3	10.5	11.48	8.571428571428571	7.33	9.0	4.457833333333333	28.09	3.1	6.354530107526882	224	62	1863	1912	24	372	596	15.5	0.06	1.6
300446931	4	4	3	4	4	3	481	15	32.06666666666667	3.44	51.41	13.1	14.9	16.1	11.26	17.25	8.03	14.0	6.062908313539191	30.83	3.5	8.128411749802058	264	64	2050	2099	15	421	652	28.1	0.04	1.5
300444606	4	4	3	4	4	3	401	16	25.0625	4.32	39.87	13.4	14.3	15.7	14.05	13.0	7.8	13.0	5.582464285714286	29.2	3.9	8.097591208791208	210	61	1947	1988	16	364	607	22.8	0.04	1.7
300473269	3	3	3	3	3	3	456	23	19.82608695652174	5.54	62.17	8.9	11.6	11.6	11.42	7.857142857142858	8.58	12.0	5.059441147912395	30.47	2.8	5.691855626281152	270	51	2015	2074	23	403	605	17.5	0.06	1.5
300476977	4	3	3	4	4	4	322	14	23.0	4.68	58.72	10.3	12.5	11.5	9.81	17.25	7.64	10.0	5.140099219892734	20.57	3.0	5.336373183812774	200	38	1369	1400	14	293	444	20.9	0.05	1.5
300479609	4	4	4	4	3	4	398	19	20.94736842105263	5.21	51.48	11.0	13.4	13.7	13.05	11.166666666666666	8.94	14.0	5.506915254237288	27.9	3.5	7.09609152542373	221	58	1850	1899	18	354	573	19.7	0.05	1.6
