id	overall_score	ideas_score	flow_score	coherence_score	vocab_score	grammar_score	total_words	total_sentences	words_div_sentences	sent_density	nlemma_types	n_bigram_lemma_types	n_trigram_lemma_types	nlemmas	n_bigram_lemmas	n_trigram_lemmas	ncontent_types	ncontent_tokens	content_ttr	nfunction_tokens	nfunction_types	function_ttr	nouns_total	nouns_unique	ttr_nouns	determiners_unique	determiners_per_words	determiners_total	conjunctions_unique	conjunctions_total	conjunctions_per_words	pronouns_unique	pronouns_total	pronouns_density	pronouns_noun_ratio
300414886	3	3	3	4	3	3	292	11	26.545454545454547	4.12	93	92	91	267	266	265	58	150	0.3867	117	35	0.2991	35	12	0.3429	1	0.03371	9	2	5	0.01873	2	27	0.10112	0.77
300433944	4	5	4	5	4	4	935	19	49.21052631578947	2.18	259	258	257	873	872	871	193	463	0.4168	410	66	0.161	115	32	0.2783	1	0.07446	65	3	27	0.03093	3	60	0.06873	0.52
300448682	5	5	4	5	5	5	1541	61	25.262295081967213	4.25	358	357	356	1436	1435	1434	288	790	0.3646	646	70	0.1084	156	46	0.2949	1	0.0766	110	3	52	0.03621	3	105	0.07312	0.67
300468100	5	5	5	5	5	5	480	22	21.818181818181817	5.05	196	195	194	436	435	434	143	243	0.5885	193	53	0.2746	55	24	0.4364	1	0.0711	31	2	9	0.02064	2	21	0.04817	0.38
300469408	5	5	5	5	4	5	817	33	24.757575757575758	4.37	265	264	263	755	754	753	204	416	0.4904	339	61	0.1799	88	33	0.375	1	0.07947	60	3	20	0.02649	3	60	0.07947	0.68
300474288	4	4	4	4	3	4	348	3	116.0	0.87	150	149	148	346	345	344	98	175	0.56	171	52	0.3041	29	11	0.3793	1	0.06069	21	2	7	0.02023	2	22	0.06358	0.76
300476203	4	4	4	4	3	4	369	18	20.5	5.49	121	120	119	328	327	326	89	229	0.3886	99	32	0.3232	57	9	0.1579	1	0.02744	9	1	2	0.0061	1	4	0.0122	0.07
300478184	4	4	4	4	3	4	363	14	25.928571428571427	4.08	165	164	163	343	342	341	122	209	0.5837	134	43	0.3209	45	27	0.6	1	0.06414	22	2	11	0.03207	2	15	0.04373	0.33
300478187	4	4	4	4	4	4	457	21	21.761904761904763	4.98	145	144	143	422	421	420	97	243	0.3992	179	48	0.2682	68	22	0.3235	1	0.03791	16	2	12	0.02844	2	32	0.07583	0.47
300484033	4	4	4	4	4	4	276	7	39.42857142857143	2.65	119	118	117	264	263	262	82	161	0.5093	103	37	0.3592	28	9	0.3214	1	0.06061	16	1	4	0.01515	1	4	0.01515	0.14
300484044	4	4	4	5	4	4	486	14	34.714285714285715	3.02	166	165	164	464	463	462	115	240	0.4792	224	51	0.2277	33	13	0.3939	1	0.10129	47	1	9	0.0194	1	42	0.09052	1.27
300485556	5	4	4	5	4	5	597	31	19.258064516129032	5.66	207	206	205	548	547	546	150	312	0.4808	236	57	0.2415	77	33	0.4286	1	0.07299	40	2	9	0.01642	2	19	0.03467	0.25
300489269	5	5	5	4	5	4	559	24	23.291666666666668	4.56	177	176	175	526	525	524	131	321	0.4081	205	46	0.2244	90	27	0.3	1	0.03802	20	3	14	0.02662	3	41	0.07795	0.46
300490889	4	4	4	4	4	4	497	12	41.416666666666664	2.57	179	178	177	467	466	465	118	253	0.4664	214	61	0.285	32	12	0.375	1	0.08565	40	2	10	0.02141	2	29	0.0621	0.91
300479205	4	5	5	4	4	4	804	41	19.609756097560975	5.67	252	251	250	723	722	721	184	440	0.4182	283	68	0.2403	105	39	0.3714	1	0.04564	33	4	26	0.03596	4	29	0.04011	0.28
300484040	4	3	4	4	4	4	451	19	23.736842105263158	4.48	181	180	179	424	423	422	124	226	0.5487	198	57	0.2879	40	19	0.475	1	0.07075	30	2	18	0.04245	2	39	0.09198	0.97
300484277	3	4	3	3	3	4	436	22	19.818181818181817	5.26	165	164	163	418	417	416	116	235	0.4936	183	49	0.2678	67	28	0.4179	1	0.08852	37	3	22	0.05263	3	24	0.05742	0.36
300485722	3	4	3	3	4	3	470	20	23.5	4.43	170	169	168	451	450	449	129	255	0.5059	196	41	0.2092	76	34	0.4474	1	0.09313	42	2	8	0.01774	2	19	0.04213	0.25
300469240	3	3	4	3	3	3	236	11	21.454545454545453	4.98	117	116	115	221	220	219	82	145	0.5655	76	35	0.4605	25	11	0.44	1	0.06787	15	2	6	0.02715	2	4	0.0181	0.16
300471151	5	5	5	4	5	5	414	19	21.789473684210527	5.0	153	152	151	380	379	378	108	228	0.4737	152	45	0.2961	47	17	0.3617	1	0.08421	32	2	3	0.00789	2	6	0.01579	0.13
300478180	4	4	4	4	4	4	315	17	18.529411764705884	6.03	143	142	141	282	281	280	100	173	0.578	109	43	0.3945	37	19	0.5135	1	0.03901	11	2	5	0.01773	2	11	0.03901	0.3
300476975	4	4	4	4	3	3	229	13	17.615384615384617	6.13	91	90	89	212	211	210	54	126	0.4286	86	37	0.4302	25	10	0.4	1	0.08019	17	3	5	0.02358	3	1	0.00472	0.04
300478707	4	4	4	4	4	4	372	16	23.25	4.69	155	154	153	341	340	339	106	190	0.5579	151	49	0.3245	23	9	0.3913	1	0.08798	30	3	8	0.02346	3	22	0.06452	0.96
300422495	3	4	3	4	3	4	412	21	19.61904761904762	5.53	139	138	137	380	379	378	92	230	0.4	150	47	0.3133	66	17	0.2576	1	0.08421	32	2	4	0.01053	2	10	0.02632	0.15
300445396	4	5	4	4	4	5	300	12	25.0	4.41	115	114	113	272	271	270	81	151	0.5364	121	34	0.281	20	7	0.35	1	0.125	34	2	8	0.02941	2	7	0.02574	0.35
300446931	4	5	4	5	4	4	481	15	32.06666666666667	3.44	175	174	173	436	435	434	125	247	0.5061	189	50	0.2646	55	20	0.3636	1	0.08257	36	2	15	0.0344	2	18	0.04128	0.33
300444606	4	4	4	4	4	4	401	16	25.0625	4.32	150	149	148	370	369	368	108	210	0.5143	160	42	0.2625	39	17	0.4359	1	0.10541	39	2	8	0.02162	2	17	0.04595	0.44
300473269	4	5	4	4	4	4	456	23	19.82608695652174	5.54	206	205	204	415	414	413	153	237	0.6456	178	53	0.2978	56	27	0.4821	1	0.08434	35	2	4	0.00964	2	18	0.04337	0.32
300476977	4	4	4	4	4	4	322	14	23.0	4.68	130	129	128	299	298	297	90	181	0.4972	118	40	0.339	33	9	0.2727	1	0.06355	19	3	10	0.03344	3	9	0.0301	0.27
300479609	4	4	4	4	4	3	398	19	20.94736842105263	5.21	190	189	188	365	364	363	146	226	0.646	139	44	0.3165	45	22	0.4889	1	0.08219	30	2	6	0.01644	2	16	0.04384	0.36
300484037	4	4	4	4	3	4	471	13	36.23076923076923	3.0	180	179	178	434	433	432	129	253	0.5099	181	51	0.2818	62	23	0.371	1	0.04608	20	1	14	0.03226	1	16	0.03687	0.26
300484657	4	4	4	4	4	4	262	6	43.666666666666664	2.35	139	138	137	255	254	253	96	153	0.6275	102	43	0.4216	22	13	0.5909	1	0.05098	13	2	5	0.01961	2	11	0.04314	0.5
300486175	4	4	4	4	4	4	396	15	26.4	4.12	203	202	201	364	363	362	148	210	0.7048	154	55	0.3571	33	20	0.6061	1	0.08242	30	1	8	0.02198	1	19	0.0522	0.58
300436199	4	2	4	4	4	4	357	11	32.45454545454545	3.34	169	168	167	329	328	327	130	197	0.6599	132	39	0.2955	28	15	0.5357	1	0.09726	32	3	6	0.01824	3	6	0.01824	0.21
300443203	3	2	3	3	3	3	231	17	13.588235294117647	8.17	127	126	125	208	207	206	87	128	0.6797	80	40	0.5	25	18	0.72	1	0.0625	13	1	3	0.01442	1	8	0.03846	0.32
300446328	4	3	4	4	4	4	393	18	21.833333333333332	5.13	132	131	130	351	350	349	85	193	0.4404	158	47	0.2975	42	12	0.2857	1	0.07123	25	3	8	0.02279	3	17	0.04843	0.4
300400010	3	3	4	3	3	3	349	14	24.928571428571427	4.31	118	117	116	325	324	323	75	173	0.4335	152	43	0.2829	38	13	0.3421	1	0.09846	32	1	8	0.02462	1	10	0.03077	0.26
300441214	4	3	4	4	4	4	296	11	26.90909090909091	3.96	125	124	123	278	277	276	85	160	0.5312	118	40	0.339	27	10	0.3704	1	0.08273	23	1	4	0.01439	1	14	0.05036	0.52
300446492	4	4	4	4	4	4	358	10	35.8	3.04	135	134	133	329	328	327	89	185	0.4811	144	46	0.3194	48	14	0.2917	1	0.1155	38	2	4	0.01216	2	7	0.02128	0.15
300451442	4	4	4	4	4	3	402	16	25.125	4.31	130	129	128	371	370	369	87	205	0.4244	166	43	0.259	44	12	0.2727	1	0.09973	37	1	5	0.01348	1	7	0.01887	0.16
300456377	5	4	5	5	5	5	358	11	32.54545454545455	3.23	189	188	187	341	340	339	145	206	0.7039	135	44	0.3259	30	19	0.6333	1	0.06452	22	2	14	0.04106	2	10	0.02933	0.33
300462744	4	4	5	4	4	4	538	15	35.86666666666667	3.01	155	154	153	498	497	496	107	265	0.4038	233	48	0.206	59	17	0.2881	1	0.10643	53	2	9	0.01807	2	15	0.03012	0.25
300462939	5	5	5	5	5	5	427	16	26.6875	4.06	160	159	158	394	393	392	106	206	0.5146	188	54	0.2872	38	14	0.3684	1	0.09898	39	3	9	0.02284	3	16	0.04061	0.42
300465371	3	3	3	3	3	3	367	9	40.77777777777778	2.69	101	100	99	334	333	332	62	175	0.3543	159	39	0.2453	39	7	0.1795	1	0.06287	21	2	6	0.01796	2	1	0.00299	0.03
300470886	3	3	4	4	4	3	328	10	32.8	3.22	111	110	109	311	310	309	72	172	0.4186	139	39	0.2806	29	4	0.1379	1	0.08039	25	2	9	0.02894	2	22	0.07074	0.76
300474317	4	4	4	4	4	4	322	12	26.833333333333332	3.97	130	129	128	302	301	300	86	160	0.5375	142	44	0.3099	38	16	0.4211	1	0.07616	23	3	9	0.0298	3	18	0.0596	0.47
300467528	3	4	3	3	4	3	442	22	20.09090909090909	5.34	169	168	167	412	411	410	125	240	0.5208	172	44	0.2558	36	13	0.3611	1	0.1165	48	1	10	0.02427	1	22	0.0534	0.61
300468373	5	5	5	5	5	5	446	13	34.30769230769231	3.09	185	184	183	421	420	419	138	223	0.6188	198	47	0.2374	43	17	0.3953	1	0.13064	55	2	9	0.02138	2	12	0.0285	0.28
300470595	4	4	4	4	4	4	444	20	22.2	4.77	136	135	134	419	418	417	88	235	0.3745	184	48	0.2609	42	8	0.1905	1	0.06921	29	2	6	0.01432	2	18	0.04296	0.43
300475607	4	4	4	4	4	4	374	18	20.77777777777778	5.26	141	140	139	342	341	340	92	176	0.5227	166	49	0.2952	36	13	0.3611	1	0.09649	33	3	6	0.01754	3	19	0.05556	0.53
300475609	4	4	5	5	4	4	424	19	22.31578947368421	4.85	132	131	130	392	391	390	87	219	0.3973	173	45	0.2601	46	15	0.3261	1	0.07398	29	2	8	0.02041	2	16	0.04082	0.35
300476894	4	4	4	4	4	4	396	15	26.4	4.09	147	146	145	367	366	365	98	209	0.4689	158	49	0.3101	61	17	0.2787	1	0.09264	34	4	9	0.02452	4	11	0.02997	0.18
300479587	4	4	4	4	4	4	433	20	21.65	4.93	131	130	129	406	405	404	89	216	0.412	190	42	0.2211	51	11	0.2157	1	0.06897	28	1	8	0.0197	1	27	0.0665	0.53
300485726	4	4	4	4	4	4	286	7	40.857142857142854	2.47	121	120	119	283	282	281	81	154	0.526	129	40	0.3101	49	16	0.3265	1	0.11307	32	1	8	0.02827	1	7	0.02473	0.14
300485728	5	5	4	5	5	5	416	13	32.0	3.31	155	154	153	393	392	391	107	205	0.522	188	48	0.2553	48	17	0.3542	1	0.07888	31	2	7	0.01781	2	12	0.03053	0.25
300055462	3	3	3	2	4	3	230	7	32.857142857142854	3.37	118	117	116	208	207	206	82	116	0.7069	92	36	0.3913	11	8	0.7273	1	0.09135	19	1	12	0.05769	1	5	0.02404	0.45
300400011	3	3	3	3	4	3	357	17	21.0	5.18	166	165	164	328	327	326	122	204	0.598	124	44	0.3548	46	22	0.4783	1	0.05793	19	2	7	0.02134	2	9	0.02744	0.2
300435089	4	4	3	4	4	4	338	13	26.0	4.1	166	165	164	317	316	315	117	171	0.6842	146	49	0.3356	32	16	0.5	1	0.11356	36	1	6	0.01893	1	13	0.04101	0.41
300438545	4	3	4	4	4	3	329	11	29.90909090909091	3.45	127	126	125	319	318	317	84	176	0.4773	143	43	0.3007	38	14	0.3684	1	0.0627	20	3	11	0.03448	3	15	0.04702	0.39
300446586	4	4	4	4	4	4	331	14	23.642857142857142	4.52	152	151	150	310	309	308	108	175	0.6171	135	44	0.3259	48	31	0.6458	1	0.11935	37	2	5	0.01613	2	9	0.02903	0.19
300446933	3	2	3	3	3	3	408	15	27.2	3.99	165	164	163	376	375	374	123	213	0.5775	163	42	0.2577	32	16	0.5	1	0.10904	41	1	6	0.01596	1	11	0.02926	0.34
300446950	3	3	3	4	3	3	415	10	41.5	2.6	134	133	132	384	383	382	83	197	0.4213	187	51	0.2727	45	12	0.2667	1	0.09896	38	3	13	0.03385	3	19	0.04948	0.42
300453068	5	4	5	5	5	4	386	12	32.166666666666664	3.37	148	147	146	356	355	354	105	198	0.5303	158	43	0.2722	42	18	0.4286	1	0.06742	24	2	6	0.01685	2	19	0.05337	0.45
300455780	4	4	4	5	5	4	393	16	24.5625	4.38	144	143	142	365	364	363	108	216	0.5	149	36	0.2416	44	11	0.25	1	0.07671	28	1	12	0.03288	1	9	0.02466	0.2
300458321	4	4	4	4	4	4	357	13	27.46153846153846	3.89	123	122	121	334	333	332	77	175	0.44	159	46	0.2893	42	11	0.2619	1	0.0988	33	2	7	0.02096	2	15	0.04491	0.36
300465369	4	4	4	4	4	3	299	11	27.181818181818183	3.93	108	107	106	280	279	278	74	174	0.4253	106	34	0.3208	33	6	0.1818	1	0.05357	15	1	6	0.02143	1	3	0.01071	0.09
300474288	3	3	3	3	3	3	348	3	116.0	0.87	150	149	148	346	345	344	98	175	0.56	171	52	0.3041	29	11	0.3793	1	0.06069	21	2	7	0.02023	2	22	0.06358	0.76
300476203	3	2	4	3	3	3	369	18	20.5	5.49	121	120	119	328	327	326	89	229	0.3886	99	32	0.3232	57	9	0.1579	1	0.02744	9	1	2	0.0061	1	4	0.0122	0.07
300478184	3	3	4	4	3	3	363	14	25.928571428571427	4.08	165	164	163	343	342	341	122	209	0.5837	134	43	0.3209	45	27	0.6	1	0.06414	22	2	11	0.03207	2	15	0.04373	0.33
300478187	3	3	3	4	3	3	457	21	21.761904761904763	4.98	145	144	143	422	421	420	97	243	0.3992	179	48	0.2682	68	22	0.3235	1	0.03791	16	2	12	0.02844	2	32	0.07583	0.47
300485722	3	3	3	3	4	3	470	20	23.5	4.43	170	169	168	451	450	449	129	255	0.5059	196	41	0.2092	76	34	0.4474	1	0.09313	42	2	8	0.01774	2	19	0.04213	0.25
300446938	4	4	4	4	4	4	569	28	20.321428571428573	5.36	162	161	160	522	521	520	117	293	0.3993	229	45	0.1965	68	18	0.2647	1	0.10728	56	2	6	0.01149	2	16	0.03065	0.24
300451427	5	4	5	5	4	5	315	11	28.636363636363637	3.68	121	120	119	299	298	297	79	165	0.4788	134	42	0.3134	41	15	0.3659	1	0.09365	28	1	3	0.01003	1	7	0.02341	0.17
300457114	4	4	4	4	4	4	407	13	31.307692307692307	3.44	157	156	155	378	377	376	115	214	0.5374	164	42	0.2561	48	18	0.375	1	0.06349	24	1	8	0.02116	1	11	0.0291	0.23
300457871	5	5	5	5	5	5	536	24	22.333333333333332	4.82	195	194	193	498	497	496	156	288	0.5417	210	39	0.1857	54	29	0.537	1	0.07229	36	1	12	0.0241	1	9	0.01807	0.17
300469240	2	2	3	3	3	3	236	11	21.454545454545453	4.98	117	116	115	221	220	219	82	145	0.5655	76	35	0.4605	25	11	0.44	1	0.06787	15	2	6	0.02715	2	4	0.0181	0.16
300470958	4	4	3	4	4	4	396	15	26.4	4.11	186	185	184	365	364	363	140	208	0.6731	157	46	0.293	48	29	0.6042	1	0.10685	39	2	15	0.0411	2	11	0.03014	0.23
300471151	4	3	4	4	4	4	414	19	21.789473684210527	5.0	153	152	151	380	379	378	108	228	0.4737	152	45	0.2961	47	17	0.3617	1	0.08421	32	2	3	0.00789	2	6	0.01579	0.13
300471155	4	3	4	4	4	4	320	12	26.666666666666668	4.07	128	127	126	295	294	293	90	173	0.5202	122	38	0.3115	44	21	0.4773	1	0.07797	23	1	9	0.03051	1	13	0.04407	0.3
300475608	5	4	4	5	4	4	434	15	28.933333333333334	3.72	202	201	200	403	402	401	152	223	0.6816	180	50	0.2778	40	22	0.55	1	0.09926	40	2	11	0.0273	2	16	0.0397	0.4
300478180	3	2	3	3	3	3	315	17	18.529411764705884	6.03	143	142	141	282	281	280	100	173	0.578	109	43	0.3945	37	19	0.5135	1	0.03901	11	2	5	0.01773	2	11	0.03901	0.3
300476975	3	3	3	3	3	3	229	13	17.615384615384617	6.13	91	90	89	212	211	210	54	126	0.4286	86	37	0.4302	25	10	0.4	1	0.08019	17	3	5	0.02358	3	1	0.00472	0.04
300478707	4	4	4	4	4	3	372	16	23.25	4.69	155	154	153	341	340	339	106	190	0.5579	151	49	0.3245	23	9	0.3913	1	0.08798	30	3	8	0.02346	3	22	0.06452	0.96
300479617	4	4	4	3	4	3	723	35	20.65714285714286	5.15	261	260	259	680	679	678	201	375	0.536	305	60	0.1967	60	29	0.4833	1	0.10735	73	2	17	0.025	2	28	0.04118	0.47
300447416	4	4	4	5	5	5	379	14	27.071428571428573	3.93	157	156	155	356	355	354	121	210	0.5762	146	36	0.2466	43	21	0.4884	1	0.13483	48	1	4	0.01124	1	9	0.02528	0.21
300448668	4	4	4	5	4	4	554	19	29.157894736842106	3.61	145	144	143	527	526	525	103	289	0.3564	238	42	0.1765	67	11	0.1642	1	0.06452	34	2	23	0.04364	2	36	0.06831	0.54
300422495	3	4	3	3	3	3	412	21	19.61904761904762	5.53	139	138	137	380	379	378	92	230	0.4	150	47	0.3133	66	17	0.2576	1	0.08421	32	2	4	0.01053	2	10	0.02632	0.15
300446945	4	3	4	3	4	4	341	12	28.416666666666668	3.7	108	107	106	324	323	322	71	182	0.3901	142	37	0.2606	57	16	0.2807	1	0.04012	13	1	14	0.04321	1	9	0.02778	0.16
300445396	4	3	4	4	4	4	300	12	25.0	4.41	115	114	113	272	271	270	81	151	0.5364	121	34	0.281	20	7	0.35	1	0.125	34	2	8	0.02941	2	7	0.02574	0.35
300437784	4	3	4	4	4	3	467	23	20.304347826086957	5.49	181	180	179	419	418	417	134	247	0.5425	172	47	0.2733	45	20	0.4444	1	0.07637	32	1	5	0.01193	1	27	0.06444	0.6
300446941	4	4	4	4	4	4	422	24	17.583333333333332	6.37	161	160	159	377	376	375	110	215	0.5116	162	51	0.3148	56	25	0.4464	1	0.06366	24	3	13	0.03448	3	19	0.0504	0.34
300446931	4	4	3	4	4	3	481	15	32.06666666666667	3.44	175	174	173	436	435	434	125	247	0.5061	189	50	0.2646	55	20	0.3636	1	0.08257	36	2	15	0.0344	2	18	0.04128	0.33
300444606	4	4	3	4	4	3	401	16	25.0625	4.32	150	149	148	370	369	368	108	210	0.5143	160	42	0.2625	39	17	0.4359	1	0.10541	39	2	8	0.02162	2	17	0.04595	0.44
300473269	3	3	3	3	3	3	456	23	19.82608695652174	5.54	206	205	204	415	414	413	153	237	0.6456	178	53	0.2978	56	27	0.4821	1	0.08434	35	2	4	0.00964	2	18	0.04337	0.32
300476977	4	3	3	4	4	4	322	14	23.0	4.68	130	129	128	299	298	297	90	181	0.4972	118	40	0.339	33	9	0.2727	1	0.06355	19	3	10	0.03344	3	9	0.0301	0.27
300479609	4	4	4	4	3	4	398	19	20.94736842105263	5.21	190	189	188	365	364	363	146	226	0.646	139	44	0.3165	45	22	0.4889	1	0.08219	30	2	6	0.01644	2	16	0.04384	0.36
