id	Writing_Applications	Language_Conventions	total_words	total_sentences	words_div_sentences	sent_density	flesch_reading_ease	flesch_kincaid_grade	smog_index	automated_readability_index	coleman_liau_index	linsear_write_formula	dale_chall_readability_score	text_standard	spache_readability	reading_time	crawford	wiener_sachtextformel	monosyllabcount	polysyllabcount	letter_count	char_count	sentence_count	lexicon_count	syllable_count	ts_avg_len_sent	ts_avg_sent_per_word	ts_avg_syllab_per_word
2988	3	3	374	17	22.0	5.0	70.87	9.7	10.4	10.7	6.16	8.333333333333334	6.14	11.0	4.863982443982444	20.13	2.1	3.2516460614460616	279	21	1328	1370	13	333	431	25.6	0.04	1.3
2989	3	3	349	18	19.38888888888889	5.64	68.4	8.6	10.6	9.0	7.37	7.428571428571429	6.92	9.0	4.406683531746031	20.21	2.4	3.941924603174604	231	27	1338	1376	16	315	441	19.7	0.05	1.4
2990	5	4	548	29	18.896551724137932	5.94	-412.35	191.3	0.0	242.5	9.78	6.25	30.46	0.0	70.48296907216493	32.38	3.7	81.70747422680412	349	34	2140	2204	1	485	712	485.0	0.0	1.5
2991	3	4	363	12	30.25	3.59	59.6	14.1	10.5	16.6	6.98	18.666666666666668	7.75	11.0	6.686575757575756	20.26	2.3	4.972757575757576	272	15	1345	1379	9	330	423	36.7	0.03	1.3
2992	3	2	107	5	21.4	5.15	31.55	16.6	13.0	17.2	10.98	11.1	7.89	17.0	6.412150537634409	6.73	4.0	7.557662365591398	60	9	444	458	3	93	154	31.0	0.03	1.7
2993	3	3	394	17	23.176470588235293	4.72	64.07	12.3	10.4	15.7	8.48	15.0	7.73	8.0	6.334243277848911	23.22	2.5	5.079169014084506	272	18	1541	1581	11	355	475	32.3	0.03	1.3
2994	4	4	733	39	18.794871794871796	5.86	76.05	7.7	9.1	8.9	6.67	8.833333333333334	5.88	9.0	4.224025047709923	40.96	2.1	2.629176526717557	512	35	2707	2788	32	655	874	20.5	0.05	1.3
2995	3	3	373	13	28.692307692307693	3.9	55.0	13.8	11.4	16.6	9.18	11.2	6.85	14.0	6.052975987841945	22.18	2.8	5.870743221884498	237	21	1466	1510	10	329	457	32.9	0.03	1.4
2996	1	2	204	5	40.8	3.31	41.43	14.8	15.6	17.9	11.27	14.75	9.27	15.0	6.872059459459459	11.31	3.5	7.807565945945946	96	24	714	770	5	148	231	29.6	0.03	1.6
2997	3	3	377	21	17.952380952380953	6.14	76.96	7.4	8.5	8.4	6.56	10.8	5.89	9.0	4.039980215509627	20.77	1.8	1.8661289171524467	278	15	1370	1414	17	333	427	19.6	0.05	1.3
2998	3	2	348	11	31.636363636363637	3.32	69.38	12.4	7.4	14.0	4.54	13.25	6.43	14.0	6.160177638453499	17.58	1.8	3.4806841518634624	278	5	1168	1197	9	319	377	35.4	0.03	1.2
2999	3	3	337	19	17.736842105263158	6.48	74.32	8.4	8.4	9.9	6.91	7.666666666666666	6.27	8.0	4.419905243545381	18.2	2.1	2.4457562416821927	231	11	1190	1239	13	289	377	22.2	0.04	1.3
3000	3	3	237	9	26.333333333333332	4.43	-110.55	77.4	0.0	98.1	9.19	10.8	16.82	0.0	29.879081632653055	13.19	3.6	32.92890408163265	140	12	854	898	1	196	284	196.0	0.01	1.4
3001	4	4	566	23	24.608695652173914	4.47	-424.86	200.2	0.0	255.3	7.92	13.25	30.82	13.0	73.84840856031127	31.67	2.9	84.72422412451361	424	17	2101	2156	1	514	665	514.0	0.0	1.3
3002	3	3	588	22	26.727272727272727	4.34	62.01	11.1	10.5	13.0	8.19	6.714285714285714	6.46	11.0	5.044676113360323	32.93	2.8	4.016572469635628	357	32	2144	2242	19	494	706	26.0	0.04	1.4
3003	4	3	428	18	23.77777777777778	4.57	51.41	13.1	12.7	14.2	9.06	11.6	8.12	13.0	6.088165576154125	26.46	3.0	5.88363191566703	288	39	1766	1801	14	393	572	28.1	0.04	1.5
3004	4	4	212	11	19.272727272727273	5.5	34.29	15.5	12.5	15.2	10.33	10.166666666666666	7.59	16.0	5.869709956709956	13.9	4.2	6.510836075036073	138	19	932	946	7	198	336	28.3	0.04	1.7
3005	2	2	93	5	18.6	6.02	60.28	11.7	11.2	13.8	8.71	11.875	8.05	12.0	5.672530120481927	5.55	2.5	4.972191967871486	64	6	368	378	3	83	113	27.7	0.04	1.4
3006	3	3	313	15	20.866666666666667	5.3	64.95	9.9	10.5	10.8	7.78	9.0	7.01	11.0	4.93201714801444	17.92	2.4	3.9509954271961494	211	20	1184	1220	12	277	381	23.1	0.04	1.4
3007	3	3	320	20	16.0	6.85	79.9	6.3	9.3	7.5	7.02	8.166666666666666	6.41	8.0	3.8910082850041423	18.22	2.0	3.0197376139188075	221	20	1204	1240	17	284	383	16.7	0.06	1.3
3008	4	4	486	38	12.789473684210526	8.92	-342.99	166.7	0.0	210.4	7.11	8.833333333333334	25.98	167.0	61.22941176470588	25.59	3.3	70.21784705882352	344	24	1680	1742	1	425	586	425.0	0.0	1.4
3009	3	4	386	16	24.125	4.56	-280.74	138.6	0.0	175.4	12.27	16.5	22.94	139.0	50.633435158501435	25.25	4.4	60.718500864553306	226	46	1680	1719	1	347	554	347.0	0.0	1.6
3010	3	2	196	8	24.5	4.55	67.72	10.9	8.8	14.1	8.54	13.25	6.53	9.0	5.3309999999999995	11.34	2.2	3.2513806201550386	138	6	748	772	6	172	222	28.7	0.03	1.3
3011	4	3	472	23	20.52173913043478	5.67	75.64	7.9	7.5	9.0	6.27	10.8	6.82	8.0	4.5216818242078745	24.8	1.9	1.6701113350125945	327	11	1612	1688	19	397	510	20.9	0.05	1.3
3012	3	3	330	22	15.0	7.43	81.02	5.8	8.2	6.4	6.38	5.875	6.28	6.0	3.5295504978662873	18.47	1.5	1.8986175675675674	248	15	1222	1257	19	296	378	15.6	0.06	1.3
3013	4	4	487	27	18.037037037037038	6.14	69.21	8.3	10.3	9.6	8.65	8.333333333333334	6.98	9.0	4.530023442195953	29.28	2.5	4.097341534762572	305	36	1940	1993	23	434	620	18.9	0.05	1.4
3014	4	4	419	21	19.952380952380953	5.6	67.28	9.0	10.4	9.5	7.31	6.75	6.36	10.0	4.435511586452763	23.96	2.4	3.0885898989898997	306	29	1586	1631	18	374	520	20.8	0.05	1.4
3015	3	4	406	22	18.454545454545453	5.91	66.17	9.5	11.4	11.3	9.05	10.666666666666666	7.27	11.0	4.9878526249209365	25.31	2.7	4.862681024667932	274	36	1689	1723	17	372	533	21.9	0.05	1.4
3016	3	3	346	18	19.22222222222222	5.77	75.74	7.9	10.0	10.4	8.47	7.142857142857142	6.69	10.0	4.626287179487179	20.86	2.2	3.8007087179487176	238	22	1386	1420	15	312	420	20.8	0.05	1.3
3017	4	4	500	23	21.73913043478261	5.22	64.95	9.9	11.7	12.4	9.58	8.833333333333334	7.88	12.0	5.267503244412401	30.42	2.7	5.480815525114155	320	43	2007	2071	19	438	621	23.1	0.04	1.4
3018	3	3	506	21	24.095238095238095	4.53	59.98	11.8	9.8	13.5	8.01	11.6	7.39	12.0	5.554857142857143	29.19	2.8	4.120439285714285	345	22	1929	1987	16	448	632	28.0	0.04	1.4
3019	4	4	337	21	16.047619047619047	6.89	61.77	9.1	10.5	10.5	10.03	7.7142857142857135	6.54	11.0	4.158214079074252	21.83	2.7	4.965879459980714	218	28	1453	1486	17	305	453	17.9	0.06	1.5
3020	4	4	830	44	18.863636363636363	5.85	76.25	7.7	8.3	9.3	7.25	8.666666666666666	6.57	9.0	4.425662894375858	46.82	2.1	2.6099632373113857	562	29	3084	3187	36	729	969	20.3	0.05	1.3
3021	4	3	571	27	21.14814814814815	5.13	48.54	12.1	8.7	9.7	6.8	8.166666666666666	6.52	7.0	4.605672240802676	32.17	3.4	2.5471354515050173	437	22	2133	2190	23	520	814	22.6	0.04	1.6
3022	4	4	379	24	15.791666666666666	7.27	72.05	7.2	8.8	8.3	8.06	6.125	7.39	8.0	4.334448753894081	21.71	2.3	2.94438554517134	225	20	1418	1478	20	321	457	16.1	0.06	1.4
3023	4	4	335	16	20.9375	5.59	37.74	14.2	8.0	11.8	7.26	8.166666666666666	7.0	8.0	5.104466489714664	17.73	3.9	2.721296350364963	210	8	1144	1207	11	274	456	24.9	0.04	1.7
3024	4	4	753	31	24.29032258064516	4.61	-89.58	67.2	22.1	83.1	9.02	8.833333333333334	14.4	9.0	25.33869461077844	43.76	3.6	27.98124730538922	494	44	2894	2979	4	668	971	167.0	0.01	1.5
3025	3	3	321	9	35.666666666666664	3.03	51.25	15.2	13.8	18.6	9.53	15.5	7.88	16.0	6.942374146757679	19.89	2.9	7.664570307167235	211	28	1323	1354	8	293	409	36.6	0.03	1.4
3026	4	4	437	25	17.48	6.46	79.6	6.4	7.7	7.3	6.26	5.111111111111111	6.13	7.0	3.8982236168657076	23.5	1.7	1.7426418230562994	298	14	1533	1600	22	373	478	17.0	0.06	1.3
3027	3	3	377	18	20.944444444444443	5.31	63.93	10.3	11.1	12.1	8.71	10.333333333333334	7.21	11.0	5.311781910397295	22.59	2.7	5.138342519019442	245	27	1499	1538	14	338	482	24.1	0.04	1.4
3028	5	4	581	30	19.366666666666667	5.91	60.35	9.6	11.7	10.7	9.52	7.25	7.17	10.0	4.572141587496169	35.2	2.7	4.8786844008581065	366	59	2317	2396	26	502	739	19.3	0.05	1.5
3029	3	2	304	18	16.88888888888889	6.32	-192.43	110.9	0.0	139.1	6.01	55.0	19.66	111.0	41.65768421052631	16.03	2.7	45.83980701754385	238	11	1072	1091	1	285	361	285.0	0.0	1.3
3030	4	4	432	21	20.571428571428573	5.41	74.12	8.5	9.8	10.8	8.07	7.0	6.86	7.0	4.766512891770881	24.96	2.2	3.0314859039678863	300	23	1645	1699	17	381	509	22.4	0.04	1.3
3031	3	4	256	13	19.692307692307693	5.56	-157.58	93.4	0.0	117.8	11.0	8.5	17.06	0.0	34.457786324786326	16.22	3.7	39.718517948717945	168	18	1082	1104	1	234	343	234.0	0.0	1.5
3032	4	3	521	20	26.05	4.18	56.02	13.4	12.7	16.2	9.47	16.0	6.77	13.0	5.934084342379958	32.41	2.9	6.39145583855254	347	42	2161	2206	15	479	679	31.9	0.03	1.4
3033	4	3	683	40	17.075	6.41	78.28	6.9	8.1	7.2	6.15	6.857142857142857	6.12	7.0	3.9544201477692527	37.86	1.7	1.7756704177323108	516	26	2508	2577	34	621	784	18.3	0.05	1.3
3034	4	4	835	34	24.558823529411764	4.59	-293.59	145.6	0.0	184.8	10.71	19.333333333333332	24.29	146.0	53.731891304347826	50.94	3.7	62.567983152173916	533	67	3367	3468	2	736	1079	368.0	0.0	1.5
3035	2	2	150	8	18.75	5.71	65.05	9.9	9.3	10.7	7.96	8.166666666666666	7.52	8.0	5.266057971014492	8.87	2.5	3.9542956521739123	107	7	594	604	6	138	191	23.0	0.04	1.4
3036	3	3	291	17	17.11764705882353	6.44	52.29	10.7	9.6	9.2	8.18	7.571428571428571	6.91	10.0	4.247099567099568	17.44	3.4	3.5755658008658013	208	18	1159	1187	14	264	427	18.9	0.05	1.6
3037	4	4	513	31	16.548387096774192	6.61	-148.11	91.8	0.0	116.5	10.07	8.0	17.5	92.0	34.65165665236051	31.22	3.5	39.30144120171674	345	28	2077	2125	2	466	667	233.0	0.0	1.4
3038	2	3	97	4	24.25	4.35	-4.99	36.8	0.0	43.8	7.22	13.5	9.74	37.0	14.371869565217391	5.51	3.3	15.428052173913041	73	8	370	375	1	92	131	92.0	0.01	1.4
3039	3	2	242	8	30.25	3.45	41.3	19.0	10.8	22.7	9.19	10.8	8.93	11.0	8.308124137931033	15.16	2.8	7.641528275862068	170	9	1022	1032	5	232	316	46.4	0.02	1.4
3040	3	3	466	17	27.41176470588235	4.14	54.8	13.8	11.9	15.8	7.79	14.75	7.74	8.0	6.3919112090680095	25.62	2.6	5.566986733837111	309	28	1675	1744	12	397	539	33.1	0.03	1.4
3041	4	3	590	41	14.390243902439025	7.61	82.24	5.4	8.6	7.4	8.17	5.777777777777778	6.96	6.0	3.7253216368338316	35.99	1.7	2.442176654327874	418	34	2391	2450	37	533	708	14.4	0.07	1.3
3042	4	4	356	20	17.8	6.56	68.4	8.6	10.9	9.6	7.78	7.142857142857142	6.92	9.0	4.574033898305084	19.54	2.6	4.010656497175141	208	28	1275	1330	15	295	425	19.7	0.05	1.4
3043	3	4	337	24	14.041666666666666	8.22	75.2	6.0	8.6	6.5	6.83	5.875	7.17	7.0	3.963575091575091	18.24	1.7	2.447098168498169	199	19	1177	1242	21	273	375	13.0	0.08	1.4
3044	3	3	275	14	19.642857142857142	5.53	65.39	11.8	10.7	14.1	7.27	8.166666666666666	7.34	8.0	6.0075806451612905	15.48	2.4	4.463361290322581	198	14	1023	1054	8	248	328	31.0	0.03	1.3
3045	4	3	419	31	13.516129032258064	8.56	81.73	5.6	7.9	6.4	6.2	4.0	6.32	6.0	3.3940780812324927	22.67	1.6	1.448598599439776	289	17	1480	1543	24	357	464	14.9	0.07	1.3
3046	3	3	263	12	21.916666666666668	5.11	63.06	12.7	11.5	16.2	8.43	14.0	7.25	8.0	6.233573267933782	15.25	2.6	5.35771048436542	184	15	1008	1038	7	233	313	33.3	0.03	1.3
3047	3	4	318	14	22.714285714285715	4.79	-214.42	115.2	0.0	145.8	11.05	11.2	20.69	0.0	42.76693103448275	20.13	4.0	49.61993103448276	200	25	1342	1370	1	290	441	290.0	0.0	1.5
3048	3	4	589	36	16.36111111111111	6.77	75.34	8.0	8.4	8.1	5.4	6.571428571428571	6.12	8.0	4.282539622641509	31.3	1.9	2.190338113207548	432	21	2070	2131	25	530	679	21.2	0.05	1.3
3049	4	3	340	19	17.894736842105264	6.11	-59.32	26.6	11.3	10.6	8.94	7.571428571428571	6.86	11.0	4.488096103896104	20.93	9.7	4.8219070995671	232	31	1393	1425	15	308	888	20.5	0.05	2.9
3050	2	2	371	20	18.55	5.99	79.6	6.4	8.7	7.6	6.78	11.0	6.83	7.0	3.9016346749226005	20.65	1.8	2.070341176470588	255	18	1356	1406	19	323	423	17.0	0.06	1.3
3051	4	4	465	24	19.375	5.71	49.04	11.9	12.5	11.8	9.34	7.857142857142858	7.97	12.0	5.385175229242558	28.97	3.3	6.015541288782815	284	51	1925	1972	19	419	656	22.1	0.05	1.6
3052	4	4	435	20	21.75	5.08	74.73	8.3	10.0	9.3	6.5	7.0	7.17	7.0	4.880349872773536	24.28	2.1	3.580138931297709	311	26	1611	1653	18	393	521	21.8	0.05	1.3
3053	3	3	419	20	20.95	5.31	-97.87	72.5	0.0	90.1	7.45	11.2	13.73	73.0	27.1108651226158	22.67	3.2	30.227535149863755	295	25	1491	1543	2	367	502	183.5	0.01	1.4
3054	3	4	517	23	22.47826086956522	5.23	61.6	11.2	10.1	14.0	9.0	11.2	6.96	12.0	5.278271424349882	29.31	2.6	4.509061583924351	295	24	1896	1995	16	423	589	26.4	0.04	1.4
3055	3	3	341	16	21.3125	5.06	62.21	11.0	10.5	11.6	7.26	11.0	6.45	11.0	4.998552588996763	19.41	2.5	4.0322122977346275	236	20	1292	1321	12	309	424	25.8	0.04	1.4
3056	3	3	356	16	22.25	4.98	63.32	10.6	11.7	13.3	9.93	14.75	7.81	11.0	5.285101365923795	22.42	2.8	5.527105248023005	234	29	1490	1526	13	321	464	24.7	0.04	1.4
3057	3	3	130	7	18.571428571428573	5.79	64.44	10.1	10.8	10.9	7.67	7.428571428571429	6.55	11.0	4.749650847457627	7.55	2.5	4.251004745762712	90	9	501	514	5	118	164	23.6	0.04	1.4
3058	3	3	414	24	17.25	6.43	-294.61	146.0	0.0	184.4	9.66	6.625	23.78	146.0	53.45065582655826	24.49	3.7	62.48724715447153	287	32	1621	1667	1	369	538	369.0	0.0	1.5
3059	3	3	386	18	21.444444444444443	5.07	64.54	10.1	9.4	10.9	7.78	14.25	6.69	11.0	4.80745909090909	22.58	2.4	3.3074903030303027	273	18	1504	1537	15	352	478	23.5	0.04	1.4
3060	4	3	405	18	22.5	4.7	61.7	11.2	11.5	13.3	9.0	8.5	6.1	9.0	4.942568322981366	24.75	2.8	5.218667080745341	264	30	1647	1685	14	368	521	26.3	0.04	1.4
3061	3	3	354	13	27.23076923076923	4.01	23.19	17.7	13.0	16.3	9.93	15.75	6.65	13.0	5.752534304207119	21.54	4.8	6.2870463430420696	219	30	1419	1466	10	309	562	30.9	0.03	1.8
3062	3	3	369	21	17.571428571428573	6.29	61.97	9.0	11.4	10.6	10.03	5.666666666666667	6.54	11.0	4.254447753396029	23.06	2.9	5.1467135492859635	220	38	1520	1570	18	319	487	17.7	0.06	1.5
3063	4	4	396	15	26.4	4.25	47.35	14.6	13.6	17.0	10.17	12.6	7.69	15.0	6.46013546227144	24.64	3.3	7.142922946175636	242	37	1634	1677	11	353	529	32.1	0.03	1.5
3064	3	3	383	15	25.533333333333335	4.24	70.47	9.9	8.6	11.1	6.27	8.0	6.56	7.0	5.039319526627219	20.6	2.1	3.1880579881656796	263	12	1357	1402	13	338	436	26.0	0.04	1.3
3065	3	3	142	8	17.75	6.02	-61.5	54.4	0.0	67.6	12.27	7.857142857142858	13.27	13.0	20.819923664122133	9.61	4.2	24.83323816793893	89	16	641	654	1	131	208	131.0	0.01	1.6
3066	1	1	76	2	38.0	2.82	16.33	28.6	0.0	34.6	8.73	19.75	10.27	29.0	11.940140845070422	4.54	3.3	11.835918309859155	57	4	304	309	1	71	101	71.0	0.01	1.4
3067	4	4	474	24	19.75	5.49	66.88	9.2	9.8	10.7	8.59	8.5	6.18	9.0	4.431079078014184	28.48	2.6	4.083265815602836	309	27	1888	1939	20	423	603	21.2	0.05	1.4
3068	2	2	280	14	20.0	5.43	74.73	8.3	9.1	10.8	8.12	8.5	6.03	9.0	4.345363636363636	15.95	2.2	2.9078749999999993	192	12	1051	1086	11	240	319	21.8	0.05	1.3
3069	4	3	670	34	19.705882352941178	5.39	75.74	7.9	8.5	8.4	6.27	7.833333333333334	6.59	8.0	4.447120512820513	37.9	1.8	2.310596538461539	513	27	2533	2580	30	624	787	20.8	0.05	1.3
3070	3	3	322	13	24.76923076923077	4.5	54.05	12.1	12.1	13.2	9.0	7.571428571428571	6.81	12.0	5.114218699450015	19.13	3.0	5.766484697508897	202	27	1259	1302	11	281	415	25.5	0.04	1.5
3071	4	4	338	17	19.88235294117647	5.7	50.26	11.4	13.3	12.0	10.1	10.142857142857142	7.54	11.0	4.957939334637965	20.93	3.4	6.3203279843444236	195	44	1379	1425	14	292	467	20.9	0.05	1.6
3072	4	4	770	32	24.0625	4.45	75.78	9.9	9.4	12.7	6.63	11.6	6.53	7.0	5.444907593123208	42.51	2.0	3.570541356255969	574	29	2808	2894	24	698	869	29.1	0.03	1.2
3073	4	4	1168	64	18.25	5.99	61.97	9.0	11.0	9.7	9.22	8.285714285714286	7.07	9.0	4.421151599247413	73.7	2.7	4.725787343994982	739	115	4914	5017	60	1063	1584	17.7	0.06	1.5
3074	4	4	647	22	29.40909090909091	3.69	55.1	13.7	12.7	16.4	9.18	14.5	8.39	15.0	6.734489847715736	39.55	2.9	6.549995600676819	430	50	2637	2692	18	591	839	32.8	0.03	1.4
3075	4	4	681	25	27.24	3.97	58.25	12.5	12.5	15.3	9.64	12.2	8.07	13.0	6.140138041733547	42.47	2.9	5.965860567148208	451	57	2831	2891	21	623	891	29.7	0.03	1.4
3076	3	3	365	19	19.210526315789473	5.62	64.04	10.3	9.6	11.0	7.61	6.714285714285714	6.94	11.0	4.990857142857143	21.42	2.4	3.8738416666666673	253	18	1426	1458	14	336	459	24.0	0.04	1.4
3077	5	4	699	30	23.3	4.89	57.4	10.8	12.8	12.2	9.46	7.7142857142857135	7.8	8.0	5.201835652012614	42.19	2.9	5.816600024732578	419	78	2762	2872	27	599	882	22.2	0.05	1.5
3078	3	3	491	13	37.76923076923077	2.77	5.51	34.9	15.6	43.1	7.39	19.333333333333332	9.75	35.0	14.045	27.4	2.7	13.877999999999998	373	24	1821	1865	5	450	583	90.0	0.01	1.3
3079	3	3	479	25	19.16	5.76	83.8	6.8	7.0	8.3	5.46	5.5	5.58	6.0	4.091879245283018	25.28	1.6	1.4586494339622633	361	9	1664	1721	20	424	517	21.2	0.05	1.2
3080	4	4	522	28	18.642857142857142	5.96	69.11	8.3	9.9	9.8	8.53	7.428571428571429	7.32	10.0	4.570586538461538	30.8	2.3	3.5700201465201467	349	34	2024	2097	24	455	629	19.0	0.05	1.4
3081	4	4	385	17	22.647058823529413	5.14	51.86	15.0	10.0	17.7	8.14	8.0	8.01	8.0	6.73783950617284	21.3	2.8	5.178983950617283	248	13	1386	1450	9	324	445	36.0	0.03	1.4
3082	3	3	257	3	85.66666666666667	1.16	-162.66	95.3	0.0	121.6	12.62	31.0	17.67	13.0	35.25766527196652	17.55	3.9	41.49642761506276	170	27	1172	1195	1	239	363	239.0	0.0	1.5
3083	3	3	345	7	49.285714285714285	2.08	-9.02	40.4	16.3	52.4	9.83	27.5	10.47	10.0	16.017092651757185	21.11	2.9	17.32969307774228	248	16	1398	1437	3	313	415	104.3	0.01	1.3
3084	3	4	509	26	19.576923076923077	5.5	66.57	9.3	9.9	9.5	7.2	11.4	6.74	10.0	4.702226502311248	29.84	2.3	3.6528991525423713	361	31	1994	2031	22	472	638	21.5	0.05	1.4
3085	3	4	206	11	18.727272727272727	5.88	73.71	8.6	9.5	10.0	6.97	8.333333333333334	6.33	10.0	4.472024725274725	11.4	2.2	3.2749538461538457	147	10	751	776	8	182	243	22.8	0.04	1.3
3086	2	3	131	9	14.555555555555555	7.38	79.6	6.4	3.1	7.0	6.44	5.25	5.81	7.0	3.669613445378151	7.42	1.5	0.1189126050420164	99	0	493	505	7	119	149	17.0	0.06	1.3
3087	2	3	181	7	25.857142857142858	4.43	54.05	12.1	13.3	13.7	9.58	12.6	8.62	14.0	5.895937908496732	10.68	3.2	6.302129411764705	107	19	700	727	6	153	230	25.5	0.04	1.5
3088	3	3	368	25	14.72	7.37	72.16	7.2	9.0	7.1	7.07	8.5	5.94	7.0	3.5247036247334753	21.43	1.9	2.751432125088841	258	22	1425	1459	21	335	454	16.0	0.06	1.4
3089	3	4	343	14	24.5	4.53	-230.66	121.5	0.0	154.1	11.29	14.5	21.45	122.0	45.024869281045746	21.52	3.9	52.67359215686274	222	31	1428	1465	1	306	459	306.0	0.0	1.5
3090	3	3	405	25	16.2	6.87	79.4	6.5	9.5	7.8	7.07	7.833333333333334	1.64	8.0	3.578411207576953	23.22	1.8	2.2818780320968166	294	26	1537	1581	21	362	473	17.2	0.06	1.3
3091	2	2	192	8	24.0	4.52	71.48	9.5	10.0	12.0	8.19	14.0	7.4	10.0	5.248571428571427	11.41	2.2	3.7403714285714287	139	10	760	777	7	175	228	25.0	0.04	1.3
3092	3	3	200	9	22.22222222222222	4.84	69.18	12.5	6.7	15.4	6.05	7.5	6.64	7.0	6.003543820224719	10.58	1.9	2.8648480898876403	164	2	697	720	5	178	213	35.6	0.03	1.2
3093	3	3	295	15	19.666666666666668	5.98	54.76	11.8	10.4	12.5	8.42	14.0	7.48	12.0	5.202735483870967	16.66	2.9	3.8847051612903227	187	16	1086	1134	10	248	360	24.8	0.04	1.5
3094	4	3	382	13	29.384615384615383	3.69	61.43	13.4	9.6	14.7	5.7	10.6	7.04	15.0	6.302020343839541	20.29	2.2	4.357643896848136	288	13	1347	1381	10	349	441	34.9	0.03	1.3
3095	2	2	162	6	27.0	3.97	58.49	14.5	9.5	16.0	5.76	13.5	7.92	16.0	6.617379139072847	8.74	2.2	4.637329801324502	126	5	584	595	4	151	189	37.8	0.03	1.3
3096	1	2	152	10	15.2	7.14	91.11	4.0	6.7	4.7	5.21	6.571428571428571	5.8	7.0	3.1815714285714285	8.36	0.8	-0.13648571428571454	124	4	557	569	10	140	162	14.0	0.07	1.2
3097	3	3	533	27	19.74074074074074	5.97	71.78	9.4	8.7	11.0	6.62	10.4	6.64	7.0	4.943260299625468	27.9	2.3	2.679387016229712	346	17	1809	1899	18	445	595	24.7	0.04	1.3
3098	3	3	224	10	22.4	4.88	62.92	10.7	10.4	12.6	8.65	11.4	6.69	11.0	5.06620211442786	13.44	2.6	4.3158502487562185	143	13	889	915	8	201	280	25.1	0.04	1.4
3099	4	4	648	22	29.454545454545453	3.64	54.8	13.8	12.7	16.3	8.89	14.5	7.21	14.0	6.22914317673378	39.37	3.0	6.438845563012677	428	50	2627	2680	18	596	850	33.1	0.03	1.4
3100	3	3	410	7	58.57142857142857	1.82	-85.35	69.8	0.0	88.8	8.09	58.0	13.86	70.0	26.675519498607237	22.87	3.0	29.912413927576605	281	25	1498	1557	2	359	476	179.5	0.01	1.3
3101	3	3	226	12	18.833333333333332	6.15	66.47	9.4	9.4	11.2	8.65	8.333333333333334	6.99	9.0	4.543281786941581	13.21	2.6	3.7884187857961056	149	11	867	899	9	194	277	21.6	0.05	1.4
3102	3	4	279	17	16.41176470588235	6.67	61.46	9.2	11.6	10.1	9.86	8.0	8.13	10.0	4.7562338935574235	17.88	2.7	4.858977591036416	184	31	1193	1217	14	255	375	18.2	0.05	1.5
3103	3	3	337	18	18.72222222222222	5.98	75.13	8.1	9.4	9.6	7.08	6.285714285714286	7.44	7.0	4.885808647873866	19.02	2.1	3.133907596751076	243	17	1257	1295	14	299	392	21.4	0.05	1.3
