id	Writing_Applications	Language_Conventions	total_words	total_sentences	words_div_sentences	sent_density
3049	4	3	340	19	17.894736842105264	6.11
3050	2	2	371	20	18.55	5.99
3051	4	4	465	24	19.375	5.71
3052	4	4	435	20	21.75	5.08
3053	3	3	419	20	20.95	5.31
3054	3	4	517	23	22.47826086956522	5.23
3055	3	3	341	16	21.3125	5.06
3056	3	3	356	16	22.25	4.98
3057	3	3	130	7	18.571428571428573	5.79
3058	3	3	414	24	17.25	6.43
3059	3	3	386	18	21.444444444444443	5.07
3060	4	3	405	18	22.5	4.7
3061	3	3	354	13	27.23076923076923	4.01
3062	3	3	369	21	17.571428571428573	6.29
3063	4	4	396	15	26.4	4.25
3064	3	3	383	15	25.533333333333335	4.24
3065	3	3	142	8	17.75	6.02
3066	1	1	76	2	38.0	2.82
3067	4	4	474	24	19.75	5.49
3068	2	2	280	14	20.0	5.43
3069	4	3	670	34	19.705882352941178	5.39
3070	3	3	322	13	24.76923076923077	4.5
3071	4	4	338	17	19.88235294117647	5.7
3072	4	4	770	32	24.0625	4.45
3073	4	4	1168	64	18.25	5.99
3074	4	4	647	22	29.40909090909091	3.69
3075	4	4	681	25	27.24	3.97
3076	3	3	365	19	19.210526315789473	5.62
3077	5	4	699	30	23.3	4.89
3078	3	3	491	13	37.76923076923077	2.77
3079	3	3	479	25	19.16	5.76
3080	4	4	522	28	18.642857142857142	5.96
3081	4	4	385	17	22.647058823529413	5.14
3082	3	3	257	3	85.66666666666667	1.16
3083	3	3	345	7	49.285714285714285	2.08
3084	3	4	509	26	19.576923076923077	5.5
3085	3	4	206	11	18.727272727272727	5.88
3086	2	3	131	9	14.555555555555555	7.38
3087	2	3	181	7	25.857142857142858	4.43
3088	3	3	368	25	14.72	7.37
3089	3	4	343	14	24.5	4.53
3090	3	3	405	25	16.2	6.87
3091	2	2	192	8	24.0	4.52
3092	3	3	200	9	22.22222222222222	4.84
3093	3	3	295	15	19.666666666666668	5.98
3094	4	3	382	13	29.384615384615383	3.69
3095	2	2	162	6	27.0	3.97
3096	1	2	152	10	15.2	7.14
3097	3	3	533	27	19.74074074074074	5.97
3098	3	3	224	10	22.4	4.88
3099	4	4	648	22	29.454545454545453	3.64
3100	3	3	410	7	58.57142857142857	1.82
3101	3	3	226	12	18.833333333333332	6.15
3102	3	4	279	17	16.41176470588235	6.67
3103	3	3	337	18	18.72222222222222	5.98
3104	5	4	709	39	18.17948717948718	6.03
3105	3	4	237	17	13.941176470588236	8.06
3106	4	4	666	29	22.96551724137931	4.94
3107	3	4	499	15	33.266666666666666	3.39
3108	3	3	295	14	21.071428571428573	5.22
3109	3	3	495	21	23.571428571428573	4.88
3110	3	3	249	11	22.636363636363637	5.09
3111	3	3	348	17	20.470588235294116	5.3
3112	3	4	263	12	21.916666666666668	5.06
3113	3	4	287	16	17.9375	5.95
3114	4	4	602	28	21.5	5.3
3115	4	4	422	15	28.133333333333333	3.79
3116	3	4	280	15	18.666666666666668	5.91
3117	3	3	340	14	24.285714285714285	4.52
3118	2	1	155	6	25.833333333333332	4.05
3119	4	4	552	25	22.08	4.89
3120	3	3	463	24	19.291666666666668	5.76
3121	4	4	467	16	29.1875	3.92
3122	4	3	460	20	23.0	4.87
3123	4	4	304	14	21.714285714285715	5.17
3124	4	4	405	25	16.2	6.93
3125	4	4	694	29	23.93103448275862	4.4
3126	4	3	540	20	27.0	4.06
3127	3	3	462	23	20.08695652173913	5.53
3128	4	4	450	25	18.0	6.23
3129	4	3	1036	39	26.564102564102566	4.16
3130	4	4	488	19	25.68421052631579	4.18
3131	4	4	326	12	27.166666666666668	4.18
3132	3	3	460	23	20.0	5.91
3133	4	4	484	27	17.925925925925927	6.08
3134	4	3	513	24	21.375	5.04
3135	3	3	339	14	24.214285714285715	4.83
3136	4	4	461	25	18.44	5.97
3137	3	3	362	24	15.083333333333334	7.36
3138	4	4	371	17	21.823529411764707	5.06
3139	3	3	387	26	14.884615384615385	7.24
3140	4	3	447	14	31.928571428571427	3.36
3141	3	3	490	28	17.5	6.26
3142	4	4	513	16	32.0625	3.35
3143	3	3	379	14	27.071428571428573	4.09
3144	4	4	339	16	21.1875	5.44
3145	4	4	588	34	17.294117647058822	6.3
3146	3	4	234	11	21.272727272727273	4.98
3147	2	2	99	4	24.75	4.21
3148	3	2	214	8	26.75	4.0
3149	3	3	453	16	28.3125	3.77
3150	4	3	621	28	22.178571428571427	4.9
3151	3	4	422	21	20.095238095238095	5.57
3152	4	4	335	7	47.857142857142854	2.14
3153	4	3	809	38	21.289473684210527	5.18
3154	3	3	199	8	24.875	4.26
3155	3	3	207	9	23.0	4.62
3156	4	4	326	15	21.733333333333334	4.95
3157	4	4	524	28	18.714285714285715	5.88
3158	2	2	195	8	24.375	4.4
3159	1	2	196	9	21.77777777777778	5.0
3160	3	4	467	30	15.566666666666666	7.11
3161	3	3	431	24	17.958333333333332	6.2
3162	4	4	483	23	21.0	5.25
3163	5	4	396	22	18.0	6.15
3164	3	3	309	13	23.76923076923077	4.51
3165	4	4	307	15	20.466666666666665	5.54
3166	4	4	540	20	27.0	4.04
3167	3	4	255	20	12.75	8.47
3168	4	4	356	18	19.77777777777778	5.79
3169	3	3	420	19	22.105263157894736	5.12
3170	3	3	400	28	14.285714285714286	7.91
3171	5	4	612	38	16.105263157894736	6.92
3172	4	4	667	23	29.0	3.9
3173	3	3	540	28	19.285714285714285	5.71
3174	3	3	307	12	25.583333333333332	4.33
3175	4	4	684	31	22.06451612903226	5.2
3176	4	4	579	24	24.125	4.55
3177	1	1	177	1	177.0	0.58
3178	4	4	371	18	20.61111111111111	5.54
3179	4	4	431	24	17.958333333333332	6.27
3180	3	4	772	37	20.864864864864863	5.56
3181	4	4	673	31	21.70967741935484	5.12
3182	2	2	200	13	15.384615384615385	7.6
3183	3	4	367	18	20.38888888888889	5.49
3184	3	3	413	19	21.736842105263158	4.97
3185	4	3	390	17	22.941176470588236	4.74
3186	2	2	327	11	29.727272727272727	3.49
3187	3	3	309	17	18.176470588235293	5.88
3188	3	3	451	12	37.583333333333336	2.96
3189	4	4	590	32	18.4375	6.02
3190	4	3	413	28	14.75	7.61
3191	4	4	661	36	18.36111111111111	5.9
3192	3	3	212	11	19.272727272727273	5.61
3193	3	3	411	19	21.63157894736842	4.99
3194	3	4	468	13	36.0	3.0
3195	4	4	356	19	18.736842105263158	6.11
3196	4	3	633	18	35.166666666666664	3.14
3197	3	3	257	14	18.357142857142858	6.01
3198	2	3	260	11	23.636363636363637	4.58
3199	4	3	393	24	16.375	6.88
3200	4	3	628	23	27.304347826086957	3.92
3201	4	4	389	21	18.523809523809526	6.25
3202	5	4	632	38	16.63157894736842	6.79
3203	4	3	406	28	14.5	7.63
3204	3	3	399	19	21.0	5.51
3205	3	3	340	15	22.666666666666668	4.81
3206	4	4	1051	38	27.657894736842106	4.0
3207	3	4	329	15	21.933333333333334	5.23
3208	4	4	437	19	23.0	4.71
3209	3	2	234	7	33.42857142857143	3.1
3210	4	4	512	27	18.962962962962962	6.15
3211	3	3	324	16	20.25	5.33
3212	4	4	746	43	17.348837209302324	6.39
3213	4	4	524	28	18.714285714285715	5.82
3214	4	4	750	26	28.846153846153847	3.92
3215	3	3	199	8	24.875	4.21
3216	4	4	575	18	31.944444444444443	3.42
3217	4	4	703	29	24.24137931034483	4.59
3218	3	4	361	15	24.066666666666666	4.69
3219	4	4	802	37	21.675675675675677	5.42
3220	3	3	534	27	19.77777777777778	5.54
3221	3	4	749	33	22.696969696969695	5.04
3222	3	2	179	6	29.833333333333332	3.59
3223	3	3	356	22	16.181818181818183	6.88
3224	3	4	478	21	22.761904761904763	4.78
3225	4	4	269	13	20.692307692307693	5.33
3226	4	4	366	17	21.529411764705884	4.96
3227	3	3	490	19	25.789473684210527	4.14
3228	4	4	753	36	20.916666666666668	5.26
3229	4	4	444	13	34.15384615384615	3.17
3230	2	2	126	4	31.5	3.39
3231	4	4	863	44	19.613636363636363	5.65
3232	3	3	225	8	28.125	3.96
3233	3	3	384	21	18.285714285714285	5.9
3234	3	3	348	17	20.470588235294116	5.33
3235	4	3	743	35	21.228571428571428	5.37
3236	4	4	582	34	17.11764705882353	6.59
3237	2	2	98	5	19.6	5.32
3238	2	2	269	11	24.454545454545453	4.33
3239	4	4	534	19	28.105263157894736	3.75
3240	2	2	281	14	20.071428571428573	5.3
3241	1	1	42	2	21.0	5.0
3242	4	4	438	21	20.857142857142858	5.37
3243	4	4	708	27	26.22222222222222	4.18
3244	2	3	151	10	15.1	7.19
3245	2	2	73	4	18.25	5.71
3246	3	3	294	14	21.0	5.19
3247	4	4	582	27	21.555555555555557	4.94
3248	4	3	436	17	25.647058823529413	4.28
3249	3	4	719	35	20.542857142857144	5.31
3250	2	1	126	8	15.75	6.72
3251	3	4	306	13	23.53846153846154	4.55
3252	4	3	452	21	21.523809523809526	5.15
3253	4	4	525	25	21.0	5.26
3254	5	4	617	23	26.82608695652174	4.47
3255	3	4	578	26	22.23076923076923	4.91
3256	3	2	266	12	22.166666666666668	4.86
3257	1	1	100	5	20.0	5.0
3258	4	4	679	23	29.52173913043478	3.65
3259	2	2	128	10	12.8	8.93
3260	4	4	565	24	23.541666666666668	4.98
3261	4	4	654	30	21.8	5.15
3262	4	4	361	23	15.695652173913043	6.99
3263	4	4	631	34	18.558823529411764	5.98
3264	2	3	168	5	33.6	3.07
3265	4	4	616	23	26.782608695652176	4.22
3266	4	4	801	33	24.272727272727273	4.41
3267	3	4	405	17	23.823529411764707	4.97
3268	3	3	471	24	19.625	5.5
3269	4	4	517	20	25.85	4.15
3270	3	3	492	22	22.363636363636363	4.85
3271	4	3	742	18	41.22222222222222	2.71
3272	2	2	177	9	19.666666666666668	6.0
3273	4	4	766	28	27.357142857142858	3.94
3274	4	4	418	17	24.58823529411765	4.42
3275	3	4	362	18	20.11111111111111	5.88
3276	3	4	526	24	21.916666666666668	4.89
3277	5	4	852	45	18.933333333333334	6.21
3278	4	4	667	38	17.55263157894737	6.14
3279	4	4	584	29	20.137931034482758	5.88
3280	3	2	170	9	18.88888888888889	6.0
3281	4	3	731	27	27.074074074074073	4.07
3282	4	4	643	34	18.91176470588235	5.91
3283	3	3	501	10	50.1	2.0
3284	4	4	284	16	17.75	6.25
3285	4	4	356	20	17.8	6.02
3286	3	3	625	26	24.03846153846154	4.39
3287	3	4	467	27	17.296296296296298	6.62
3288	4	4	493	18	27.38888888888889	3.97
3289	3	3	299	15	19.933333333333334	5.34
3290	4	4	512	38	13.473684210526315	8.52
3291	5	4	808	34	23.764705882352942	4.81
3292	4	4	725	37	19.594594594594593	5.6
3293	4	4	401	21	19.095238095238095	5.63
3294	4	4	435	23	18.91304347826087	5.78
3295	3	4	338	10	33.8	3.37
3296	4	4	469	24	19.541666666666668	5.73
3297	3	3	297	15	19.8	5.47
3298	4	4	728	40	18.2	6.57
3299	4	4	660	26	25.384615384615383	4.63
3300	4	3	529	23	23.0	4.78
3301	3	3	339	18	18.833333333333332	6.0
3302	4	4	525	25	21.0	5.41
3303	3	2	335	16	20.9375	5.19
3304	3	2	321	15	21.4	5.12
3305	3	3	378	29	13.03448275862069	8.53
3306	5	4	592	43	13.767441860465116	8.25
3307	3	3	548	23	23.82608695652174	4.37
3308	4	4	461	28	16.464285714285715	6.7
3309	4	4	483	27	17.88888888888889	6.11
3310	6	4	882	43	20.511627906976745	5.61
3311	4	4	648	40	16.2	6.86
3312	4	4	578	26	22.23076923076923	4.91
3313	3	4	340	17	20.0	5.38
3314	3	4	432	25	17.28	6.28
3315	4	3	534	29	18.413793103448278	6.16
3316	3	4	696	34	20.470588235294116	5.51
3317	3	2	476	24	19.833333333333332	5.43
3318	3	4	338	15	22.533333333333335	5.0
3319	3	3	281	21	13.380952380952381	8.14
3320	4	4	411	16	25.6875	4.1
3321	4	4	563	23	24.47826086956522	4.47
3322	3	3	287	15	19.133333333333333	5.66
3323	4	4	543	23	23.608695652173914	4.62
3324	3	3	206	15	13.733333333333333	7.94
3325	4	3	582	23	25.304347826086957	4.26
3326	3	3	343	17	20.176470588235293	5.33
3327	3	3	414	11	37.63636363636363	2.74
3328	3	3	360	17	21.176470588235293	4.97
3329	3	3	190	9	21.11111111111111	5.06
3330	3	4	316	19	16.63157894736842	6.79
3331	4	4	751	38	19.763157894736842	5.55
3332	3	3	250	13	19.23076923076923	5.86
3333	3	4	230	16	14.375	7.55
3334	4	4	603	31	19.451612903225808	6.16
3335	4	4	317	16	19.8125	5.52
3336	3	2	216	10	21.6	4.9
3337	4	4	506	24	21.083333333333332	5.37
3338	3	4	339	16	21.1875	5.35
3339	4	3	505	21	24.047619047619047	4.54
3340	4	4	667	36	18.52777777777778	6.06
3341	3	3	466	24	19.416666666666668	5.59
3342	4	4	558	35	15.942857142857143	7.09
3343	5	4	1073	41	26.170731707317074	4.12
3344	3	4	602	33	18.242424242424242	6.11
3345	3	3	310	8	38.75	2.76
3346	2	3	172	10	17.2	6.54
3347	4	4	486	22	22.09090909090909	5.07
3348	4	3	364	8	45.5	2.49
3349	3	4	327	19	17.210526315789473	6.53
3350	3	4	328	20	16.4	6.56
3351	4	4	409	18	22.72222222222222	4.68
3352	2	2	145	5	29.0	3.6
3353	2	2	415	17	24.41176470588235	4.52
3354	3	3	217	11	19.727272727272727	5.61
3355	3	3	397	21	18.904761904761905	5.88
3356	3	4	421	20	21.05	5.45
3357	3	3	482	19	25.36842105263158	4.35
3358	3	3	441	16	27.5625	4.03
3359	2	2	209	5	41.8	2.46
3360	4	3	298	13	22.923076923076923	4.83
3361	4	4	526	29	18.137931034482758	6.39
3362	4	4	357	20	17.85	6.25
3363	2	1	298	9	33.111111111111114	3.19
3364	4	4	393	17	23.11764705882353	4.8
3365	3	3	402	16	25.125	4.43
3366	4	4	456	20	22.8	4.75
3367	4	4	688	26	26.46153846153846	4.15
3368	4	4	423	24	17.625	6.25
3369	3	3	320	8	40.0	2.81
3370	4	3	555	30	18.5	5.95
3371	3	4	311	11	28.272727272727273	4.0
3372	3	3	355	26	13.653846153846153	8.39
3373	3	4	287	16	17.9375	6.25
3374	4	4	365	22	16.59090909090909	6.81
3375	3	3	318	13	24.46153846153846	4.35
3376	4	4	494	20	24.7	4.35
3377	2	2	331	15	22.066666666666666	4.97
3378	3	3	259	11	23.545454545454547	4.37
3379	1	1	453	17	26.647058823529413	4.13
3380	3	3	422	19	22.210526315789473	4.82
3381	3	3	349	15	23.266666666666666	4.73
3382	4	4	226	14	16.142857142857142	6.83
3383	5	4	506	20	25.3	4.33
3384	4	4	578	30	19.266666666666666	5.77
3385	4	4	619	26	23.807692307692307	4.69
3386	4	3	569	20	28.45	3.97
3387	3	3	448	26	17.23076923076923	6.48
3388	3	4	210	7	30.0	3.55
3389	3	3	398	19	20.94736842105263	5.11
3390	3	3	453	11	41.18181818181818	2.63
3391	4	4	633	37	17.10810810810811	6.67
3392	3	4	257	15	17.133333333333333	6.67
3393	3	4	186	10	18.6	5.78
3394	3	4	514	27	19.037037037037038	5.99
3395	3	3	230	17	13.529411764705882	8.17
3396	3	3	458	15	30.533333333333335	3.65
3397	4	3	592	28	21.142857142857142	5.3
3398	4	4	656	26	25.23076923076923	4.42
3399	4	3	596	29	20.551724137931036	5.23
3400	3	3	599	25	23.96	4.42
3401	3	3	303	21	14.428571428571429	7.75
3402	4	4	452	22	20.545454545454547	5.43
3403	3	3	400	18	22.22222222222222	4.77
3404	4	4	385	20	19.25	5.75
3405	3	4	628	30	20.933333333333334	5.55
3406	4	4	496	33	15.030303030303031	7.25
3407	4	4	494	25	19.76	5.49
3408	3	3	454	14	32.42857142857143	3.37
3409	3	3	693	22	31.5	3.34
3410	3	2	265	10	26.5	4.35
3411	4	4	318	20	15.9	6.94
3412	4	3	541	25	21.64	5.15
3413	3	3	292	15	19.466666666666665	5.6
3414	4	4	483	22	21.954545454545453	5.09
3415	3	3	322	11	29.272727272727273	3.57
3416	3	3	286	10	28.6	3.69
3417	3	2	450	14	32.142857142857146	3.23
3418	5	4	961	40	24.025	4.94
3419	2	3	503	11	45.72727272727273	2.56
3420	4	3	587	28	20.964285714285715	5.27
3421	4	4	493	20	24.65	4.71
3422	2	2	240	14	17.142857142857142	6.22
3423	2	2	120	6	20.0	5.36
3424	4	4	600	24	25.0	4.49
3425	4	4	369	28	13.178571428571429	8.38
3426	1	1	67	1	67.0	1.37
3427	4	3	317	24	13.208333333333334	8.73
3428	6	4	570	39	14.615384615384615	7.65
3429	2	2	423	29	14.586206896551724	7.97
3430	3	3	332	15	22.133333333333333	4.98
3431	3	3	336	19	17.68421052631579	6.09
3432	4	3	478	31	15.419354838709678	7.54
3433	3	3	369	15	24.6	4.32
3434	2	3	176	4	44.0	2.45
3435	2	2	295	18	16.38888888888889	6.59
3436	4	4	361	19	19.0	5.88
3437	3	3	184	11	16.727272727272727	6.96
3438	3	3	344	7	49.142857142857146	2.09
3439	3	4	263	14	18.785714285714285	5.81
3440	4	4	605	29	20.862068965517242	5.39
3441	2	3	344	15	22.933333333333334	4.76
3442	4	3	379	21	18.047619047619047	6.23
3443	4	4	644	40	16.1	7.23
3444	4	4	400	15	26.666666666666668	4.14
3445	4	4	405	17	23.823529411764707	4.45
3446	4	4	476	21	22.666666666666668	4.76
3447	4	4	669	46	14.543478260869565	8.17
3448	3	3	427	22	19.40909090909091	5.74
3449	4	3	519	26	19.96153846153846	5.32
3450	3	3	344	13	26.46153846153846	4.22
3451	4	4	352	21	16.761904761904763	6.65
3452	3	3	471	22	21.40909090909091	5.09
3453	4	4	417	15	27.8	3.84
3454	2	3	143	8	17.875	6.25
3455	3	3	398	22	18.09090909090909	6.23
3456	3	3	327	16	20.4375	5.28
3457	3	3	314	12	26.166666666666668	4.32
3458	4	3	515	20	25.75	4.11
3459	3	3	400	20	20.0	5.29
3460	4	4	602	28	21.5	5.56
3461	3	3	229	13	17.615384615384617	6.47
3462	3	2	375	16	23.4375	4.61
3463	3	4	201	13	15.461538461538462	7.07
3464	4	4	623	40	15.575	7.27
3465	3	3	210	11	19.09090909090909	5.79
3466	3	3	298	18	16.555555555555557	7.29
3467	4	4	581	33	17.606060606060606	6.19
3468	4	4	421	18	23.38888888888889	4.85
3469	4	4	550	23	23.91304347826087	4.69
3470	4	4	640	36	17.77777777777778	6.22
3471	3	3	405	19	21.31578947368421	5.28
3472	3	2	229	10	22.9	4.63
3473	2	2	41	3	13.666666666666666	7.89
3474	4	4	565	37	15.27027027027027	7.54
3475	2	3	220	10	22.0	5.24
3476	3	4	485	19	25.526315789473685	4.27
3477	3	2	441	11	40.09090909090909	2.68
3478	2	3	433	23	18.82608695652174	5.72
3479	3	3	198	12	16.5	6.67
3480	3	3	317	14	22.642857142857142	4.79
3481	4	4	290	12	24.166666666666668	4.46
3482	3	3	305	12	25.416666666666668	4.38
3483	4	4	521	24	21.708333333333332	5.06
3484	3	3	255	11	23.181818181818183	4.58
3485	4	4	562	27	20.814814814814813	5.28
3486	1	3	113	5	22.6	4.63
3487	4	4	571	45	12.688888888888888	9.09
3488	3	2	402	17	23.647058823529413	4.78
3489	3	3	221	11	20.09090909090909	5.56
3490	4	3	366	13	28.153846153846153	3.85
3491	2	2	120	6	20.0	5.45
3492	4	2	767	28	27.392857142857142	4.01
3493	2	2	97	6	16.166666666666668	6.98
3494	2	2	328	21	15.619047619047619	6.98
3495	4	4	362	20	18.1	6.39
3496	4	3	420	16	26.25	4.29
3497	3	3	408	18	22.666666666666668	4.79
3498	4	4	386	13	29.692307692307693	3.58
3499	2	2	465	7	66.42857142857143	1.58
3500	2	2	183	1	183.0	0.53
3501	4	4	471	20	23.55	4.8
3502	3	3	377	19	19.842105263157894	5.56
3503	3	3	205	12	17.083333333333332	6.35
3504	4	3	392	22	17.818181818181817	6.08
3505	3	2	220	11	20.0	5.29
3506	4	4	403	21	19.19047619047619	5.69
3507	4	4	394	24	16.416666666666668	6.67
3508	3	3	416	22	18.90909090909091	5.93
3509	5	4	732	41	17.853658536585368	6.7
3510	3	2	306	1	306.0	0.34
3511	3	3	399	18	22.166666666666668	4.88
3512	4	3	486	18	27.0	4.0
3513	3	3	358	24	14.916666666666666	7.69
3514	4	3	425	7	60.714285714285715	1.72
3515	3	4	311	14	22.214285714285715	5.04
3516	4	3	593	30	19.766666666666666	5.49
3517	2	4	108	8	13.5	8.25
3518	4	4	409	19	21.526315789473685	5.01
3519	4	3	588	34	17.294117647058822	6.31
3520	4	4	571	9	63.44444444444444	1.67
3521	4	4	367	19	19.31578947368421	5.78
3522	3	3	318	22	14.454545454545455	7.77
3523	4	4	631	24	26.291666666666668	4.29
3524	4	4	375	21	17.857142857142858	6.46
3525	3	3	454	18	25.22222222222222	4.2
3526	3	3	329	15	21.933333333333334	4.85
3527	4	3	459	16	28.6875	3.73
3528	4	4	572	26	22.0	5.0
3529	4	4	525	30	17.5	6.28
3530	4	4	499	20	24.95	4.45
3531	4	4	684	25	27.36	4.12
3532	3	3	285	12	23.75	4.71
3533	4	4	338	14	24.142857142857142	4.49
3534	3	4	457	14	32.642857142857146	3.24
3535	3	3	451	19	23.736842105263158	4.47
3536	3	4	275	16	17.1875	6.32
3537	4	4	630	34	18.529411764705884	6.13
3538	3	3	412	18	22.88888888888889	4.71
3539	4	4	964	37	26.054054054054053	4.2
3540	3	3	461	27	17.074074074074073	6.31
3541	4	3	492	34	14.470588235294118	7.93
3542	4	3	559	22	25.40909090909091	4.49
3543	3	3	247	7	35.285714285714285	3.02
3544	4	4	385	3	128.33333333333334	0.82
3545	4	3	697	30	23.233333333333334	5.0
3546	4	4	899	49	18.346938775510203	6.3
3547	4	3	405	21	19.285714285714285	5.88
3548	3	4	391	22	17.772727272727273	6.13
3549	4	3	377	13	29.0	3.88
3550	4	4	630	35	18.0	6.16
3551	3	3	779	26	29.96153846153846	3.55
3552	3	3	378	20	18.9	5.8
3553	3	3	286	13	22.0	4.94
3554	3	4	372	21	17.714285714285715	5.98
3555	4	4	605	25	24.2	4.5
3556	1	2	86	5	17.2	6.58
3557	3	3	367	19	19.31578947368421	5.67
3558	3	3	340	11	30.90909090909091	3.42
3559	3	2	799	51	15.666666666666666	7.19
3560	3	3	483	28	17.25	6.41
3561	3	3	285	13	21.923076923076923	4.91
3562	3	3	340	15	22.666666666666668	4.97
3563	3	4	461	29	15.89655172413793	7.02
3564	4	4	388	21	18.476190476190474	6.03
3565	4	3	494	22	22.454545454545453	5.07
3566	4	4	410	15	27.333333333333332	4.03
3567	4	3	478	27	17.703703703703702	6.12
3568	5	4	388	20	19.4	5.68
3569	3	4	439	22	19.954545454545453	5.57
3570	5	4	618	38	16.263157894736842	7.04
3571	4	4	414	19	21.789473684210527	5.35
3572	2	1	298	1	298.0	0.34
3573	4	4	502	28	17.928571428571427	6.0
3574	4	4	356	19	18.736842105263158	6.19
3575	3	3	1019	31	32.87096774193548	3.18
3576	3	3	261	11	23.727272727272727	4.6
3577	4	4	429	19	22.57894736842105	4.94
3578	4	3	423	26	16.26923076923077	6.86
3579	4	4	616	31	19.870967741935484	5.79
3580	3	2	286	16	17.875	5.97
3581	3	2	458	24	19.083333333333332	5.58
3582	3	3	173	3	57.666666666666664	1.71
3583	3	3	317	13	24.384615384615383	4.53
3584	4	4	271	17	15.941176470588236	7.2
3585	3	3	375	18	20.833333333333332	5.23
3586	3	3	361	15	24.066666666666666	4.53
3587	3	2	175	3	58.333333333333336	1.76
3588	2	2	255	13	19.615384615384617	5.39
3589	4	4	621	30	20.7	5.46
3590	2	2	580	19	30.526315789473685	3.49
3591	3	4	549	29	18.93103448275862	5.99
3592	3	3	304	14	21.714285714285715	5.0
3593	4	3	453	20	22.65	4.96
3594	4	4	780	30	26.0	4.13
3595	4	4	545	29	18.79310344827586	6.3
3596	4	4	786	42	18.714285714285715	5.86
3597	2	3	174	10	17.4	6.29
3598	3	3	327	16	20.4375	5.26
3599	3	2	372	13	28.615384615384617	3.68
3600	4	4	396	21	18.857142857142858	5.77
3601	4	4	614	28	21.928571428571427	5.06
3602	3	3	279	7	39.857142857142854	2.57
3603	2	2	247	13	19.0	5.63
3604	3	2	241	6	40.166666666666664	2.54
3605	3	3	828	32	25.875	4.24
3606	4	4	420	23	18.26086956521739	6.07
3607	4	4	642	27	23.77777777777778	4.58
3608	4	4	490	21	23.333333333333332	4.71
3609	4	4	641	45	14.244444444444444	8.05
3610	3	4	261	11	23.727272727272727	5.02
3611	2	2	152	8	19.0	5.52
3612	4	3	350	16	21.875	5.03
3613	4	4	482	31	15.548387096774194	7.21
3614	4	4	565	24	23.541666666666668	4.53
3615	4	3	409	20	20.45	5.14
