id	overall_score	misc_total_words	misc_total_sentences	misc_words_div_sentences	misc_sent_density	misc_ttr	grammar_pct_transitions	grammar_pct_rel_trigrams	grammar_grammar_errors_ltp_by_words	vocab_difficult_words	vocab_proportion_vocab_list[a]	vocab_proportion_vocab_list[accent]	vocab_proportion_vocab_list[abandon]	vocab_proportion_vocab_list[abnormal]	vocab_proportion_vocab_list[abbey]	vocab_proportion_vocab_list[abduct]	vocab_proportion_vocab_list[abate]	vocab_proportion_vocab_list[aback]	vocab_proportion_vocab_list[abbot]	vocab_proportion_vocab_list[abet]	vocab_proportion_vocab_list[abrasion]	vocab_proportion_vocab_list[aberrant]	vocab_proportion_vocab_list[abattoir]	vocab_proportion_vocab_list[abashed]	vocab_proportion_vocab_list[abacus]	vocab_proportion_vocab_list[abalone]	vocab_proportion_vocab_list[abductee]	vocab_proportion_vocab_list[aardvark]	vocab_proportion_vocab_list[abnegate]	vocab_proportion_vocab_list[abaya]	vocab_proportion_vocab_list[abaft]	vocab_proportion_vocab_list[abomasum]	vocab_proportion_vocab_list[abettor]	vocab_proportion_vocab_list[acetal]	vocab_proportion_vocab_list[ablaut]	vocab_proportion_vocab_list[a1]	vocab_proportion_vocab_list[ah]	vocab_proportion_vocab_list[absentminded]	vocab_proportion_vocab_list[aal]	flow_ts_avg_len_sent	flow_ts_num_syllab	flow_ts_avg_sent_per_word	flow_ts_num_polysyllab	flow_ts_num_chars	flow_ts_avg_syllab_per_word	flow_ts_fre	flow_ts_fkg	flow_ts_cli	flow_ts_dcrs	flow_ts_lwf	flow_ts_gf	flow_ts_ari	coherence_nlemma_types	coherence_n_bigram_lemma_types	coherence_n_trigram_lemma_types	coherence_nlemmas	coherence_n_bigram_lemmas	coherence_n_trigram_lemmas	coherence_ncontent_types	coherence_ncontent_tokens	coherence_content_ttr	coherence_nfunction_tokens	coherence_nfunction_types	coherence_function_ttr	coherence_noun_ttr	coherence_determiners	coherence_conjunctions	coherence_prn_noun_ratio
20727	31	493	18	27.38888888888889	4.07	51.81	0.0467	37.82	0.05476673427991886	42	0.3367139959432049	0.028397565922920892	0.006085192697768763	0.006085192697768763	0.008113590263691683	0.004056795131845842	0.002028397565922921	0.004056795131845842	0.0	0.004056795131845842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002028397565922921	0.0	0.002028397565922921	0.0	24.4	543	0.04	11	1809	1.2	80.55	8.1	6.16	7.44	13.75	10.58	10.2	229	228	227	442	441	440	164	235	0.6979	207	65	0.314	0.6444	0.11765	0.02715	0.22
20728	44	981	37	26.513513513513512	4.43	44.43	0.0374	39.5	0.017329255861365953	102	0.2650356778797146	0.03669724770642202	0.009174311926605505	0.011213047910295617	0.010193679918450561	0.004077471967380225	0.004077471967380225	0.0020387359836901123	0.0010193679918450561	0.0	0.0	0.0010193679918450561	0.0	0.0010193679918450561	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010193679918450561	0.0	26.3	1230	0.04	91	3948	1.5	53.24	12.4	9.87	7.82	15.75	12.63	14.5	371	370	369	835	834	833	296	461	0.6421	374	75	0.2005	0.338	0.0994	0.00599	0.33
20732	31	845	17	49.705882352941174	2.08	30.11	0.0654	34.45	0.12189349112426036	32	0.24497041420118343	0.015384615384615385	0.001183431952662722	0.002366863905325444	0.001183431952662722	0.001183431952662722	0.0	0.001183431952662722	0.0	0.0	0.0	0.0	0.0	0.001183431952662722	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001183431952662722	0.0	0.002366863905325444	0.0035502958579881655	81.5	943	0.01	17	2994	1.2	22.59	30.4	5.02	8.8	18.0	32.85	36.6	246	245	244	817	816	815	183	375	0.488	442	63	0.1425	0.64	0.05875	0.02693	2.32
20733	36	628	31	20.258064516129032	5.49	35.58	0.0748	28.57	0.042993630573248405	23	0.2786624203821656	0.006369426751592357	0.0015923566878980893	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015923566878980893	0.0	0.0031847133757961785	0.0	18.0	722	0.06	31	2403	1.3	78.59	6.8	6.61	5.74	5.75	7.41	7.8	201	200	199	565	564	563	135	300	0.45	265	66	0.2491	0.6129	0.06372	0.02832	1.58
20734	43	1006	54	18.62962962962963	6.8	43.83	0.0935	40.34	0.009940357852882704	96	0.23161033797216699	0.02485089463220676	0.004970178926441352	0.012922465208747515	0.008946322067594433	0.002982107355864811	0.002982107355864811	0.0019880715705765406	0.0019880715705765406	0.0009940357852882703	0.0019880715705765406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019880715705765406	0.0	18.2	1074	0.06	63	3706	1.4	69.92	8.0	8.81	7.56	5.0	8.91	10.5	348	347	346	794	793	792	263	460	0.5717	334	85	0.2545	0.3309	0.07557	0.03778	0.29
20735	20	135	4	33.75	2.92	54.01	0.0374	10.08	0.14074074074074075	10	0.45185185185185184	0.022222222222222223	0.0	0.007407407407407408	0.022222222222222223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014814814814814815	0.0	32.8	169	0.03	9	595	1.3	63.56	12.5	9.24	7.07	18.666666666666668	13.43	16.3	74	73	72	137	136	135	42	71	0.5915	66	32	0.4848	0.5	0.05839	0.0365	0.6
20736	45	833	41	20.317073170731707	5.66	41.71	0.0374	37.82	0.012004801920768308	67	0.30012004801920766	0.025210084033613446	0.007202881152460984	0.0024009603841536613	0.0024009603841536613	0.0012004801920768306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012004801920768306	0.0	23.7	934	0.04	35	3092	1.3	72.8	9.0	7.26	6.79	11.8	10.44	10.9	302	301	300	724	723	722	221	391	0.5652	333	81	0.2432	0.3966	0.06492	0.03591	0.21
20737	40	593	38	15.605263157894736	7.1	42.06	0.0654	36.13	0.021922428330522766	25	0.3254637436762226	0.016863406408094434	0.0016863406408094434	0.0016863406408094434	0.0	0.003372681281618887	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016863406408094434	0.0016863406408094434	15.5	647	0.06	18	2167	1.2	89.58	4.6	5.51	5.63	4.4	6.81	5.6	225	224	223	535	534	533	153	286	0.535	249	72	0.2892	0.5758	0.06168	0.03178	0.76
20739	30	831	52	15.98076923076923	6.94	35.78	0.0561	44.54	0.030084235860409144	27	0.2695547533092659	0.010830324909747292	0.0024067388688327317	0.0024067388688327317	0.0036101083032490976	0.0012033694344163659	0.0012033694344163659	0.0024067388688327317	0.0	0.0012033694344163659	0.0	0.0012033694344163659	0.0	0.0	0.0	0.0012033694344163659	0.0	0.0	0.0012033694344163659	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0036101083032490976	0.0	15.0	884	0.07	33	2898	1.2	90.09	4.4	4.23	5.73	7.428571428571429	6.65	4.6	268	267	266	749	748	747	192	378	0.5079	371	76	0.2049	0.6471	0.06943	0.0534	1.49
20741	35	329	30	10.966666666666667	10.71	52.14	0.0374	27.73	0.00303951367781155	24	0.3617021276595745	0.0182370820668693	0.00303951367781155	0.0060790273556231	0.0060790273556231	0.00303951367781155	0.00303951367781155	0.0	0.0	0.0	0.0	0.0	0.00303951367781155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.4	363	0.1	11	1233	1.3	86.3	3.8	5.77	6.86	4.3	4.87	4.5	146	145	144	280	279	278	98	163	0.6012	117	48	0.4103	0.5833	0.07857	0.04286	0.71
20742	40	715	28	25.535714285714285	4.42	43.22	0.0561	37.82	0.013986013986013986	39	0.3034965034965035	0.033566433566433566	0.005594405594405594	0.002797202797202797	0.002797202797202797	0.002797202797202797	0.002797202797202797	0.0	0.0013986013986013986	0.0	0.0013986013986013986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013986013986013986	0.0	23.3	779	0.04	24	2587	1.2	81.67	7.7	6.04	6.4	8.5	9.76	9.6	274	273	272	634	633	632	195	316	0.6171	318	79	0.2484	0.4808	0.10883	0.04259	0.29
20743	42	1022	61	16.75409836065574	7.12	39.21	0.0561	36.97	0.036203522504892366	78	0.22504892367906065	0.02837573385518591	0.012720156555772993	0.010763209393346379	0.004892367906066536	0.003913894324853229	0.0	0.0019569471624266144	0.0009784735812133072	0.0009784735812133072	0.0009784735812133072	0.0	0.0019569471624266144	0.0	0.0009784735812133072	0.0	0.0	0.0	0.0	0.0	0.0	0.0009784735812133072	0.0	0.0	0.0	0.0	0.0	0.0009784735812133072	0.0009784735812133072	25.7	1103	0.04	43	3757	1.3	70.77	9.8	7.49	7.39	8.0	11.22	12.3	336	335	334	857	856	855	261	462	0.5649	395	75	0.1899	0.3909	0.09218	0.03384	0.18
20745	34	595	7	85.0	1.35	43.93	0.0841	23.53	0.11428571428571428	42	0.2773109243697479	0.010084033613445379	0.005042016806722689	0.0016806722689075631	0.0016806722689075631	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016806722689075631	0.0	0.0016806722689075631	0.0016806722689075631	159.3	686	0.01	46	2243	1.4	-73.3	63.1	9.77	13.72	31.0	65.14	80.3	228	227	226	519	518	517	157	270	0.5815	249	71	0.2851	0.266	0.07322	0.00385	0.24
20746	33	948	32	29.625	3.74	33.18	0.0748	41.18	0.06962025316455696	43	0.23628691983122363	0.012658227848101266	0.006329113924050633	0.0010548523206751054	0.0031645569620253164	0.0	0.0	0.002109704641350211	0.0010548523206751054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010548523206751054	0.0	0.0	0.002109704641350211	40.2	998	0.02	13	3273	1.2	64.51	14.2	5.36	7.01	10.6	16.46	16.9	284	283	282	856	855	854	209	410	0.5098	446	75	0.1682	0.6667	0.05491	0.04556	2.24
20747	38	395	22	17.954545454545453	6.13	51.53	0.0187	24.37	0.007594936708860759	34	0.389873417721519	0.03291139240506329	0.012658227848101266	0.0	0.002531645569620253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	462	0.06	18	1501	1.3	79.6	6.4	6.26	6.61	6.25	8.26	6.9	185	184	183	359	358	357	123	181	0.6796	178	62	0.3483	0.7857	0.08357	0.02228	0.93
20748	36	757	40	18.925	5.78	36.85	0.0467	30.25	0.07793923381770146	51	0.2628797886393659	0.015852047556142668	0.002642007926023778	0.001321003963011889	0.003963011889035667	0.001321003963011889	0.003963011889035667	0.001321003963011889	0.002642007926023778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001321003963011889	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001321003963011889	0.0	0.001321003963011889	0.001321003963011889	19.1	854	0.05	26	2775	1.2	85.93	6.0	5.51	6.47	9.0	8.34	7.1	255	254	253	692	691	690	190	342	0.5556	350	65	0.1857	0.5714	0.08237	0.05491	0.83
20751	45	687	37	18.56756756756757	5.96	42.03	0.1028	35.29	0.020378457059679767	50	0.3173216885007278	0.03202328966521106	0.002911208151382824	0.002911208151382824	0.00727802037845706	0.0	0.0	0.002911208151382824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001455604075691412	0.0	16.6	757	0.06	22	2454	1.2	88.47	5.0	4.87	6.36	7.5	7.55	5.7	261	260	259	621	620	619	190	314	0.6051	307	71	0.2313	0.7273	0.05958	0.03543	2.05
20754	31	894	36	24.833333333333332	4.28	33.85	0.0748	42.02	0.024608501118568233	41	0.2695749440715884	0.021252796420581657	0.0044742729306487695	0.0022371364653243847	0.0022371364653243847	0.0011185682326621924	0.0011185682326621924	0.0011185682326621924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	1043	0.04	28	3342	1.3	73.51	8.7	5.93	6.0	13.25	9.78	9.1	285	284	283	842	841	840	202	422	0.4787	420	83	0.1976	0.72	0.07007	0.03088	2.72
20755	30	281	17	16.529411764705884	7.39	49.57	0.0467	26.05	0.0071174377224199285	16	0.33451957295373663	0.021352313167259787	0.0071174377224199285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010676156583629894	0.0	17.4	292	0.06	9	1017	1.3	79.19	6.5	7.07	6.04	6.142857142857143	7.84	8.5	114	113	112	230	229	228	70	119	0.5882	111	44	0.3964	0.5789	0.09565	0.02609	0.47
20756	34	806	18	44.77777777777778	2.42	39.06	0.0841	47.9	0.04466501240694789	64	0.2990074441687345	0.02357320099255583	0.016129032258064516	0.0024813895781637717	0.00620347394540943	0.0	0.0	0.0	0.0012406947890818859	0.0012406947890818859	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012406947890818859	0.0	61.4	920	0.02	37	2981	1.2	42.99	22.5	6.52	8.37	19.333333333333332	26.08	28.3	291	290	289	745	744	743	211	350	0.6029	395	80	0.2025	0.7	0.08859	0.04698	0.6
20757	33	817	27	30.25925925925926	3.67	29.08	0.0654	33.61	0.03182374541003672	21	0.2350061199510404	0.004895960832313341	0.0012239902080783353	0.0	0.0012239902080783353	0.0	0.0	0.0012239902080783353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012239902080783353	0.0	0.0	0.0	40.4	899	0.02	23	3143	1.2	64.31	14.3	7.91	6.64	17.333333333333332	16.27	19.1	214	213	212	736	735	734	143	339	0.4218	397	71	0.1788	0.2128	0.10054	0.04212	0.82
20758	40	1007	62	16.241935483870968	7.1	27.72	0.0748	47.9	0.015888778550148957	41	0.2135054617676266	0.004965243296921549	0.0	0.0	0.0019860973187686196	0.0019860973187686196	0.0009930486593843098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009930486593843098	16.6	1105	0.06	47	3556	1.3	80.01	6.2	5.62	5.54	6.714285714285714	7.39	6.6	242	241	240	873	872	871	167	456	0.3662	417	75	0.1799	0.2571	0.05956	0.03093	0.69
20759	47	914	64	14.28125	8.54	41.39	0.0935	32.77	0.007658643326039387	72	0.25601750547045954	0.02516411378555799	0.0087527352297593	0.006564551422319475	0.00437636761487965	0.0	0.0	0.0010940919037199124	0.0010940919037199124	0.0010940919037199124	0.0010940919037199124	0.0010940919037199124	0.0	0.0010940919037199124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.3	942	0.06	29	3125	1.3	80.31	6.1	5.68	6.88	7.833333333333334	7.5	6.8	310	309	308	749	748	747	230	425	0.5412	324	80	0.2469	0.6415	0.06943	0.04005	0.74
20760	30	1023	54	18.944444444444443	6.42	37.69	0.1028	38.66	0.01270772238514174	91	0.2287390029325513	0.021505376344086023	0.008797653958944282	0.0019550342130987292	0.0009775171065493646	0.0	0.0009775171065493646	0.0009775171065493646	0.0	0.0009775171065493646	0.0019550342130987292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009775171065493646	0.008797653958944282	0.0	19.0	1105	0.05	33	3700	1.3	77.57	7.2	7.14	6.7	11.0	8.56	8.9	317	316	315	841	840	839	232	459	0.5054	382	85	0.2225	0.4032	0.07253	0.00713	0.48
20761	40	973	61	15.950819672131148	7.08	38.63	0.1215	42.02	0.022610483042137718	68	0.263103802672148	0.03391572456320658	0.0051387461459403904	0.003083247687564234	0.0041109969167523125	0.0041109969167523125	0.0	0.0020554984583761563	0.0	0.0	0.0010277492291880781	0.0010277492291880781	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010277492291880781	0.0	0.0	0.0	0.0	0.0	0.0	0.0010277492291880781	0.0	14.6	1089	0.07	49	3596	1.3	82.04	5.4	5.85	6.17	7.571428571428571	7.16	5.9	333	332	331	862	861	860	246	445	0.5528	417	87	0.2086	0.6154	0.09165	0.03364	0.77
20762	32	517	22	23.5	4.76	41.77	0.0748	31.93	0.06769825918762089	27	0.3114119922630561	0.017408123791102514	0.0038684719535783366	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019342359767891683	0.0	0.0019342359767891683	0.0019342359767891683	23.9	575	0.04	26	1891	1.3	72.6	9.1	6.33	6.42	11.0	10.26	10.1	193	192	191	462	461	460	131	219	0.5982	243	62	0.2551	0.6	0.08442	0.0303	0.36
20763	40	967	53	18.245283018867923	6.23	36.66	0.1028	36.13	0.02171664943123061	64	0.2533609100310238	0.02481902792140641	0.010341261633919338	0.0	0.007238883143743537	0.0	0.0031023784901758012	0.001034126163391934	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001034126163391934	0.001034126163391934	0.0	17.2	1076	0.06	35	3466	1.3	79.4	6.5	5.39	6.27	5.444444444444445	7.92	6.5	312	311	310	851	850	849	240	474	0.5063	377	72	0.191	0.2973	0.08343	0.03408	0.4
20764	30	329	6	54.833333333333336	1.95	44.63	0.0187	20.17	0.057750759878419454	23	0.3373860182370821	0.0182370820668693	0.0121580547112462	0.00303951367781155	0.0060790273556231	0.00303951367781155	0.00303951367781155	0.0	0.0	0.0	0.0	0.00303951367781155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00303951367781155	0.0	0.00303951367781155	60.8	370	0.02	11	1161	1.2	43.6	22.3	5.3	8.47	18.0	24.85	27.0	137	136	135	307	306	305	88	144	0.6111	163	49	0.3006	0.6667	0.09772	0.07166	0.8
20765	40	1048	47	22.29787234042553	5.49	42.17	0.0841	44.54	0.011450381679389313	110	0.21660305343511452	0.02480916030534351	0.016221374045801526	0.007633587786259542	0.008587786259541985	0.003816793893129771	0.0009541984732824427	0.0019083969465648854	0.0	0.0	0.0019083969465648854	0.0	0.0	0.0	0.0	0.0	0.0009541984732824427	0.0	0.0	0.0	0.0	0.0	0.0009541984732824427	0.0	0.0	0.0	0.0	0.0019083969465648854	0.0019083969465648854	18.8	1146	0.05	47	3894	1.4	69.31	8.3	8.01	7.57	8.0	9.08	9.6	361	360	359	856	855	854	283	466	0.6073	390	78	0.2	0.4605	0.10397	0.03855	0.12
